seed: 4, algorithm: FedSGD, optimizer: SGD, momentum: 0.9, weight_decay: 0.0005, lr_scheduler: MultiStepLR, milestones: [0.6, 0.8], batch_size: 128, learning_rate: 0.05, model: mycnn, dataset: CIFAR10, distribution: iid, im_iid_gamma: 0.01, tail_cls_from: 4, dirichlet_alpha: 0.2, cache_partition: False, num_workers: 0, record_time: False, gpu_idx: [3], my_exp: True, epochs: 200, predict_epochs: 5, predict_alpha: 0.8, show_sign_flip: False, other_show_3d: False, only_show_last_epoch: True, npy_file_name: 3.3.2, npy_prefix: None, num_clients: 20, num_adv: 6, attack: MyAttack, defense: TESSERACT, attack_params: {'aff_open': False, 'moment_open': True}, defense_params: None, benchmark: False, num_training_sample: 50000, num_channels: 3, num_classes: 10, mean: (0.4914, 0.4822, 0.4465), std: (0.247, 0.243, 0.261), device: cuda:3, output: ./logs/FedSGD/CIFAR10_mycnn/iid/MyAttack_TESSERACT/200_20_6_0.05_2025-03-10_21-22-37.txt

Started on Mon Mar 10 21:22:37 2025
Generating new indices
Doing iid partition
iid partition finished
Data partitioned
Clients and server are initialized
Starting Training...
Epoch 0  	Train Acc: 0.0777	Train loss: 0.0185	Test Acc: 0.0923	Test loss: 22.6494
Epoch 1  	Train Acc: 0.1082	Train loss: 0.4989	Test Acc: 0.0917	Test loss: 305.9286
Epoch 2  	Train Acc: 0.1254	Train loss: 2.1771	Test Acc: 0.1000	Test loss: nan
Epoch 3  	Train Acc: 0.1176	Train loss: 6.1600	Test Acc: 0.1000	Test loss: nan
Epoch 4  	Train Acc: 0.1270	Train loss: 11.3499	Test Acc: 0.1329	Test loss: 967.9100
Epoch 5  	Train Acc: 0.1305	Train loss: 12.0108	Test Acc: 0.0930	Test loss: 570.5484
Epoch 6  	Train Acc: 0.0984	Train loss: 6.8204	Test Acc: 0.0809	Test loss: 1596.5177
Epoch 7  	Train Acc: 0.1176	Train loss: 9.3447	Test Acc: 0.0991	Test loss: 2334.2794
Epoch 8  	Train Acc: 0.1012	Train loss: 11.6061	Test Acc: 0.1198	Test loss: 1265.9553
Epoch 9  	Train Acc: 0.1332	Train loss: 9.0361	Test Acc: 0.1049	Test loss: 846.1453
Epoch 10 	Train Acc: 0.1187	Train loss: 8.5443	Test Acc: 0.1328	Test loss: 694.1470
Epoch 11 	Train Acc: 0.1664	Train loss: 8.0647	Test Acc: 0.1146	Test loss: 649.0892
Epoch 12 	Train Acc: 0.1168	Train loss: 6.9088	Test Acc: 0.1044	Test loss: 539.3725
Epoch 13 	Train Acc: 0.1473	Train loss: 5.1369	Test Acc: 0.0767	Test loss: 476.2065
Epoch 14 	Train Acc: 0.1430	Train loss: 3.8535	Test Acc: 0.0928	Test loss: 307.0725
Epoch 15 	Train Acc: 0.1316	Train loss: 3.0643	Test Acc: 0.1137	Test loss: 190.4646
Epoch 16 	Train Acc: 0.1457	Train loss: 1.9561	Test Acc: 0.1193	Test loss: 158.0290
Epoch 17 	Train Acc: 0.1531	Train loss: 1.6127	Test Acc: 0.1204	Test loss: 126.5647
Epoch 18 	Train Acc: 0.1187	Train loss: 1.3047	Test Acc: 0.1181	Test loss: 89.2499
Epoch 19 	Train Acc: 0.1110	Train loss: 1.5788	Test Acc: 0.1170	Test loss: 59.5464
Epoch 20 	Train Acc: 0.1172	Train loss: 0.3536	Test Acc: 0.1210	Test loss: 41.1557
Epoch 21 	Train Acc: 0.0934	Train loss: 0.1774	Test Acc: 0.1214	Test loss: 28.6812
Epoch 22 	Train Acc: 0.1039	Train loss: 0.0705	Test Acc: 0.1185	Test loss: 20.6178
Epoch 23 	Train Acc: 0.1098	Train loss: 0.0475	Test Acc: 0.1069	Test loss: 15.1819
Epoch 24 	Train Acc: 0.0926	Train loss: 0.0361	Test Acc: 0.0993	Test loss: 11.7226
