seed: 4, algorithm: FedSGD, optimizer: SGD, momentum: 0.9, weight_decay: 0.0005, lr_scheduler: MultiStepLR, milestones: [0.6, 0.8], batch_size: 128, learning_rate: 0.05, model: mycnn, dataset: CIFAR10, distribution: iid, im_iid_gamma: 0.01, tail_cls_from: 4, dirichlet_alpha: 0.2, cache_partition: False, num_workers: 0, record_time: False, gpu_idx: [3], my_exp: True, epochs: 200, predict_epochs: 5, predict_alpha: 0.8, show_sign_flip: False, other_show_3d: False, only_show_last_epoch: True, npy_file_name: 3.3.2, npy_prefix: None, num_clients: 20, num_adv: 6, attack: MyAttack, defense: TrimmedMean, attack_params: {'aff_open': False, 'moment_open': True}, defense_params: {'beta': 0.1}, benchmark: False, num_training_sample: 50000, num_channels: 3, num_classes: 10, mean: (0.4914, 0.4822, 0.4465), std: (0.247, 0.243, 0.261), device: cuda:3, output: ./logs/FedSGD/CIFAR10_mycnn/iid/MyAttack_TrimmedMean/200_20_6_0.05_2025-03-10_21-22-37.txt

Started on Mon Mar 10 21:22:37 2025
Generating new indices
Doing iid partition
iid partition finished
Data partitioned
Clients and server are initialized
Starting Training...
Epoch 0  	Train Acc: 0.0777	Train loss: 0.0185	Test Acc: 0.0905	Test loss: 13.8912
Epoch 1  	Train Acc: 0.1105	Train loss: 0.4165	Test Acc: 0.0935	Test loss: 258.9507
Epoch 2  	Train Acc: 0.1230	Train loss: 1.9386	Test Acc: 0.0999	Test loss: nan
Epoch 3  	Train Acc: 0.1082	Train loss: 5.1348	Test Acc: 0.1000	Test loss: nan
Epoch 4  	Train Acc: 0.0996	Train loss: 10.4096	Test Acc: 0.1069	Test loss: 774.4111
Epoch 5  	Train Acc: 0.1121	Train loss: 10.0446	Test Acc: 0.1023	Test loss: 855.0075
Epoch 6  	Train Acc: 0.0934	Train loss: 13.4645	Test Acc: 0.0883	Test loss: 628.8325
Epoch 7  	Train Acc: 0.1305	Train loss: 11.0159	Test Acc: 0.0938	Test loss: 1157.4339
Epoch 8  	Train Acc: 0.1035	Train loss: 15.9190	Test Acc: 0.0995	Test loss: 1413.9224
Epoch 9  	Train Acc: 0.1156	Train loss: 10.4253	Test Acc: 0.0956	Test loss: 900.0659
Epoch 10 	Train Acc: 0.1195	Train loss: 9.3409	Test Acc: 0.0973	Test loss: 585.4134
Epoch 11 	Train Acc: 0.1273	Train loss: 7.8949	Test Acc: 0.0712	Test loss: 452.2104
Epoch 12 	Train Acc: 0.1250	Train loss: 6.3634	Test Acc: 0.1152	Test loss: 346.7792
Epoch 13 	Train Acc: 0.1117	Train loss: 4.3404	Test Acc: 0.1235	Test loss: 259.9449
Epoch 14 	Train Acc: 0.1141	Train loss: 3.6267	Test Acc: 0.1230	Test loss: 159.9797
Epoch 15 	Train Acc: 0.1105	Train loss: 2.4378	Test Acc: 0.1254	Test loss: 113.7318
Epoch 16 	Train Acc: 0.1023	Train loss: 0.7730	Test Acc: 0.1229	Test loss: 74.6942
Epoch 17 	Train Acc: 0.0922	Train loss: 0.3067	Test Acc: 0.1013	Test loss: 47.0207
Epoch 18 	Train Acc: 0.0938	Train loss: 0.1266	Test Acc: 0.1063	Test loss: 25.3175
Epoch 19 	Train Acc: 0.0963	Train loss: 0.1056	Test Acc: 0.1113	Test loss: 14.1338
Epoch 20 	Train Acc: 0.0965	Train loss: 0.0354	Test Acc: 0.1141	Test loss: 8.3645
Epoch 21 	Train Acc: 0.0930	Train loss: 0.0309	Test Acc: 0.1121	Test loss: 5.2554
Epoch 22 	Train Acc: 0.1121	Train loss: 0.0308	Test Acc: 0.1079	Test loss: 3.3716
Epoch 23 	Train Acc: 0.1102	Train loss: 0.0294	Test Acc: 0.1072	Test loss: 2.2125
Epoch 24 	Train Acc: 0.0930	Train loss: 0.0269	Test Acc: 0.1057	Test loss: 1.4327
Epoch 25 	Train Acc: 0.0980	Train loss: 0.0255	Test Acc: 0.1040	Test loss: 0.9038
Epoch 26 	Train Acc: 0.1000	Train loss: 0.0256	Test Acc: 0.1019	Test loss: 0.5667
Epoch 27 	Train Acc: 0.0941	Train loss: 0.0244	Test Acc: 0.1015	Test loss: 0.3546
Epoch 28 	Train Acc: 0.0879	Train loss: 0.0244	Test Acc: 0.1007	Test loss: 0.2241
Epoch 29 	Train Acc: 0.0957	Train loss: 0.0238	Test Acc: 0.1008	Test loss: 0.1455
Epoch 30 	Train Acc: 0.1039	Train loss: 0.0235	Test Acc: 0.1008	Test loss: 0.0995
Epoch 31 	Train Acc: 0.1062	Train loss: 0.0230	Test Acc: 0.1012	Test loss: 0.0708
Epoch 32 	Train Acc: 0.1094	Train loss: 0.0224	Test Acc: 0.1005	Test loss: 0.0512
Epoch 33 	Train Acc: 0.1121	Train loss: 0.0225	Test Acc: 0.0993	Test loss: 0.0384
Epoch 34 	Train Acc: 0.1020	Train loss: 0.0222	Test Acc: 0.0997	Test loss: 0.0314
Epoch 35 	Train Acc: 0.1008	Train loss: 0.0220	Test Acc: 0.0997	Test loss: 0.0266
Epoch 36 	Train Acc: 0.1023	Train loss: 0.0217	Test Acc: 0.0997	Test loss: 0.0239
Epoch 37 	Train Acc: 0.1012	Train loss: 0.0216	Test Acc: 0.1000	Test loss: 0.0227
Epoch 38 	Train Acc: 0.0930	Train loss: 0.0213	Test Acc: 0.1000	Test loss: 0.0217
Epoch 39 	Train Acc: 0.1051	Train loss: 0.0396	Test Acc: 0.1000	Test loss: 0.0211
Epoch 40 	Train Acc: 0.0988	Train loss: 0.0206	Test Acc: 0.1000	Test loss: 0.0208
Epoch 41 	Train Acc: 0.1031	Train loss: 0.0204	Test Acc: 0.1000	Test loss: 0.0206
Epoch 42 	Train Acc: 0.0926	Train loss: 0.0204	Test Acc: 0.1000	Test loss: 0.0204
Epoch 43 	Train Acc: 0.1066	Train loss: 0.0201	Test Acc: 0.1000	Test loss: 0.0202
Epoch 44 	Train Acc: 0.1047	Train loss: 0.0198	Test Acc: 0.1000	Test loss: 0.0200
Epoch 45 	Train Acc: 0.1035	Train loss: 0.0197	Test Acc: 0.1000	Test loss: 0.0199
Epoch 46 	Train Acc: 0.1023	Train loss: 0.0196	Test Acc: 0.1000	Test loss: 0.0197
Epoch 47 	Train Acc: 0.0945	Train loss: 0.0196	Test Acc: 0.1000	Test loss: 0.0196
Epoch 48 	Train Acc: 0.0953	Train loss: 0.0193	Test Acc: 0.1000	Test loss: 0.0195
Epoch 49 	Train Acc: 0.0980	Train loss: 0.0192	Test Acc: 0.1000	Test loss: 0.0194
Epoch 50 	Train Acc: 0.1023	Train loss: 0.0192	Test Acc: 0.1000	Test loss: 0.0192
Epoch 51 	Train Acc: 0.0980	Train loss: 0.0191	Test Acc: 0.1000	Test loss: 0.0191
Epoch 52 	Train Acc: 0.1031	Train loss: 0.0188	Test Acc: 0.1000	Test loss: 0.0190
Epoch 53 	Train Acc: 0.0914	Train loss: 0.0188	Test Acc: 0.1000	Test loss: 0.0190
Epoch 54 	Train Acc: 0.0910	Train loss: 0.0189	Test Acc: 0.1000	Test loss: 0.0189
Epoch 55 	Train Acc: 0.1008	Train loss: 0.0186	Test Acc: 0.1000	Test loss: 0.0188
Epoch 56 	Train Acc: 0.1027	Train loss: 0.0186	Test Acc: 0.1000	Test loss: 0.0187
Epoch 57 	Train Acc: 0.0914	Train loss: 0.0186	Test Acc: 0.1000	Test loss: 0.0187
Epoch 58 	Train Acc: 0.0996	Train loss: 0.0185	Test Acc: 0.1000	Test loss: 0.0186
Epoch 59 	Train Acc: 0.0993	Train loss: 0.0344	Test Acc: 0.1000	Test loss: 0.0186
Epoch 60 	Train Acc: 0.0984	Train loss: 0.0183	Test Acc: 0.1000	Test loss: 0.0185
Epoch 61 	Train Acc: 0.1016	Train loss: 0.0184	Test Acc: 0.1000	Test loss: 0.0185
Epoch 62 	Train Acc: 0.0980	Train loss: 0.0183	Test Acc: 0.1000	Test loss: 0.0185
