seed: 4, algorithm: FedSGD, optimizer: SGD, momentum: 0.9, weight_decay: 0.0005, lr_scheduler: MultiStepLR, milestones: [0.6, 0.8], batch_size: 128, learning_rate: 0.05, model: mycnn, dataset: CIFAR10, distribution: iid, im_iid_gamma: 0.01, tail_cls_from: 4, dirichlet_alpha: 0.2, cache_partition: False, num_workers: 0, record_time: False, gpu_idx: [2], my_exp: True, epochs: 200, predict_epochs: 5, predict_alpha: 0.8, show_sign_flip: False, other_show_3d: False, only_show_last_epoch: True, npy_file_name: 4.3.2, npy_prefix: None, num_clients: 20, num_adv: 4, attack: NoAttack, defense: Bucketing, attack_params: None, defense_params: {'bucket_size': 2, 'selected_aggregator': 'Krum'}, benchmark: False, num_training_sample: 50000, num_channels: 3, num_classes: 10, mean: (0.4914, 0.4822, 0.4465), std: (0.247, 0.243, 0.261), device: cuda:2, output: ./logs/FedSGD/CIFAR10_mycnn/iid/NoAttack_Bucketing/200_20_4_0.05_2025-03-08_22-14-40.txt

Started on Sat Mar  8 22:14:40 2025
Generating new indices
Doing iid partition
iid partition finished
Data partitioned
Clients and server are initialized
Starting Training...
Epoch 0  	Train Acc: 0.0949	Train loss: 0.0181	Test Acc: 0.1404	Test loss: 0.0182
Epoch 1  	Train Acc: 0.1477	Train loss: 0.0178	Test Acc: 0.1029	Test loss: 0.0181
Epoch 2  	Train Acc: 0.1441	Train loss: 0.0174	Test Acc: 0.2141	Test loss: 0.0180
Epoch 3  	Train Acc: 0.1891	Train loss: 0.0169	Test Acc: 0.2322	Test loss: 0.0178
Epoch 4  	Train Acc: 0.2684	Train loss: 0.0163	Test Acc: 0.2685	Test loss: 0.0176
Epoch 5  	Train Acc: 0.2539	Train loss: 0.0158	Test Acc: 0.2022	Test loss: 0.0173
Epoch 6  	Train Acc: 0.2457	Train loss: 0.0162	Test Acc: 0.2500	Test loss: 0.0171
Epoch 7  	Train Acc: 0.2668	Train loss: 0.0160	Test Acc: 0.2449	Test loss: 0.0167
Epoch 8  	Train Acc: 0.2797	Train loss: 0.0154	Test Acc: 0.2730	Test loss: 0.0166
Epoch 9  	Train Acc: 0.2914	Train loss: 0.0148	Test Acc: 0.2320	Test loss: 0.0164
Epoch 10 	Train Acc: 0.2629	Train loss: 0.0156	Test Acc: 0.3043	Test loss: 0.0160
Epoch 11 	Train Acc: 0.3258	Train loss: 0.0141	Test Acc: 0.3355	Test loss: 0.0157
Epoch 12 	Train Acc: 0.3363	Train loss: 0.0141	Test Acc: 0.2535	Test loss: 0.0157
Epoch 13 	Train Acc: 0.2988	Train loss: 0.0142	Test Acc: 0.2301	Test loss: 0.0157
Epoch 14 	Train Acc: 0.2945	Train loss: 0.0141	Test Acc: 0.2721	Test loss: 0.0151
Epoch 15 	Train Acc: 0.3301	Train loss: 0.0138	Test Acc: 0.3404	Test loss: 0.0144
Epoch 16 	Train Acc: 0.3406	Train loss: 0.0135	Test Acc: 0.3252	Test loss: 0.0142
