seed: 4, algorithm: FedSGD, optimizer: SGD, momentum: 0.9, weight_decay: 0.0005, lr_scheduler: MultiStepLR, milestones: [0.6, 0.8], batch_size: 128, learning_rate: 0.05, model: mycnn, dataset: CIFAR10, distribution: iid, im_iid_gamma: 0.01, tail_cls_from: 4, dirichlet_alpha: 0.2, cache_partition: False, num_workers: 0, record_time: False, gpu_idx: [3], my_exp: True, epochs: 200, predict_epochs: 5, predict_alpha: 0.8, show_sign_flip: False, other_show_3d: False, only_show_last_epoch: True, npy_file_name: 4.3.2, npy_prefix: None, num_clients: 20, num_adv: 4, attack: NoAttack, defense: Krum, attack_params: None, defense_params: {'enable_check': False}, benchmark: False, num_training_sample: 50000, num_channels: 3, num_classes: 10, mean: (0.4914, 0.4822, 0.4465), std: (0.247, 0.243, 0.261), device: cuda:3, output: ./logs/FedSGD/CIFAR10_mycnn/iid/NoAttack_Krum/200_20_4_0.05_2025-03-08_22-14-41.txt

Started on Sat Mar  8 22:14:41 2025
Generating new indices
Doing iid partition
iid partition finished
Data partitioned
Clients and server are initialized
Starting Training...
Epoch 0  	Train Acc: 0.0949	Train loss: 0.0181	Test Acc: 0.1023	Test loss: 0.0182
Epoch 1  	Train Acc: 0.1270	Train loss: 0.0177	Test Acc: 0.1229	Test loss: 0.0181
Epoch 2  	Train Acc: 0.1684	Train loss: 0.0173	Test Acc: 0.2173	Test loss: 0.0179
Epoch 3  	Train Acc: 0.2527	Train loss: 0.0167	Test Acc: 0.1873	Test loss: 0.0177
Epoch 4  	Train Acc: 0.2734	Train loss: 0.0156	Test Acc: 0.2259	Test loss: 0.0175
Epoch 5  	Train Acc: 0.2609	Train loss: 0.0155	Test Acc: 0.2620	Test loss: 0.0171
Epoch 6  	Train Acc: 0.2613	Train loss: 0.0157	Test Acc: 0.2556	Test loss: 0.0171
Epoch 7  	Train Acc: 0.2820	Train loss: 0.0164	Test Acc: 0.2742	Test loss: 0.0168
Epoch 8  	Train Acc: 0.3180	Train loss: 0.0156	Test Acc: 0.2808	Test loss: 0.0164
Epoch 9  	Train Acc: 0.2883	Train loss: 0.0163	Test Acc: 0.2722	Test loss: 0.0163
Epoch 10 	Train Acc: 0.3207	Train loss: 0.0142	Test Acc: 0.2453	Test loss: 0.0164
Epoch 11 	Train Acc: 0.2840	Train loss: 0.0153	Test Acc: 0.2490	Test loss: 0.0161
Epoch 12 	Train Acc: 0.2973	Train loss: 0.0150	Test Acc: 0.2689	Test loss: 0.0157
Epoch 13 	Train Acc: 0.3148	Train loss: 0.0143	Test Acc: 0.2854	Test loss: 0.0156
Epoch 14 	Train Acc: 0.3293	Train loss: 0.0142	Test Acc: 0.2712	Test loss: 0.0154
Epoch 15 	Train Acc: 0.3410	Train loss: 0.0141	Test Acc: 0.2755	Test loss: 0.0150
Epoch 16 	Train Acc: 0.3230	Train loss: 0.0141	Test Acc: 0.2864	Test loss: 0.0151
Epoch 17 	Train Acc: 0.3148	Train loss: 0.0145	Test Acc: 0.3303	Test loss: 0.0143
Epoch 18 	Train Acc: 0.3695	Train loss: 0.0135	Test Acc: 0.3583	Test loss: 0.0138
Epoch 19 	Train Acc: 0.3632	Train loss: 0.0249	Test Acc: 0.3511	Test loss: 0.0135
Epoch 20 	Train Acc: 0.3496	Train loss: 0.0135	Test Acc: 0.3421	Test loss: 0.0136
Epoch 21 	Train Acc: 0.3602	Train loss: 0.0134	Test Acc: 0.3328	Test loss: 0.0140
Epoch 22 	Train Acc: 0.3652	Train loss: 0.0132	Test Acc: 0.3448	Test loss: 0.0141
Epoch 23 	Train Acc: 0.3531	Train loss: 0.0137	Test Acc: 0.3542	Test loss: 0.0146
Epoch 24 	Train Acc: 0.3871	Train loss: 0.0136	Test Acc: 0.3661	Test loss: 0.0137
Epoch 25 	Train Acc: 0.3828	Train loss: 0.0128	Test Acc: 0.3499	Test loss: 0.0138
Epoch 26 	Train Acc: 0.3328	Train loss: 0.0137	Test Acc: 0.3478	Test loss: 0.0138
Epoch 27 	Train Acc: 0.3629	Train loss: 0.0133	Test Acc: 0.3576	Test loss: 0.0137
Epoch 28 	Train Acc: 0.3895	Train loss: 0.0128	Test Acc: 0.3688	Test loss: 0.0137
Epoch 29 	Train Acc: 0.3805	Train loss: 0.0133	Test Acc: 0.3819	Test loss: 0.0129
Epoch 30 	Train Acc: 0.3937	Train loss: 0.0127	Test Acc: 0.3771	Test loss: 0.0132
Epoch 31 	Train Acc: 0.3766	Train loss: 0.0130	Test Acc: 0.3699	Test loss: 0.0135
Epoch 32 	Train Acc: 0.4023	Train loss: 0.0128	Test Acc: 0.3765	Test loss: 0.0136
Epoch 33 	Train Acc: 0.4012	Train loss: 0.0126	Test Acc: 0.3381	Test loss: 0.0151
Epoch 34 	Train Acc: 0.3766	Train loss: 0.0134	Test Acc: 0.3726	Test loss: 0.0130
