seed: 4, algorithm: FedSGD, optimizer: SGD, momentum: 0.9, weight_decay: 0.0005, batch_size: 128, learning_rate: 0.1, model: mycnn, dataset: CIFAR10, distribution: iid, im_iid_gamma: 0.01, tail_cls_from: 4, dirichlet_alpha: 0.2, cache_partition: False, num_workers: 0, record_time: False, gpu_idx: [0], my_exp: True, epochs: 200, predict_epochs: 5, predict_alpha: 0.8, show_sign_flip: False, other_show_3d: False, only_show_last_epoch: False, npy_file_name: cifar10-test, npy_prefix: None, num_clients: 10, num_adv: 2, attack: NoAttack, defense: Mean, attack_params: None, defense_params: None, benchmark: False, num_training_sample: 50000, num_channels: 3, num_classes: 10, mean: (0.4914, 0.4822, 0.4465), std: (0.247, 0.243, 0.261), device: cuda:0, output: ./logs/FedSGD/CIFAR10_mycnn/iid/NoAttack_Mean/200_10_2_0.1_2025-03-05_11-33-18.txt

Started on Wed Mar  5 11:33:18 2025
Generating new indices
Doing iid partition
iid partition finished
Data partitioned
Clients and server are initialized
Starting Training...
Epoch 0  	Train Acc: 0.1359	Train loss: 0.0180	Test Acc: 0.1054	Test loss: 0.0181
Epoch 1  	Train Acc: 0.1867	Train loss: 0.0173	Test Acc: 0.2559	Test loss: 0.0180
Epoch 2  	Train Acc: 0.2781	Train loss: 0.0163	Test Acc: 0.1776	Test loss: 0.0178
Epoch 3  	Train Acc: 0.3023	Train loss: 0.0155	Test Acc: 0.2418	Test loss: 0.0174
Epoch 4  	Train Acc: 0.2594	Train loss: 0.0154	Test Acc: 0.2596	Test loss: 0.0171
Epoch 5  	Train Acc: 0.3063	Train loss: 0.0172	Test Acc: 0.2747	Test loss: 0.0170
Epoch 6  	Train Acc: 0.2992	Train loss: 0.0184	Test Acc: 0.2499	Test loss: 0.0168
Epoch 7  	Train Acc: 0.2797	Train loss: 0.0145	Test Acc: 0.2941	Test loss: 0.0169
Epoch 8  	Train Acc: 0.2820	Train loss: 0.0147	Test Acc: 0.2965	Test loss: 0.0167
Epoch 9  	Train Acc: 0.3172	Train loss: 0.0144	Test Acc: 0.2663	Test loss: 0.0161
Epoch 10 	Train Acc: 0.3242	Train loss: 0.0140	Test Acc: 0.2965	Test loss: 0.0153
Epoch 11 	Train Acc: 0.3312	Train loss: 0.0137	Test Acc: 0.3365	Test loss: 0.0144
Epoch 12 	Train Acc: 0.3719	Train loss: 0.0130	Test Acc: 0.3249	Test loss: 0.0142
Epoch 13 	Train Acc: 0.3484	Train loss: 0.0129	Test Acc: 0.2939	Test loss: 0.0151
Epoch 14 	Train Acc: 0.3602	Train loss: 0.0132	Test Acc: 0.3083	Test loss: 0.0142
Epoch 15 	Train Acc: 0.3680	Train loss: 0.0132	Test Acc: 0.3654	Test loss: 0.0134
Epoch 16 	Train Acc: 0.4031	Train loss: 0.0125	Test Acc: 0.3175	Test loss: 0.0147
Epoch 17 	Train Acc: 0.3758	Train loss: 0.0129	Test Acc: 0.3352	Test loss: 0.0141
Epoch 18 	Train Acc: 0.4078	Train loss: 0.0122	Test Acc: 0.3826	Test loss: 0.0132
Epoch 19 	Train Acc: 0.4016	Train loss: 0.0127	Test Acc: 0.4018	Test loss: 0.0129
Epoch 20 	Train Acc: 0.4508	Train loss: 0.0122	Test Acc: 0.4464	Test loss: 0.0122
Epoch 21 	Train Acc: 0.4406	Train loss: 0.0121	Test Acc: 0.3962	Test loss: 0.0126
Epoch 22 	Train Acc: 0.4156	Train loss: 0.0125	Test Acc: 0.3852	Test loss: 0.0130
Epoch 23 	Train Acc: 0.4445	Train loss: 0.0120	Test Acc: 0.4188	Test loss: 0.0124
Epoch 24 	Train Acc: 0.4133	Train loss: 0.0125	Test Acc: 0.3856	Test loss: 0.0127
Epoch 25 	Train Acc: 0.4062	Train loss: 0.0122	Test Acc: 0.4178	Test loss: 0.0123
Epoch 26 	Train Acc: 0.4430	Train loss: 0.0115	Test Acc: 0.4263	Test loss: 0.0125
Epoch 27 	Train Acc: 0.4648	Train loss: 0.0114	Test Acc: 0.4392	Test loss: 0.0122
Epoch 28 	Train Acc: 0.4852	Train loss: 0.0111	Test Acc: 0.4505	Test loss: 0.0118
Epoch 29 	Train Acc: 0.4766	Train loss: 0.0112	Test Acc: 0.4598	Test loss: 0.0117
Epoch 30 	Train Acc: 0.4820	Train loss: 0.0108	Test Acc: 0.4710	Test loss: 0.0116
Epoch 31 	Train Acc: 0.4789	Train loss: 0.0109	Test Acc: 0.4718	Test loss: 0.0116
Epoch 32 	Train Acc: 0.4828	Train loss: 0.0110	Test Acc: 0.4854	Test loss: 0.0114
Epoch 33 	Train Acc: 0.4703	Train loss: 0.0110	Test Acc: 0.4836	Test loss: 0.0111
Epoch 34 	Train Acc: 0.5352	Train loss: 0.0100	Test Acc: 0.4636	Test loss: 0.0116
Epoch 35 	Train Acc: 0.4797	Train loss: 0.0108	Test Acc: 0.4863	Test loss: 0.0110
Epoch 36 	Train Acc: 0.5242	Train loss: 0.0103	Test Acc: 0.5057	Test loss: 0.0110
Epoch 37 	Train Acc: 0.5055	Train loss: 0.0105	Test Acc: 0.5115	Test loss: 0.0106
Epoch 38 	Train Acc: 0.5188	Train loss: 0.0102	Test Acc: 0.4894	Test loss: 0.0109
