seed: 4, algorithm: FedSGD, optimizer: SGD, momentum: 0.9, weight_decay: 0.0005, lr_scheduler: MultiStepLR, milestones: [0.6, 0.8], batch_size: 128, learning_rate: 0.05, model: mycnn, dataset: CIFAR10, distribution: iid, im_iid_gamma: 0.01, tail_cls_from: 4, dirichlet_alpha: 0.2, cache_partition: False, num_workers: 0, record_time: False, gpu_idx: [0], my_exp: True, epochs: 200, predict_epochs: 5, predict_alpha: 0.8, show_sign_flip: False, other_show_3d: False, only_show_last_epoch: False, npy_file_name: cifar10-test, npy_prefix: None, num_clients: 20, num_adv: 4, attack: NoAttack, defense: Mean, attack_params: None, defense_params: None, benchmark: False, num_training_sample: 50000, num_channels: 3, num_classes: 10, mean: (0.4914, 0.4822, 0.4465), std: (0.247, 0.243, 0.261), device: cuda:0, output: ./logs/FedSGD/CIFAR10_mycnn/iid/NoAttack_Mean/200_20_4_0.05_2025-03-05_14-20-09.txt

Started on Wed Mar  5 14:20:09 2025
Generating new indices
Doing iid partition
iid partition finished
Data partitioned
Clients and server are initialized
Starting Training...
Epoch 0  	Train Acc: 0.0949	Train loss: 0.0181	Test Acc: 0.1002	Test loss: 0.0182
Epoch 1  	Train Acc: 0.1437	Train loss: 0.0176	Test Acc: 0.1562	Test loss: 0.0181
Epoch 2  	Train Acc: 0.2430	Train loss: 0.0170	Test Acc: 0.2094	Test loss: 0.0179
Epoch 3  	Train Acc: 0.2973	Train loss: 0.0161	Test Acc: 0.2577	Test loss: 0.0177
Epoch 4  	Train Acc: 0.3109	Train loss: 0.0155	Test Acc: 0.3071	Test loss: 0.0174
Epoch 5  	Train Acc: 0.3410	Train loss: 0.0146	Test Acc: 0.3126	Test loss: 0.0171
Epoch 6  	Train Acc: 0.3621	Train loss: 0.0141	Test Acc: 0.3163	Test loss: 0.0168
Epoch 7  	Train Acc: 0.3777	Train loss: 0.0136	Test Acc: 0.3080	Test loss: 0.0164
Epoch 8  	Train Acc: 0.3957	Train loss: 0.0134	Test Acc: 0.2512	Test loss: 0.0161
Epoch 9  	Train Acc: 0.4043	Train loss: 0.0128	Test Acc: 0.2254	Test loss: 0.0160
Epoch 10 	Train Acc: 0.3812	Train loss: 0.0134	Test Acc: 0.2212	Test loss: 0.0161
Epoch 11 	Train Acc: 0.3945	Train loss: 0.0130	Test Acc: 0.2108	Test loss: 0.0169
Epoch 12 	Train Acc: 0.3586	Train loss: 0.0145	Test Acc: 0.1889	Test loss: 0.0172
Epoch 13 	Train Acc: 0.3746	Train loss: 0.0133	Test Acc: 0.2109	Test loss: 0.0159
Epoch 14 	Train Acc: 0.3551	Train loss: 0.0143	Test Acc: 0.2243	Test loss: 0.0174
Epoch 15 	Train Acc: 0.3941	Train loss: 0.0144	Test Acc: 0.1789	Test loss: 0.0168
Epoch 16 	Train Acc: 0.3574	Train loss: 0.0139	Test Acc: 0.2507	Test loss: 0.0154
Epoch 17 	Train Acc: 0.4102	Train loss: 0.0124	Test Acc: 0.2347	Test loss: 0.0150
Epoch 18 	Train Acc: 0.4254	Train loss: 0.0125	Test Acc: 0.3246	Test loss: 0.0145
Epoch 19 	Train Acc: 0.3669	Train loss: 0.0234	Test Acc: 0.3774	Test loss: 0.0138
Epoch 20 	Train Acc: 0.3977	Train loss: 0.0125	Test Acc: 0.3968	Test loss: 0.0132
Epoch 21 	Train Acc: 0.4352	Train loss: 0.0119	Test Acc: 0.4087	Test loss: 0.0127
Epoch 22 	Train Acc: 0.4539	Train loss: 0.0115	Test Acc: 0.4274	Test loss: 0.0124
Epoch 23 	Train Acc: 0.4605	Train loss: 0.0114	Test Acc: 0.4163	Test loss: 0.0123
Epoch 24 	Train Acc: 0.4465	Train loss: 0.0113	Test Acc: 0.4260	Test loss: 0.0123
Epoch 25 	Train Acc: 0.4750	Train loss: 0.0111	Test Acc: 0.3863	Test loss: 0.0127
Epoch 26 	Train Acc: 0.4688	Train loss: 0.0113	Test Acc: 0.4025	Test loss: 0.0126
Epoch 27 	Train Acc: 0.4582	Train loss: 0.0115	Test Acc: 0.4383	Test loss: 0.0121
Epoch 28 	Train Acc: 0.4945	Train loss: 0.0108	Test Acc: 0.4496	Test loss: 0.0117
Epoch 29 	Train Acc: 0.5086	Train loss: 0.0107	Test Acc: 0.4716	Test loss: 0.0112
Epoch 30 	Train Acc: 0.4961	Train loss: 0.0109	Test Acc: 0.4798	Test loss: 0.0112
Epoch 31 	Train Acc: 0.5145	Train loss: 0.0101	Test Acc: 0.4944	Test loss: 0.0110
Epoch 32 	Train Acc: 0.5117	Train loss: 0.0105	Test Acc: 0.5106	Test loss: 0.0106
Epoch 33 	Train Acc: 0.5254	Train loss: 0.0103	Test Acc: 0.5020	Test loss: 0.0107
Epoch 34 	Train Acc: 0.5066	Train loss: 0.0106	Test Acc: 0.4907	Test loss: 0.0109
Epoch 35 	Train Acc: 0.5387	Train loss: 0.0100	Test Acc: 0.5042	Test loss: 0.0107
Epoch 36 	Train Acc: 0.5281	Train loss: 0.0100	Test Acc: 0.5016	Test loss: 0.0105
Epoch 37 	Train Acc: 0.5441	Train loss: 0.0100	Test Acc: 0.5001	Test loss: 0.0108
Epoch 38 	Train Acc: 0.5262	Train loss: 0.0099	Test Acc: 0.5275	Test loss: 0.0102
Epoch 39 	Train Acc: 0.5551	Train loss: 0.0176	Test Acc: 0.5314	Test loss: 0.0100
Epoch 40 	Train Acc: 0.5480	Train loss: 0.0098	Test Acc: 0.5422	Test loss: 0.0101
Epoch 41 	Train Acc: 0.5711	Train loss: 0.0095	Test Acc: 0.5521	Test loss: 0.0097
Epoch 42 	Train Acc: 0.5488	Train loss: 0.0096	Test Acc: 0.5546	Test loss: 0.0097
Epoch 43 	Train Acc: 0.5730	Train loss: 0.0093	Test Acc: 0.5568	Test loss: 0.0096
Epoch 44 	Train Acc: 0.5922	Train loss: 0.0088	Test Acc: 0.5692	Test loss: 0.0094
Epoch 45 	Train Acc: 0.5777	Train loss: 0.0091	Test Acc: 0.5332	Test loss: 0.0102
Epoch 46 	Train Acc: 0.5785	Train loss: 0.0089	Test Acc: 0.5639	Test loss: 0.0096
Epoch 47 	Train Acc: 0.5941	Train loss: 0.0089	Test Acc: 0.5710	Test loss: 0.0094
Epoch 48 	Train Acc: 0.6082	Train loss: 0.0085	Test Acc: 0.5864	Test loss: 0.0090
Epoch 49 	Train Acc: 0.5941	Train loss: 0.0088	Test Acc: 0.5892	Test loss: 0.0090
Epoch 50 	Train Acc: 0.5863	Train loss: 0.0088	Test Acc: 0.5834	Test loss: 0.0092
Epoch 51 	Train Acc: 0.6191	Train loss: 0.0084	Test Acc: 0.5462	Test loss: 0.0101
Epoch 52 	Train Acc: 0.6004	Train loss: 0.0088	Test Acc: 0.5780	Test loss: 0.0092
