seed: 4, algorithm: FedSGD, optimizer: SGD, momentum: 0.9, weight_decay: 0.0005, lr_scheduler: MultiStepLR, milestones: [0.6, 0.8], batch_size: 128, learning_rate: 0.05, model: mycnn, dataset: CIFAR10, distribution: iid, im_iid_gamma: 0.01, tail_cls_from: 4, dirichlet_alpha: 0.2, cache_partition: False, num_workers: 0, record_time: False, gpu_idx: [3], my_exp: True, epochs: 200, predict_epochs: 5, predict_alpha: 0.8, show_sign_flip: False, other_show_3d: False, only_show_last_epoch: True, npy_file_name: 4.3.2, npy_prefix: None, num_clients: 20, num_adv: 4, attack: NoAttack, defense: Median, attack_params: None, defense_params: None, benchmark: False, num_training_sample: 50000, num_channels: 3, num_classes: 10, mean: (0.4914, 0.4822, 0.4465), std: (0.247, 0.243, 0.261), device: cuda:3, output: ./logs/FedSGD/CIFAR10_mycnn/iid/NoAttack_Median/200_20_4_0.05_2025-03-08_22-14-40.txt

Started on Sat Mar  8 22:14:40 2025
Generating new indices
Doing iid partition
iid partition finished
Data partitioned
Clients and server are initialized
Starting Training...
Epoch 0  	Train Acc: 0.0949	Train loss: 0.0181	Test Acc: 0.1005	Test loss: 0.0182
Epoch 1  	Train Acc: 0.1391	Train loss: 0.0176	Test Acc: 0.1558	Test loss: 0.0181
Epoch 2  	Train Acc: 0.2480	Train loss: 0.0170	Test Acc: 0.2022	Test loss: 0.0179
Epoch 3  	Train Acc: 0.2926	Train loss: 0.0161	Test Acc: 0.2630	Test loss: 0.0177
Epoch 4  	Train Acc: 0.3105	Train loss: 0.0155	Test Acc: 0.3050	Test loss: 0.0174
Epoch 5  	Train Acc: 0.3402	Train loss: 0.0146	Test Acc: 0.3139	Test loss: 0.0171
Epoch 6  	Train Acc: 0.3629	Train loss: 0.0141	Test Acc: 0.3175	Test loss: 0.0167
Epoch 7  	Train Acc: 0.3828	Train loss: 0.0137	Test Acc: 0.3035	Test loss: 0.0164
Epoch 8  	Train Acc: 0.3898	Train loss: 0.0134	Test Acc: 0.2575	Test loss: 0.0161
Epoch 9  	Train Acc: 0.4078	Train loss: 0.0128	Test Acc: 0.2339	Test loss: 0.0159
Epoch 10 	Train Acc: 0.3844	Train loss: 0.0133	Test Acc: 0.2161	Test loss: 0.0161
Epoch 11 	Train Acc: 0.3914	Train loss: 0.0131	Test Acc: 0.2129	Test loss: 0.0170
Epoch 12 	Train Acc: 0.3586	Train loss: 0.0145	Test Acc: 0.1972	Test loss: 0.0170
Epoch 13 	Train Acc: 0.3734	Train loss: 0.0135	Test Acc: 0.1977	Test loss: 0.0161
Epoch 14 	Train Acc: 0.3539	Train loss: 0.0146	Test Acc: 0.2137	Test loss: 0.0177
Epoch 15 	Train Acc: 0.3758	Train loss: 0.0144	Test Acc: 0.1752	Test loss: 0.0167
Epoch 16 	Train Acc: 0.3688	Train loss: 0.0140	Test Acc: 0.2492	Test loss: 0.0153
Epoch 17 	Train Acc: 0.3879	Train loss: 0.0126	Test Acc: 0.2361	Test loss: 0.0150
Epoch 18 	Train Acc: 0.3953	Train loss: 0.0127	Test Acc: 0.3136	Test loss: 0.0146
Epoch 19 	Train Acc: 0.3993	Train loss: 0.0235	Test Acc: 0.3509	Test loss: 0.0140
Epoch 20 	Train Acc: 0.3984	Train loss: 0.0125	Test Acc: 0.3768	Test loss: 0.0133
Epoch 21 	Train Acc: 0.4207	Train loss: 0.0120	Test Acc: 0.4116	Test loss: 0.0126
Epoch 22 	Train Acc: 0.4547	Train loss: 0.0115	Test Acc: 0.4402	Test loss: 0.0122
Epoch 23 	Train Acc: 0.4641	Train loss: 0.0114	Test Acc: 0.4241	Test loss: 0.0121
Epoch 24 	Train Acc: 0.4461	Train loss: 0.0113	Test Acc: 0.4361	Test loss: 0.0121
Epoch 25 	Train Acc: 0.4664	Train loss: 0.0111	Test Acc: 0.4055	Test loss: 0.0124
Epoch 26 	Train Acc: 0.4629	Train loss: 0.0114	Test Acc: 0.4261	Test loss: 0.0121
Epoch 27 	Train Acc: 0.4730	Train loss: 0.0113	Test Acc: 0.4307	Test loss: 0.0122
Epoch 28 	Train Acc: 0.4836	Train loss: 0.0108	Test Acc: 0.4225	Test loss: 0.0120
Epoch 29 	Train Acc: 0.5031	Train loss: 0.0107	Test Acc: 0.4594	Test loss: 0.0114
Epoch 30 	Train Acc: 0.4957	Train loss: 0.0108	Test Acc: 0.4574	Test loss: 0.0115
Epoch 31 	Train Acc: 0.5145	Train loss: 0.0102	Test Acc: 0.4929	Test loss: 0.0110
Epoch 32 	Train Acc: 0.5059	Train loss: 0.0105	Test Acc: 0.5092	Test loss: 0.0106
Epoch 33 	Train Acc: 0.5227	Train loss: 0.0103	Test Acc: 0.4901	Test loss: 0.0109
Epoch 34 	Train Acc: 0.5102	Train loss: 0.0106	Test Acc: 0.4829	Test loss: 0.0111
Epoch 35 	Train Acc: 0.5414	Train loss: 0.0100	Test Acc: 0.5052	Test loss: 0.0107
Epoch 36 	Train Acc: 0.5188	Train loss: 0.0102	Test Acc: 0.4879	Test loss: 0.0109
Epoch 37 	Train Acc: 0.5371	Train loss: 0.0100	Test Acc: 0.5028	Test loss: 0.0109
Epoch 38 	Train Acc: 0.5184	Train loss: 0.0101	Test Acc: 0.5250	Test loss: 0.0104
Epoch 39 	Train Acc: 0.5537	Train loss: 0.0177	Test Acc: 0.5256	Test loss: 0.0102
Epoch 40 	Train Acc: 0.5574	Train loss: 0.0097	Test Acc: 0.5351	Test loss: 0.0102
Epoch 41 	Train Acc: 0.5598	Train loss: 0.0096	Test Acc: 0.5484	Test loss: 0.0098
Epoch 42 	Train Acc: 0.5434	Train loss: 0.0097	Test Acc: 0.5553	Test loss: 0.0096
Epoch 43 	Train Acc: 0.5617	Train loss: 0.0094	Test Acc: 0.5578	Test loss: 0.0097
Epoch 44 	Train Acc: 0.5980	Train loss: 0.0088	Test Acc: 0.5700	Test loss: 0.0094
Epoch 45 	Train Acc: 0.5758	Train loss: 0.0092	Test Acc: 0.5682	Test loss: 0.0093
Epoch 46 	Train Acc: 0.5895	Train loss: 0.0088	Test Acc: 0.5679	Test loss: 0.0094
Epoch 47 	Train Acc: 0.5887	Train loss: 0.0090	Test Acc: 0.5713	Test loss: 0.0094
Epoch 48 	Train Acc: 0.6105	Train loss: 0.0086	Test Acc: 0.5798	Test loss: 0.0092
Epoch 49 	Train Acc: 0.6000	Train loss: 0.0088	Test Acc: 0.5876	Test loss: 0.0090
Epoch 50 	Train Acc: 0.5949	Train loss: 0.0087	Test Acc: 0.5913	Test loss: 0.0090
Epoch 51 	Train Acc: 0.6066	Train loss: 0.0086	Test Acc: 0.5323	Test loss: 0.0102
Epoch 52 	Train Acc: 0.6074	Train loss: 0.0086	Test Acc: 0.5330	Test loss: 0.0102
Epoch 53 	Train Acc: 0.5758	Train loss: 0.0090	Test Acc: 0.5866	Test loss: 0.0090
Epoch 54 	Train Acc: 0.6109	Train loss: 0.0085	Test Acc: 0.6040	Test loss: 0.0088
Epoch 55 	Train Acc: 0.6121	Train loss: 0.0084	Test Acc: 0.5885	Test loss: 0.0091
Epoch 56 	Train Acc: 0.6281	Train loss: 0.0082	Test Acc: 0.5620	Test loss: 0.0094
Epoch 57 	Train Acc: 0.5941	Train loss: 0.0087	Test Acc: 0.6107	Test loss: 0.0086
Epoch 58 	Train Acc: 0.6172	Train loss: 0.0084	Test Acc: 0.6110	Test loss: 0.0085
Epoch 59 	Train Acc: 0.5934	Train loss: 0.0163	Test Acc: 0.5675	Test loss: 0.0095
Epoch 60 	Train Acc: 0.6168	Train loss: 0.0083	Test Acc: 0.5360	Test loss: 0.0104
Epoch 61 	Train Acc: 0.6109	Train loss: 0.0083	Test Acc: 0.6038	Test loss: 0.0088
Epoch 62 	Train Acc: 0.6215	Train loss: 0.0082	Test Acc: 0.6183	Test loss: 0.0085
Epoch 63 	Train Acc: 0.6199	Train loss: 0.0083	Test Acc: 0.6081	Test loss: 0.0088
Epoch 64 	Train Acc: 0.6477	Train loss: 0.0077	Test Acc: 0.5887	Test loss: 0.0093
Epoch 65 	Train Acc: 0.6266	Train loss: 0.0081	Test Acc: 0.6075	Test loss: 0.0087
Epoch 66 	Train Acc: 0.6277	Train loss: 0.0080	Test Acc: 0.5641	Test loss: 0.0100
Epoch 67 	Train Acc: 0.6133	Train loss: 0.0081	Test Acc: 0.5811	Test loss: 0.0091
Epoch 68 	Train Acc: 0.6246	Train loss: 0.0080	Test Acc: 0.5749	Test loss: 0.0096
Epoch 69 	Train Acc: 0.6133	Train loss: 0.0084	Test Acc: 0.6172	Test loss: 0.0083
Epoch 70 	Train Acc: 0.6262	Train loss: 0.0080	Test Acc: 0.5339	Test loss: 0.0104
Epoch 71 	Train Acc: 0.6109	Train loss: 0.0084	Test Acc: 0.6352	Test loss: 0.0081
Epoch 72 	Train Acc: 0.6602	Train loss: 0.0076	Test Acc: 0.6028	Test loss: 0.0088
Epoch 73 	Train Acc: 0.6250	Train loss: 0.0080	Test Acc: 0.5900	Test loss: 0.0093
Epoch 74 	Train Acc: 0.6387	Train loss: 0.0078	Test Acc: 0.6092	Test loss: 0.0090
Epoch 75 	Train Acc: 0.6531	Train loss: 0.0076	Test Acc: 0.6096	Test loss: 0.0087
Epoch 76 	Train Acc: 0.6387	Train loss: 0.0077	Test Acc: 0.6277	Test loss: 0.0082
Epoch 77 	Train Acc: 0.6504	Train loss: 0.0076	Test Acc: 0.6042	Test loss: 0.0087
Epoch 78 	Train Acc: 0.6855	Train loss: 0.0072	Test Acc: 0.6162	Test loss: 0.0084
Epoch 79 	Train Acc: 0.6765	Train loss: 0.0138	Test Acc: 0.6424	Test loss: 0.0079
Epoch 80 	Train Acc: 0.6645	Train loss: 0.0073	Test Acc: 0.6324	Test loss: 0.0082
Epoch 81 	Train Acc: 0.6582	Train loss: 0.0076	Test Acc: 0.6265	Test loss: 0.0085
Epoch 82 	Train Acc: 0.6828	Train loss: 0.0069	Test Acc: 0.6289	Test loss: 0.0084
Epoch 83 	Train Acc: 0.6609	Train loss: 0.0076	Test Acc: 0.6181	Test loss: 0.0086
Epoch 84 	Train Acc: 0.6844	Train loss: 0.0070	Test Acc: 0.6339	Test loss: 0.0082
Epoch 85 	Train Acc: 0.6820	Train loss: 0.0070	Test Acc: 0.6484	Test loss: 0.0079
Epoch 86 	Train Acc: 0.6613	Train loss: 0.0074	Test Acc: 0.6425	Test loss: 0.0080
Epoch 87 	Train Acc: 0.6598	Train loss: 0.0075	Test Acc: 0.6323	Test loss: 0.0083
Epoch 88 	Train Acc: 0.6820	Train loss: 0.0069	Test Acc: 0.6631	Test loss: 0.0075
Epoch 89 	Train Acc: 0.6887	Train loss: 0.0070	Test Acc: 0.6339	Test loss: 0.0082
Epoch 90 	Train Acc: 0.6914	Train loss: 0.0068	Test Acc: 0.5979	Test loss: 0.0092
Epoch 91 	Train Acc: 0.6645	Train loss: 0.0074	Test Acc: 0.6364	Test loss: 0.0080
Epoch 92 	Train Acc: 0.6687	Train loss: 0.0073	Test Acc: 0.6333	Test loss: 0.0083
Epoch 93 	Train Acc: 0.6844	Train loss: 0.0072	Test Acc: 0.6244	Test loss: 0.0084
Epoch 94 	Train Acc: 0.6816	Train loss: 0.0070	Test Acc: 0.6505	Test loss: 0.0078
Epoch 95 	Train Acc: 0.6820	Train loss: 0.0070	Test Acc: 0.6469	Test loss: 0.0078
Epoch 96 	Train Acc: 0.6809	Train loss: 0.0072	Test Acc: 0.6503	Test loss: 0.0080
Epoch 97 	Train Acc: 0.6871	Train loss: 0.0068	Test Acc: 0.6402	Test loss: 0.0082
Epoch 98 	Train Acc: 0.6848	Train loss: 0.0069	Test Acc: 0.6123	Test loss: 0.0088
Epoch 99 	Train Acc: 0.6721	Train loss: 0.0141	Test Acc: 0.6896	Test loss: 0.0069
Epoch 100	Train Acc: 0.7070	Train loss: 0.0066	Test Acc: 0.6596	Test loss: 0.0077
Epoch 101	Train Acc: 0.6855	Train loss: 0.0068	Test Acc: 0.6629	Test loss: 0.0075
Epoch 102	Train Acc: 0.7074	Train loss: 0.0066	Test Acc: 0.6700	Test loss: 0.0074
Epoch 103	Train Acc: 0.7016	Train loss: 0.0065	Test Acc: 0.6534	Test loss: 0.0077
Epoch 104	Train Acc: 0.7086	Train loss: 0.0066	Test Acc: 0.6500	Test loss: 0.0080
Epoch 105	Train Acc: 0.7012	Train loss: 0.0066	Test Acc: 0.6759	Test loss: 0.0073
Epoch 106	Train Acc: 0.7277	Train loss: 0.0061	Test Acc: 0.6753	Test loss: 0.0074
Epoch 107	Train Acc: 0.7156	Train loss: 0.0062	Test Acc: 0.6914	Test loss: 0.0070
