seed: 4, algorithm: FedSGD, optimizer: SGD, momentum: 0.9, weight_decay: 0.0005, lr_scheduler: MultiStepLR, milestones: [0.6, 0.8], batch_size: 128, learning_rate: 0.05, model: mycnn, dataset: CIFAR10, distribution: iid, im_iid_gamma: 0.01, tail_cls_from: 4, dirichlet_alpha: 0.2, cache_partition: False, num_workers: 0, record_time: False, gpu_idx: [3], my_exp: True, epochs: 200, predict_epochs: 5, predict_alpha: 0.8, show_sign_flip: False, other_show_3d: False, only_show_last_epoch: True, npy_file_name: 4.3.2, npy_prefix: None, num_clients: 20, num_adv: 4, attack: NoAttack, defense: MultiKrum, attack_params: None, defense_params: {'avg_percentage': 0.2, 'enable_check': False}, benchmark: False, num_training_sample: 50000, num_channels: 3, num_classes: 10, mean: (0.4914, 0.4822, 0.4465), std: (0.247, 0.243, 0.261), device: cuda:3, output: ./logs/FedSGD/CIFAR10_mycnn/iid/NoAttack_MultiKrum/200_20_4_0.05_2025-03-08_22-14-40.txt

Started on Sat Mar  8 22:14:40 2025
Generating new indices
Doing iid partition
iid partition finished
Data partitioned
Clients and server are initialized
Starting Training...
Epoch 0  	Train Acc: 0.0949	Train loss: 0.0181	Test Acc: 0.1018	Test loss: 0.0182
Epoch 1  	Train Acc: 0.1480	Train loss: 0.0176	Test Acc: 0.1282	Test loss: 0.0181
Epoch 2  	Train Acc: 0.2117	Train loss: 0.0170	Test Acc: 0.1888	Test loss: 0.0179
Epoch 3  	Train Acc: 0.2543	Train loss: 0.0163	Test Acc: 0.2060	Test loss: 0.0177
Epoch 4  	Train Acc: 0.3133	Train loss: 0.0157	Test Acc: 0.2621	Test loss: 0.0175
Epoch 5  	Train Acc: 0.2961	Train loss: 0.0153	Test Acc: 0.3036	Test loss: 0.0171
Epoch 6  	Train Acc: 0.3445	Train loss: 0.0143	Test Acc: 0.3119	Test loss: 0.0168
Epoch 7  	Train Acc: 0.3379	Train loss: 0.0142	Test Acc: 0.2990	Test loss: 0.0164
Epoch 8  	Train Acc: 0.3594	Train loss: 0.0138	Test Acc: 0.2594	Test loss: 0.0161
Epoch 9  	Train Acc: 0.3871	Train loss: 0.0132	Test Acc: 0.2526	Test loss: 0.0158
Epoch 10 	Train Acc: 0.3711	Train loss: 0.0138	Test Acc: 0.2465	Test loss: 0.0158
Epoch 11 	Train Acc: 0.3656	Train loss: 0.0133	Test Acc: 0.2217	Test loss: 0.0158
