seed: 4, algorithm: FedSGD, optimizer: SGD, momentum: 0.9, weight_decay: 0.0005, lr_scheduler: MultiStepLR, milestones: [0.6, 0.8], batch_size: 128, learning_rate: 0.05, model: mycnn, dataset: CIFAR10, distribution: iid, im_iid_gamma: 0.01, tail_cls_from: 4, dirichlet_alpha: 0.2, cache_partition: False, num_workers: 0, record_time: False, gpu_idx: [3], my_exp: True, epochs: 200, predict_epochs: 5, predict_alpha: 0.8, show_sign_flip: False, other_show_3d: False, only_show_last_epoch: True, npy_file_name: 4.3.2, npy_prefix: None, num_clients: 20, num_adv: 4, attack: NoAttack, defense: NormClipping, attack_params: None, defense_params: {'weakDP': True, 'norm_threshold': 3, 'noise_mean': 0, 'noise_std': 0.002}, benchmark: False, num_training_sample: 50000, num_channels: 3, num_classes: 10, mean: (0.4914, 0.4822, 0.4465), std: (0.247, 0.243, 0.261), device: cuda:3, output: ./logs/FedSGD/CIFAR10_mycnn/iid/NoAttack_NormClipping/200_20_4_0.05_2025-03-08_22-14-41.txt

Started on Sat Mar  8 22:14:41 2025
Generating new indices
Doing iid partition
iid partition finished
Data partitioned
Clients and server are initialized
Starting Training...
Epoch 0  	Train Acc: 0.0949	Train loss: 0.0181	Test Acc: 0.1003	Test loss: 0.0182
Epoch 1  	Train Acc: 0.1410	Train loss: 0.0176	Test Acc: 0.1587	Test loss: 0.0181
Epoch 2  	Train Acc: 0.2402	Train loss: 0.0170	Test Acc: 0.2093	Test loss: 0.0179
Epoch 3  	Train Acc: 0.2965	Train loss: 0.0161	Test Acc: 0.2627	Test loss: 0.0177
Epoch 4  	Train Acc: 0.3145	Train loss: 0.0155	Test Acc: 0.3099	Test loss: 0.0174
Epoch 5  	Train Acc: 0.3410	Train loss: 0.0146	Test Acc: 0.3158	Test loss: 0.0171
Epoch 6  	Train Acc: 0.3605	Train loss: 0.0141	Test Acc: 0.3156	Test loss: 0.0168
Epoch 7  	Train Acc: 0.3801	Train loss: 0.0136	Test Acc: 0.3152	Test loss: 0.0164
Epoch 8  	Train Acc: 0.3984	Train loss: 0.0133	Test Acc: 0.2607	Test loss: 0.0161
Epoch 9  	Train Acc: 0.4055	Train loss: 0.0128	Test Acc: 0.2363	Test loss: 0.0160
Epoch 10 	Train Acc: 0.3832	Train loss: 0.0133	Test Acc: 0.2269	Test loss: 0.0161
Epoch 11 	Train Acc: 0.3902	Train loss: 0.0130	Test Acc: 0.2136	Test loss: 0.0168
Epoch 12 	Train Acc: 0.3629	Train loss: 0.0144	Test Acc: 0.1976	Test loss: 0.0171
Epoch 13 	Train Acc: 0.3719	Train loss: 0.0134	Test Acc: 0.2245	Test loss: 0.0159
Epoch 14 	Train Acc: 0.3551	Train loss: 0.0146	Test Acc: 0.2192	Test loss: 0.0176
Epoch 15 	Train Acc: 0.3969	Train loss: 0.0148	Test Acc: 0.1775	Test loss: 0.0169
Epoch 16 	Train Acc: 0.3574	Train loss: 0.0141	Test Acc: 0.2617	Test loss: 0.0154
Epoch 17 	Train Acc: 0.4148	Train loss: 0.0124	Test Acc: 0.2284	Test loss: 0.0152
Epoch 18 	Train Acc: 0.4168	Train loss: 0.0126	Test Acc: 0.3024	Test loss: 0.0147
Epoch 19 	Train Acc: 0.3676	Train loss: 0.0237	Test Acc: 0.3627	Test loss: 0.0141
Epoch 20 	Train Acc: 0.3898	Train loss: 0.0126	Test Acc: 0.3905	Test loss: 0.0133
Epoch 21 	Train Acc: 0.4285	Train loss: 0.0120	Test Acc: 0.3977	Test loss: 0.0129
Epoch 22 	Train Acc: 0.4504	Train loss: 0.0116	Test Acc: 0.4151	Test loss: 0.0126
Epoch 23 	Train Acc: 0.4590	Train loss: 0.0115	Test Acc: 0.4148	Test loss: 0.0124
Epoch 24 	Train Acc: 0.4492	Train loss: 0.0113	Test Acc: 0.4196	Test loss: 0.0125
Epoch 25 	Train Acc: 0.4684	Train loss: 0.0112	Test Acc: 0.3873	Test loss: 0.0128
Epoch 26 	Train Acc: 0.4621	Train loss: 0.0113	Test Acc: 0.4181	Test loss: 0.0123
Epoch 27 	Train Acc: 0.4547	Train loss: 0.0116	Test Acc: 0.4477	Test loss: 0.0118
Epoch 28 	Train Acc: 0.4887	Train loss: 0.0108	Test Acc: 0.4389	Test loss: 0.0118
Epoch 29 	Train Acc: 0.5074	Train loss: 0.0108	Test Acc: 0.4726	Test loss: 0.0112
Epoch 30 	Train Acc: 0.4922	Train loss: 0.0109	Test Acc: 0.4746	Test loss: 0.0112
Epoch 31 	Train Acc: 0.5152	Train loss: 0.0102	Test Acc: 0.4929	Test loss: 0.0110
Epoch 32 	Train Acc: 0.4977	Train loss: 0.0106	Test Acc: 0.5185	Test loss: 0.0105
Epoch 33 	Train Acc: 0.5266	Train loss: 0.0103	Test Acc: 0.4925	Test loss: 0.0108
Epoch 34 	Train Acc: 0.4961	Train loss: 0.0107	Test Acc: 0.5053	Test loss: 0.0107
Epoch 35 	Train Acc: 0.5410	Train loss: 0.0100	Test Acc: 0.5006	Test loss: 0.0108
Epoch 36 	Train Acc: 0.5191	Train loss: 0.0101	Test Acc: 0.4977	Test loss: 0.0106
Epoch 37 	Train Acc: 0.5316	Train loss: 0.0100	Test Acc: 0.5176	Test loss: 0.0104
Epoch 38 	Train Acc: 0.5207	Train loss: 0.0100	Test Acc: 0.5297	Test loss: 0.0101
Epoch 39 	Train Acc: 0.5441	Train loss: 0.0179	Test Acc: 0.5346	Test loss: 0.0100
Epoch 40 	Train Acc: 0.5441	Train loss: 0.0098	Test Acc: 0.5503	Test loss: 0.0099
Epoch 41 	Train Acc: 0.5770	Train loss: 0.0094	Test Acc: 0.5380	Test loss: 0.0099
Epoch 42 	Train Acc: 0.5320	Train loss: 0.0096	Test Acc: 0.5630	Test loss: 0.0096
Epoch 43 	Train Acc: 0.5699	Train loss: 0.0093	Test Acc: 0.5605	Test loss: 0.0096
Epoch 44 	Train Acc: 0.5926	Train loss: 0.0088	Test Acc: 0.5708	Test loss: 0.0093
Epoch 45 	Train Acc: 0.5758	Train loss: 0.0092	Test Acc: 0.5667	Test loss: 0.0094
Epoch 46 	Train Acc: 0.5883	Train loss: 0.0089	Test Acc: 0.5612	Test loss: 0.0097
Epoch 47 	Train Acc: 0.5941	Train loss: 0.0089	Test Acc: 0.5694	Test loss: 0.0094
Epoch 48 	Train Acc: 0.6090	Train loss: 0.0086	Test Acc: 0.5924	Test loss: 0.0089
Epoch 49 	Train Acc: 0.5898	Train loss: 0.0089	Test Acc: 0.5693	Test loss: 0.0094
Epoch 50 	Train Acc: 0.5832	Train loss: 0.0089	Test Acc: 0.5816	Test loss: 0.0094
Epoch 51 	Train Acc: 0.6113	Train loss: 0.0085	Test Acc: 0.5362	Test loss: 0.0102
Epoch 52 	Train Acc: 0.5777	Train loss: 0.0090	Test Acc: 0.5776	Test loss: 0.0092
Epoch 53 	Train Acc: 0.5984	Train loss: 0.0086	Test Acc: 0.5815	Test loss: 0.0091
Epoch 54 	Train Acc: 0.5941	Train loss: 0.0087	Test Acc: 0.5658	Test loss: 0.0094
Epoch 55 	Train Acc: 0.5883	Train loss: 0.0088	Test Acc: 0.5338	Test loss: 0.0107
Epoch 56 	Train Acc: 0.5922	Train loss: 0.0090	Test Acc: 0.5751	Test loss: 0.0092
Epoch 57 	Train Acc: 0.5902	Train loss: 0.0089	Test Acc: 0.5794	Test loss: 0.0093
Epoch 58 	Train Acc: 0.5734	Train loss: 0.0092	Test Acc: 0.5852	Test loss: 0.0090
Epoch 59 	Train Acc: 0.5971	Train loss: 0.0169	Test Acc: 0.5973	Test loss: 0.0088
Epoch 60 	Train Acc: 0.6199	Train loss: 0.0083	Test Acc: 0.5692	Test loss: 0.0095
Epoch 61 	Train Acc: 0.5930	Train loss: 0.0088	Test Acc: 0.5730	Test loss: 0.0097
Epoch 62 	Train Acc: 0.5984	Train loss: 0.0088	Test Acc: 0.6121	Test loss: 0.0087
Epoch 63 	Train Acc: 0.6230	Train loss: 0.0085	Test Acc: 0.5983	Test loss: 0.0089
Epoch 64 	Train Acc: 0.6199	Train loss: 0.0082	Test Acc: 0.5948	Test loss: 0.0093
Epoch 65 	Train Acc: 0.6043	Train loss: 0.0084	Test Acc: 0.6250	Test loss: 0.0083
Epoch 66 	Train Acc: 0.6242	Train loss: 0.0081	Test Acc: 0.5793	Test loss: 0.0093
Epoch 67 	Train Acc: 0.6211	Train loss: 0.0081	Test Acc: 0.5790	Test loss: 0.0094
Epoch 68 	Train Acc: 0.6352	Train loss: 0.0078	Test Acc: 0.6231	Test loss: 0.0084
Epoch 69 	Train Acc: 0.6488	Train loss: 0.0078	Test Acc: 0.6112	Test loss: 0.0085
Epoch 70 	Train Acc: 0.6297	Train loss: 0.0079	Test Acc: 0.6259	Test loss: 0.0082
Epoch 71 	Train Acc: 0.6363	Train loss: 0.0079	Test Acc: 0.6140	Test loss: 0.0085
Epoch 72 	Train Acc: 0.6516	Train loss: 0.0076	Test Acc: 0.6281	Test loss: 0.0083
Epoch 73 	Train Acc: 0.6379	Train loss: 0.0078	Test Acc: 0.6206	Test loss: 0.0085
