seed: 4, algorithm: FedSGD, optimizer: SGD, momentum: 0.9, weight_decay: 0.0005, lr_scheduler: MultiStepLR, milestones: [0.6, 0.8], batch_size: 128, learning_rate: 0.05, model: mycnn, dataset: CIFAR10, distribution: iid, im_iid_gamma: 0.01, tail_cls_from: 4, dirichlet_alpha: 0.2, cache_partition: False, num_workers: 0, record_time: False, gpu_idx: [2], my_exp: True, epochs: 200, predict_epochs: 5, predict_alpha: 0.8, show_sign_flip: False, other_show_3d: False, only_show_last_epoch: True, npy_file_name: 4.3.2, npy_prefix: None, num_clients: 20, num_adv: 4, attack: NoAttack, defense: SignGuard, attack_params: None, defense_params: {'lower_bound': 0.1, 'upper_bound': 3.0, 'selection_fraction': 0.1, 'clustering': 'MeanShift', 'random_seed': 2}, benchmark: False, num_training_sample: 50000, num_channels: 3, num_classes: 10, mean: (0.4914, 0.4822, 0.4465), std: (0.247, 0.243, 0.261), device: cuda:2, output: ./logs/FedSGD/CIFAR10_mycnn/iid/NoAttack_SignGuard/200_20_4_0.05_2025-03-08_22-14-40.txt

Started on Sat Mar  8 22:14:40 2025
Generating new indices
Doing iid partition
iid partition finished
Data partitioned
Clients and server are initialized
Starting Training...
Epoch 0  	Train Acc: 0.0949	Train loss: 0.0181	Test Acc: 0.1012	Test loss: 0.0182
Epoch 1  	Train Acc: 0.1441	Train loss: 0.0176	Test Acc: 0.1598	Test loss: 0.0181
Epoch 2  	Train Acc: 0.2414	Train loss: 0.0170	Test Acc: 0.1741	Test loss: 0.0179
Epoch 3  	Train Acc: 0.2691	Train loss: 0.0163	Test Acc: 0.2630	Test loss: 0.0177
Epoch 4  	Train Acc: 0.3016	Train loss: 0.0156	Test Acc: 0.2896	Test loss: 0.0175
Epoch 5  	Train Acc: 0.3219	Train loss: 0.0148	Test Acc: 0.3137	Test loss: 0.0171
Epoch 6  	Train Acc: 0.3344	Train loss: 0.0143	Test Acc: 0.2799	Test loss: 0.0168
Epoch 7  	Train Acc: 0.3551	Train loss: 0.0139	Test Acc: 0.2979	Test loss: 0.0164
Epoch 8  	Train Acc: 0.3863	Train loss: 0.0135	Test Acc: 0.2810	Test loss: 0.0160
Epoch 9  	Train Acc: 0.4012	Train loss: 0.0131	Test Acc: 0.2361	Test loss: 0.0158
Epoch 10 	Train Acc: 0.3508	Train loss: 0.0139	Test Acc: 0.2256	Test loss: 0.0163
Epoch 11 	Train Acc: 0.3574	Train loss: 0.0144	Test Acc: 0.2277	Test loss: 0.0166
Epoch 12 	Train Acc: 0.3184	Train loss: 0.0149	Test Acc: 0.2583	Test loss: 0.0157
Epoch 13 	Train Acc: 0.3512	Train loss: 0.0139	Test Acc: 0.1682	Test loss: 0.0164
Epoch 14 	Train Acc: 0.3777	Train loss: 0.0131	Test Acc: 0.2211	Test loss: 0.0160
Epoch 15 	Train Acc: 0.3723	Train loss: 0.0129	Test Acc: 0.2804	Test loss: 0.0152
Epoch 16 	Train Acc: 0.3906	Train loss: 0.0126	Test Acc: 0.2613	Test loss: 0.0150
Epoch 17 	Train Acc: 0.3914	Train loss: 0.0128	Test Acc: 0.2881	Test loss: 0.0147
Epoch 18 	Train Acc: 0.4207	Train loss: 0.0124	Test Acc: 0.3765	Test loss: 0.0139
Epoch 19 	Train Acc: 0.4449	Train loss: 0.0225	Test Acc: 0.3865	Test loss: 0.0133
Epoch 20 	Train Acc: 0.4203	Train loss: 0.0119	Test Acc: 0.3657	Test loss: 0.0131
Epoch 21 	Train Acc: 0.4453	Train loss: 0.0116	Test Acc: 0.3539	Test loss: 0.0132
Epoch 22 	Train Acc: 0.4250	Train loss: 0.0115	Test Acc: 0.3806	Test loss: 0.0130
Epoch 23 	Train Acc: 0.4742	Train loss: 0.0111	Test Acc: 0.3937	Test loss: 0.0126
Epoch 24 	Train Acc: 0.4719	Train loss: 0.0114	Test Acc: 0.4282	Test loss: 0.0120
Epoch 25 	Train Acc: 0.4715	Train loss: 0.0112	Test Acc: 0.4020	Test loss: 0.0130
Epoch 26 	Train Acc: 0.4480	Train loss: 0.0115	Test Acc: 0.3572	Test loss: 0.0143
Epoch 27 	Train Acc: 0.4574	Train loss: 0.0115	Test Acc: 0.4416	Test loss: 0.0117
Epoch 28 	Train Acc: 0.4906	Train loss: 0.0110	Test Acc: 0.4465	Test loss: 0.0119
Epoch 29 	Train Acc: 0.4828	Train loss: 0.0113	Test Acc: 0.4155	Test loss: 0.0127
Epoch 30 	Train Acc: 0.4836	Train loss: 0.0110	Test Acc: 0.4490	Test loss: 0.0119
Epoch 31 	Train Acc: 0.4887	Train loss: 0.0108	Test Acc: 0.4951	Test loss: 0.0110
Epoch 32 	Train Acc: 0.5105	Train loss: 0.0107	Test Acc: 0.4467	Test loss: 0.0119
Epoch 33 	Train Acc: 0.4781	Train loss: 0.0110	Test Acc: 0.4934	Test loss: 0.0109
Epoch 34 	Train Acc: 0.4941	Train loss: 0.0108	Test Acc: 0.5093	Test loss: 0.0108
Epoch 35 	Train Acc: 0.5125	Train loss: 0.0105	Test Acc: 0.4734	Test loss: 0.0114
Epoch 36 	Train Acc: 0.5180	Train loss: 0.0103	Test Acc: 0.5107	Test loss: 0.0106
Epoch 37 	Train Acc: 0.5328	Train loss: 0.0104	Test Acc: 0.4953	Test loss: 0.0108
Epoch 38 	Train Acc: 0.5152	Train loss: 0.0104	Test Acc: 0.5094	Test loss: 0.0105
Epoch 39 	Train Acc: 0.5382	Train loss: 0.0185	Test Acc: 0.5141	Test loss: 0.0103
Epoch 40 	Train Acc: 0.5363	Train loss: 0.0101	Test Acc: 0.5002	Test loss: 0.0106
Epoch 41 	Train Acc: 0.5281	Train loss: 0.0102	Test Acc: 0.5322	Test loss: 0.0100
Epoch 42 	Train Acc: 0.5297	Train loss: 0.0099	Test Acc: 0.5391	Test loss: 0.0100
Epoch 43 	Train Acc: 0.5375	Train loss: 0.0098	Test Acc: 0.5369	Test loss: 0.0099
Epoch 44 	Train Acc: 0.5602	Train loss: 0.0092	Test Acc: 0.5502	Test loss: 0.0097
Epoch 45 	Train Acc: 0.5613	Train loss: 0.0094	Test Acc: 0.5135	Test loss: 0.0107
Epoch 46 	Train Acc: 0.5668	Train loss: 0.0092	Test Acc: 0.5289	Test loss: 0.0104
Epoch 47 	Train Acc: 0.5617	Train loss: 0.0094	Test Acc: 0.5431	Test loss: 0.0101
Epoch 48 	Train Acc: 0.5832	Train loss: 0.0092	Test Acc: 0.5573	Test loss: 0.0095
Epoch 49 	Train Acc: 0.5805	Train loss: 0.0092	Test Acc: 0.5176	Test loss: 0.0104
Epoch 50 	Train Acc: 0.5387	Train loss: 0.0097	Test Acc: 0.5393	Test loss: 0.0103
Epoch 51 	Train Acc: 0.5844	Train loss: 0.0092	Test Acc: 0.5562	Test loss: 0.0098
Epoch 52 	Train Acc: 0.5687	Train loss: 0.0092	Test Acc: 0.5155	Test loss: 0.0108
Epoch 53 	Train Acc: 0.5574	Train loss: 0.0096	Test Acc: 0.5262	Test loss: 0.0103
Epoch 54 	Train Acc: 0.5605	Train loss: 0.0093	Test Acc: 0.5448	Test loss: 0.0101
Epoch 55 	Train Acc: 0.5762	Train loss: 0.0092	Test Acc: 0.5481	Test loss: 0.0098
Epoch 56 	Train Acc: 0.5504	Train loss: 0.0095	Test Acc: 0.5594	Test loss: 0.0098
