seed: 4, algorithm: FedSGD, optimizer: SGD, momentum: 0.9, weight_decay: 0.0005, lr_scheduler: MultiStepLR, milestones: [0.6, 0.8], batch_size: 128, learning_rate: 0.05, model: mycnn, dataset: CIFAR10, distribution: iid, im_iid_gamma: 0.01, tail_cls_from: 4, dirichlet_alpha: 0.2, cache_partition: False, num_workers: 0, record_time: False, gpu_idx: [3], my_exp: True, epochs: 200, predict_epochs: 5, predict_alpha: 0.8, show_sign_flip: False, other_show_3d: False, only_show_last_epoch: True, npy_file_name: 4.3.2, npy_prefix: None, num_clients: 20, num_adv: 4, attack: NoAttack, defense: TESSERACT, attack_params: None, defense_params: None, benchmark: False, num_training_sample: 50000, num_channels: 3, num_classes: 10, mean: (0.4914, 0.4822, 0.4465), std: (0.247, 0.243, 0.261), device: cuda:3, output: ./logs/FedSGD/CIFAR10_mycnn/iid/NoAttack_TESSERACT/200_20_4_0.05_2025-03-08_22-14-40.txt

Started on Sat Mar  8 22:14:40 2025
Generating new indices
Doing iid partition
iid partition finished
Data partitioned
Clients and server are initialized
Starting Training...
Epoch 0  	Train Acc: 0.0949	Train loss: 0.0181	Test Acc: 0.1017	Test loss: 0.0182
Epoch 1  	Train Acc: 0.1465	Train loss: 0.0176	Test Acc: 0.1496	Test loss: 0.0181
Epoch 2  	Train Acc: 0.2355	Train loss: 0.0170	Test Acc: 0.2092	Test loss: 0.0179
Epoch 3  	Train Acc: 0.2922	Train loss: 0.0161	Test Acc: 0.2485	Test loss: 0.0177
Epoch 4  	Train Acc: 0.3242	Train loss: 0.0155	Test Acc: 0.2982	Test loss: 0.0174
Epoch 5  	Train Acc: 0.3375	Train loss: 0.0146	Test Acc: 0.3025	Test loss: 0.0171
Epoch 6  	Train Acc: 0.3512	Train loss: 0.0141	Test Acc: 0.3044	Test loss: 0.0168
Epoch 7  	Train Acc: 0.3805	Train loss: 0.0137	Test Acc: 0.3060	Test loss: 0.0164
Epoch 8  	Train Acc: 0.3988	Train loss: 0.0133	Test Acc: 0.2557	Test loss: 0.0161
Epoch 9  	Train Acc: 0.4074	Train loss: 0.0129	Test Acc: 0.2343	Test loss: 0.0160
Epoch 10 	Train Acc: 0.3852	Train loss: 0.0136	Test Acc: 0.2347	Test loss: 0.0162
Epoch 11 	Train Acc: 0.3883	Train loss: 0.0130	Test Acc: 0.2077	Test loss: 0.0166
Epoch 12 	Train Acc: 0.3750	Train loss: 0.0134	Test Acc: 0.2035	Test loss: 0.0169
Epoch 13 	Train Acc: 0.4094	Train loss: 0.0122	Test Acc: 0.1776	Test loss: 0.0172
Epoch 14 	Train Acc: 0.4348	Train loss: 0.0122	Test Acc: 0.2203	Test loss: 0.0164
Epoch 15 	Train Acc: 0.4453	Train loss: 0.0118	Test Acc: 0.2135	Test loss: 0.0165
Epoch 16 	Train Acc: 0.4141	Train loss: 0.0122	Test Acc: 0.1908	Test loss: 0.0166
Epoch 17 	Train Acc: 0.4422	Train loss: 0.0118	Test Acc: 0.3321	Test loss: 0.0143
Epoch 18 	Train Acc: 0.4605	Train loss: 0.0117	Test Acc: 0.3445	Test loss: 0.0136
Epoch 19 	Train Acc: 0.4529	Train loss: 0.0213	Test Acc: 0.2959	Test loss: 0.0146
Epoch 20 	Train Acc: 0.4688	Train loss: 0.0115	Test Acc: 0.3537	Test loss: 0.0133
Epoch 21 	Train Acc: 0.4313	Train loss: 0.0118	Test Acc: 0.4695	Test loss: 0.0121
Epoch 22 	Train Acc: 0.4820	Train loss: 0.0112	Test Acc: 0.4063	Test loss: 0.0125
Epoch 23 	Train Acc: 0.4863	Train loss: 0.0110	Test Acc: 0.4007	Test loss: 0.0124
Epoch 24 	Train Acc: 0.4691	Train loss: 0.0110	Test Acc: 0.4445	Test loss: 0.0119
Epoch 25 	Train Acc: 0.4875	Train loss: 0.0108	Test Acc: 0.4859	Test loss: 0.0115
Epoch 26 	Train Acc: 0.5090	Train loss: 0.0108	Test Acc: 0.4877	Test loss: 0.0111
Epoch 27 	Train Acc: 0.5035	Train loss: 0.0107	Test Acc: 0.4784	Test loss: 0.0115
Epoch 28 	Train Acc: 0.5203	Train loss: 0.0102	Test Acc: 0.4359	Test loss: 0.0126
Epoch 29 	Train Acc: 0.5234	Train loss: 0.0105	Test Acc: 0.4819	Test loss: 0.0115
Epoch 30 	Train Acc: 0.5305	Train loss: 0.0102	Test Acc: 0.5294	Test loss: 0.0103
Epoch 31 	Train Acc: 0.5480	Train loss: 0.0098	Test Acc: 0.5111	Test loss: 0.0105
Epoch 32 	Train Acc: 0.5297	Train loss: 0.0101	Test Acc: 0.5253	Test loss: 0.0105
Epoch 33 	Train Acc: 0.5445	Train loss: 0.0099	Test Acc: 0.5066	Test loss: 0.0107
Epoch 34 	Train Acc: 0.5242	Train loss: 0.0105	Test Acc: 0.5083	Test loss: 0.0108
Epoch 35 	Train Acc: 0.5477	Train loss: 0.0098	Test Acc: 0.5023	Test loss: 0.0109
Epoch 36 	Train Acc: 0.5332	Train loss: 0.0100	Test Acc: 0.4956	Test loss: 0.0113
Epoch 37 	Train Acc: 0.5359	Train loss: 0.0104	Test Acc: 0.5278	Test loss: 0.0104
Epoch 38 	Train Acc: 0.5113	Train loss: 0.0103	Test Acc: 0.5351	Test loss: 0.0101
Epoch 39 	Train Acc: 0.5596	Train loss: 0.0179	Test Acc: 0.4754	Test loss: 0.0116
Epoch 40 	Train Acc: 0.5473	Train loss: 0.0099	Test Acc: 0.5126	Test loss: 0.0105
Epoch 41 	Train Acc: 0.5262	Train loss: 0.0104	Test Acc: 0.5203	Test loss: 0.0106
Epoch 42 	Train Acc: 0.5590	Train loss: 0.0096	Test Acc: 0.4964	Test loss: 0.0110
Epoch 43 	Train Acc: 0.5543	Train loss: 0.0097	Test Acc: 0.5011	Test loss: 0.0109
Epoch 44 	Train Acc: 0.5629	Train loss: 0.0093	Test Acc: 0.5500	Test loss: 0.0100
Epoch 45 	Train Acc: 0.5844	Train loss: 0.0092	Test Acc: 0.5229	Test loss: 0.0104
Epoch 46 	Train Acc: 0.5676	Train loss: 0.0092	Test Acc: 0.5806	Test loss: 0.0093
