seed: 4, algorithm: FedSGD, optimizer: SGD, momentum: 0.9, weight_decay: 0.0005, lr_scheduler: MultiStepLR, milestones: [0.6, 0.8], batch_size: 128, learning_rate: 0.05, model: mycnn, dataset: CIFAR10, distribution: iid, im_iid_gamma: 0.01, tail_cls_from: 4, dirichlet_alpha: 0.2, cache_partition: False, num_workers: 0, record_time: False, gpu_idx: [3], my_exp: True, epochs: 200, predict_epochs: 5, predict_alpha: 0.8, show_sign_flip: False, other_show_3d: False, only_show_last_epoch: True, npy_file_name: 4.3.2, npy_prefix: None, num_clients: 20, num_adv: 4, attack: NoAttack, defense: TrimmedMean, attack_params: None, defense_params: {'beta': 0.1}, benchmark: False, num_training_sample: 50000, num_channels: 3, num_classes: 10, mean: (0.4914, 0.4822, 0.4465), std: (0.247, 0.243, 0.261), device: cuda:3, output: ./logs/FedSGD/CIFAR10_mycnn/iid/NoAttack_TrimmedMean/200_20_4_0.05_2025-03-08_22-14-40.txt

Started on Sat Mar  8 22:14:40 2025
Generating new indices
Doing iid partition
iid partition finished
Data partitioned
Clients and server are initialized
Starting Training...
Epoch 0  	Train Acc: 0.0949	Train loss: 0.0181	Test Acc: 0.0999	Test loss: 0.0182
Epoch 1  	Train Acc: 0.1437	Train loss: 0.0176	Test Acc: 0.1575	Test loss: 0.0181
Epoch 2  	Train Acc: 0.2457	Train loss: 0.0170	Test Acc: 0.2055	Test loss: 0.0179
Epoch 3  	Train Acc: 0.2941	Train loss: 0.0161	Test Acc: 0.2603	Test loss: 0.0177
Epoch 4  	Train Acc: 0.3113	Train loss: 0.0155	Test Acc: 0.3047	Test loss: 0.0174
Epoch 5  	Train Acc: 0.3406	Train loss: 0.0146	Test Acc: 0.3130	Test loss: 0.0171
Epoch 6  	Train Acc: 0.3613	Train loss: 0.0141	Test Acc: 0.3160	Test loss: 0.0168
Epoch 7  	Train Acc: 0.3777	Train loss: 0.0136	Test Acc: 0.3063	Test loss: 0.0164
Epoch 8  	Train Acc: 0.3934	Train loss: 0.0134	Test Acc: 0.2535	Test loss: 0.0161
Epoch 9  	Train Acc: 0.4070	Train loss: 0.0128	Test Acc: 0.2292	Test loss: 0.0160
Epoch 10 	Train Acc: 0.3836	Train loss: 0.0133	Test Acc: 0.2192	Test loss: 0.0161
Epoch 11 	Train Acc: 0.3980	Train loss: 0.0131	Test Acc: 0.2112	Test loss: 0.0169
Epoch 12 	Train Acc: 0.3594	Train loss: 0.0145	Test Acc: 0.1927	Test loss: 0.0171
Epoch 13 	Train Acc: 0.3777	Train loss: 0.0133	Test Acc: 0.2055	Test loss: 0.0159
Epoch 14 	Train Acc: 0.3582	Train loss: 0.0144	Test Acc: 0.2215	Test loss: 0.0176
Epoch 15 	Train Acc: 0.3883	Train loss: 0.0143	Test Acc: 0.1856	Test loss: 0.0167
Epoch 16 	Train Acc: 0.3711	Train loss: 0.0140	Test Acc: 0.2453	Test loss: 0.0154
Epoch 17 	Train Acc: 0.4008	Train loss: 0.0125	Test Acc: 0.2488	Test loss: 0.0150
Epoch 18 	Train Acc: 0.4102	Train loss: 0.0125	Test Acc: 0.3289	Test loss: 0.0145
Epoch 19 	Train Acc: 0.3949	Train loss: 0.0233	Test Acc: 0.3624	Test loss: 0.0139
Epoch 20 	Train Acc: 0.3953	Train loss: 0.0125	Test Acc: 0.3858	Test loss: 0.0132
Epoch 21 	Train Acc: 0.4273	Train loss: 0.0120	Test Acc: 0.4153	Test loss: 0.0126
Epoch 22 	Train Acc: 0.4590	Train loss: 0.0115	Test Acc: 0.4402	Test loss: 0.0122
Epoch 23 	Train Acc: 0.4621	Train loss: 0.0114	Test Acc: 0.4191	Test loss: 0.0122
Epoch 24 	Train Acc: 0.4484	Train loss: 0.0113	Test Acc: 0.4295	Test loss: 0.0122
Epoch 25 	Train Acc: 0.4719	Train loss: 0.0111	Test Acc: 0.3960	Test loss: 0.0125
Epoch 26 	Train Acc: 0.4684	Train loss: 0.0113	Test Acc: 0.4161	Test loss: 0.0123
