seed: 4, algorithm: FedSGD, optimizer: SGD, momentum: 0.9, weight_decay: 0.0005, lr_scheduler: MultiStepLR, milestones: [0.6, 0.8], batch_size: 128, learning_rate: 0.05, model: mycnn, dataset: CIFAR10, distribution: iid, im_iid_gamma: 0.01, tail_cls_from: 4, dirichlet_alpha: 0.2, cache_partition: False, num_workers: 0, record_time: False, gpu_idx: [2], my_exp: True, epochs: 200, predict_epochs: 5, predict_alpha: 0.8, show_sign_flip: False, other_show_3d: False, only_show_last_epoch: True, npy_file_name: 4.3.2, npy_prefix: None, num_clients: 20, num_adv: 4, attack: SignFlipping, defense: Bucketing, attack_params: None, defense_params: {'bucket_size': 2, 'selected_aggregator': 'Krum'}, benchmark: False, num_training_sample: 50000, num_channels: 3, num_classes: 10, mean: (0.4914, 0.4822, 0.4465), std: (0.247, 0.243, 0.261), device: cuda:2, output: ./logs/FedSGD/CIFAR10_mycnn/iid/SignFlipping_Bucketing/200_20_4_0.05_2025-03-09_18-37-19.txt

Started on Sun Mar  9 18:37:19 2025
Generating new indices
Doing iid partition
iid partition finished
Data partitioned
Clients and server are initialized
Starting Training...
Epoch 0  	Train Acc: 0.0949	Train loss: 0.0181	Test Acc: 0.1201	Test loss: 0.0182
Epoch 1  	Train Acc: 0.0938	Train loss: 0.0196	Test Acc: 0.1200	Test loss: 0.0182
Epoch 2  	Train Acc: 0.1023	Train loss: 0.0196	Test Acc: 0.1012	Test loss: 0.0182
Epoch 3  	Train Acc: 0.0973	Train loss: 0.0190	Test Acc: 0.1004	Test loss: 0.0182
Epoch 4  	Train Acc: 0.1895	Train loss: 0.0186	Test Acc: 0.1702	Test loss: 0.0180
Epoch 5  	Train Acc: 0.2559	Train loss: 0.0176	Test Acc: 0.1003	Test loss: 0.0182
Epoch 6  	Train Acc: 0.0887	Train loss: 0.0218	Test Acc: 0.1000	Test loss: 0.0195
Epoch 7  	Train Acc: 0.0945	Train loss: 0.0700	Test Acc: 0.1000	Test loss: 0.0973
Epoch 8  	Train Acc: 0.1051	Train loss: 0.8432	Test Acc: 0.1000	Test loss: 0.0876
Epoch 9  	Train Acc: 0.1039	Train loss: 0.7075	Test Acc: 0.1000	Test loss: 0.0836
Epoch 10 	Train Acc: 0.1062	Train loss: 0.5855	Test Acc: 0.1000	Test loss: 0.0946
Epoch 11 	Train Acc: 0.0930	Train loss: 0.6181	Test Acc: 0.1000	Test loss: 0.1032
Epoch 12 	Train Acc: 0.1078	Train loss: 0.5144	Test Acc: 0.1000	Test loss: 16.2088
Epoch 13 	Train Acc: 0.0984	Train loss: 61.6428	Test Acc: 0.1000	Test loss: 0.4823
Epoch 14 	Train Acc: 0.1039	Train loss: 4647.5165	Test Acc: 0.1000	Test loss: nan
Epoch 15 	Train Acc: 0.0945	Train loss: 9338101.6000	Test Acc: 0.0940	Test loss: 322619512711859.3750
Epoch 16 	Train Acc: 0.0875	Train loss: 1.7412	Test Acc: 0.1000	Test loss: nan
Epoch 17 	Train Acc: 0.1078	Train loss: 71709.4109	Test Acc: 0.1000	Test loss: 3721838719716.5566
Epoch 18 	Train Acc: 0.0988	Train loss: 372289564.0000	Test Acc: 0.1000	Test loss: nan
Epoch 19 	Train Acc: 0.0801	Train loss: 1093602470249.4115	Test Acc: 0.1000	Test loss: nan
Epoch 20 	Train Acc: 0.1090	Train loss: 102643652808554217472.0000	Test Acc: 0.1000	Test loss: nan
Epoch 21 	Train Acc: 0.1047	Train loss: 20836517791203778551052274499584.0000	Test Acc: 0.1000	Test loss: nan
Epoch 22 	Train Acc: 0.0996	Train loss: nan	Test Acc: 0.1000	Test loss: nan
Epoch 23 	Train Acc: 0.1016	Train loss: nan	Test Acc: 0.1000	Test loss: nan
Epoch 24 	Train Acc: 0.0984	Train loss: nan	Test Acc: 0.1000	Test loss: nan
Epoch 25 	Train Acc: 0.0898	Train loss: nan	Test Acc: 0.1000	Test loss: nan
Epoch 26 	Train Acc: 0.0957	Train loss: nan	Test Acc: 0.1000	Test loss: nan
Epoch 27 	Train Acc: 0.1094	Train loss: nan	Test Acc: 0.1000	Test loss: nan
Epoch 28 	Train Acc: 0.1039	Train loss: nan	Test Acc: 0.1000	Test loss: nan
Epoch 29 	Train Acc: 0.1023	Train loss: nan	Test Acc: 0.1000	Test loss: nan
Epoch 30 	Train Acc: 0.1020	Train loss: nan	Test Acc: 0.1000	Test loss: nan
Epoch 31 	Train Acc: 0.1043	Train loss: nan	Test Acc: 0.1000	Test loss: nan
Epoch 32 	Train Acc: 0.0961	Train loss: nan	Test Acc: 0.1000	Test loss: nan
Epoch 33 	Train Acc: 0.0906	Train loss: nan	Test Acc: 0.1000	Test loss: nan
Epoch 34 	Train Acc: 0.0961	Train loss: nan	Test Acc: 0.1000	Test loss: nan
Epoch 35 	Train Acc: 0.1117	Train loss: nan	Test Acc: 0.1000	Test loss: nan
Epoch 36 	Train Acc: 0.0980	Train loss: nan	Test Acc: 0.1000	Test loss: nan
Epoch 37 	Train Acc: 0.0949	Train loss: nan	Test Acc: 0.1000	Test loss: nan
Epoch 38 	Train Acc: 0.1047	Train loss: nan	Test Acc: 0.1000	Test loss: nan
Epoch 39 	Train Acc: 0.1044	Train loss: nan	Test Acc: 0.1000	Test loss: nan
Epoch 40 	Train Acc: 0.0945	Train loss: nan	Test Acc: 0.1000	Test loss: nan
Epoch 41 	Train Acc: 0.1055	Train loss: nan	Test Acc: 0.1000	Test loss: nan
Epoch 42 	Train Acc: 0.0992	Train loss: nan	Test Acc: 0.1000	Test loss: nan
Epoch 43 	Train Acc: 0.1051	Train loss: nan	Test Acc: 0.1000	Test loss: nan
Epoch 44 	Train Acc: 0.0980	Train loss: nan	Test Acc: 0.1000	Test loss: nan
Epoch 45 	Train Acc: 0.0965	Train loss: nan	Test Acc: 0.1000	Test loss: nan
Epoch 46 	Train Acc: 0.1059	Train loss: nan	Test Acc: 0.1000	Test loss: nan
Epoch 47 	Train Acc: 0.1055	Train loss: nan	Test Acc: 0.1000	Test loss: nan
Epoch 48 	Train Acc: 0.1012	Train loss: nan	Test Acc: 0.1000	Test loss: nan
Epoch 49 	Train Acc: 0.1043	Train loss: nan	Test Acc: 0.1000	Test loss: nan
Epoch 50 	Train Acc: 0.1000	Train loss: nan	Test Acc: 0.1000	Test loss: nan
Epoch 51 	Train Acc: 0.0984	Train loss: nan	Test Acc: 0.1000	Test loss: nan
Epoch 52 	Train Acc: 0.0941	Train loss: nan	Test Acc: 0.1000	Test loss: nan
Epoch 53 	Train Acc: 0.1035	Train loss: nan	Test Acc: 0.1000	Test loss: nan
Epoch 54 	Train Acc: 0.1000	Train loss: nan	Test Acc: 0.1000	Test loss: nan
Epoch 55 	Train Acc: 0.0996	Train loss: nan	Test Acc: 0.1000	Test loss: nan
Epoch 56 	Train Acc: 0.0902	Train loss: nan	Test Acc: 0.1000	Test loss: nan
Epoch 57 	Train Acc: 0.1031	Train loss: nan	Test Acc: 0.1000	Test loss: nan
Epoch 58 	Train Acc: 0.1000	Train loss: nan	Test Acc: 0.1000	Test loss: nan
Epoch 59 	Train Acc: 0.0912	Train loss: nan	Test Acc: 0.1000	Test loss: nan
Epoch 60 	Train Acc: 0.1055	Train loss: nan	Test Acc: 0.1000	Test loss: nan
Epoch 61 	Train Acc: 0.0914	Train loss: nan	Test Acc: 0.1000	Test loss: nan
Epoch 62 	Train Acc: 0.0953	Train loss: nan	Test Acc: 0.1000	Test loss: nan
Epoch 63 	Train Acc: 0.0863	Train loss: nan	Test Acc: 0.1000	Test loss: nan
Epoch 64 	Train Acc: 0.1082	Train loss: nan	Test Acc: 0.1000	Test loss: nan
Epoch 65 	Train Acc: 0.0953	Train loss: nan	Test Acc: 0.1000	Test loss: nan
Epoch 66 	Train Acc: 0.1105	Train loss: nan	Test Acc: 0.1000	Test loss: nan
Epoch 67 	Train Acc: 0.0949	Train loss: nan	Test Acc: 0.1000	Test loss: nan
Epoch 68 	Train Acc: 0.1027	Train loss: nan	Test Acc: 0.1000	Test loss: nan
Epoch 69 	Train Acc: 0.0949	Train loss: nan	Test Acc: 0.1000	Test loss: nan
Epoch 70 	Train Acc: 0.1051	Train loss: nan	Test Acc: 0.1000	Test loss: nan
Epoch 71 	Train Acc: 0.1004	Train loss: nan	Test Acc: 0.1000	Test loss: nan
Epoch 72 	Train Acc: 0.0945	Train loss: nan	Test Acc: 0.1000	Test loss: nan
Epoch 73 	Train Acc: 0.1016	Train loss: nan	Test Acc: 0.1000	Test loss: nan
Epoch 74 	Train Acc: 0.1082	Train loss: nan	Test Acc: 0.1000	Test loss: nan
Epoch 75 	Train Acc: 0.1090	Train loss: nan	Test Acc: 0.1000	Test loss: nan
Epoch 76 	Train Acc: 0.0961	Train loss: nan	Test Acc: 0.1000	Test loss: nan
