seed: 4, algorithm: FedSGD, optimizer: SGD, momentum: 0.9, weight_decay: 0.0005, lr_scheduler: MultiStepLR, milestones: [0.6, 0.8], batch_size: 128, learning_rate: 0.05, model: mycnn, dataset: CIFAR10, distribution: iid, im_iid_gamma: 0.01, tail_cls_from: 4, dirichlet_alpha: 0.2, cache_partition: False, num_workers: 0, record_time: False, gpu_idx: [3], my_exp: True, epochs: 200, predict_epochs: 5, predict_alpha: 0.8, show_sign_flip: False, other_show_3d: False, only_show_last_epoch: True, npy_file_name: 3.3.2, npy_prefix: None, num_clients: 20, num_adv: 4, attack: SignFlipping, defense: CenteredClipping, attack_params: None, defense_params: {'norm_threshold': 100, 'num_iters': 1}, benchmark: False, num_training_sample: 50000, num_channels: 3, num_classes: 10, mean: (0.4914, 0.4822, 0.4465), std: (0.247, 0.243, 0.261), device: cuda:3, output: ./logs/FedSGD/CIFAR10_mycnn/iid/SignFlipping_CenteredClipping/200_20_4_0.05_2025-03-11_12-06-44.txt

Started on Tue Mar 11 12:06:44 2025
Generating new indices
Doing iid partition
iid partition finished
Data partitioned
Clients and server are initialized
Starting Training...
Epoch 0  	Train Acc: 0.0949	Train loss: 0.0181	Test Acc: 0.1053	Test loss: 0.0182
Epoch 1  	Train Acc: 0.1305	Train loss: 0.0177	Test Acc: 0.1505	Test loss: 0.0181
Epoch 2  	Train Acc: 0.1883	Train loss: 0.0174	Test Acc: 0.1506	Test loss: 0.0181
Epoch 3  	Train Acc: 0.2254	Train loss: 0.0168	Test Acc: 0.1755	Test loss: 0.0180
Epoch 4  	Train Acc: 0.2848	Train loss: 0.0161	Test Acc: 0.2471	Test loss: 0.0178
Epoch 5  	Train Acc: 0.3176	Train loss: 0.0155	Test Acc: 0.2687	Test loss: 0.0177
Epoch 6  	Train Acc: 0.3234	Train loss: 0.0150	Test Acc: 0.2942	Test loss: 0.0174
Epoch 7  	Train Acc: 0.3285	Train loss: 0.0147	Test Acc: 0.3099	Test loss: 0.0172
Epoch 8  	Train Acc: 0.3777	Train loss: 0.0141	Test Acc: 0.3340	Test loss: 0.0170
Epoch 9  	Train Acc: 0.3980	Train loss: 0.0135	Test Acc: 0.3404	Test loss: 0.0167
Epoch 10 	Train Acc: 0.3816	Train loss: 0.0134	Test Acc: 0.2998	Test loss: 0.0166
Epoch 11 	Train Acc: 0.3680	Train loss: 0.0133	Test Acc: 0.2774	Test loss: 0.0163
Epoch 12 	Train Acc: 0.3770	Train loss: 0.0133	Test Acc: 0.2464	Test loss: 0.0163
Epoch 13 	Train Acc: 0.4066	Train loss: 0.0128	Test Acc: 0.2175	Test loss: 0.0165
Epoch 14 	Train Acc: 0.4043	Train loss: 0.0127	Test Acc: 0.2145	Test loss: 0.0164
Epoch 15 	Train Acc: 0.4336	Train loss: 0.0122	Test Acc: 0.2136	Test loss: 0.0163
Epoch 16 	Train Acc: 0.4020	Train loss: 0.0129	Test Acc: 0.1991	Test loss: 0.0166
Epoch 17 	Train Acc: 0.4242	Train loss: 0.0123	Test Acc: 0.1363	Test loss: 0.0173
Epoch 18 	Train Acc: 0.4422	Train loss: 0.0124	Test Acc: 0.1997	Test loss: 0.0166
Epoch 19 	Train Acc: 0.4551	Train loss: 0.0218	Test Acc: 0.2105	Test loss: 0.0163
Epoch 20 	Train Acc: 0.4496	Train loss: 0.0118	Test Acc: 0.2051	Test loss: 0.0167
Epoch 21 	Train Acc: 0.4605	Train loss: 0.0116	Test Acc: 0.1880	Test loss: 0.0168
Epoch 22 	Train Acc: 0.4437	Train loss: 0.0115	Test Acc: 0.1869	Test loss: 0.0162
Epoch 23 	Train Acc: 0.4785	Train loss: 0.0112	Test Acc: 0.2159	Test loss: 0.0155
Epoch 24 	Train Acc: 0.4707	Train loss: 0.0114	Test Acc: 0.2201	Test loss: 0.0154
Epoch 25 	Train Acc: 0.4930	Train loss: 0.0110	Test Acc: 0.2141	Test loss: 0.0162
Epoch 26 	Train Acc: 0.4801	Train loss: 0.0113	Test Acc: 0.2555	Test loss: 0.0159
Epoch 27 	Train Acc: 0.4711	Train loss: 0.0113	Test Acc: 0.2894	Test loss: 0.0149
Epoch 28 	Train Acc: 0.4898	Train loss: 0.0108	Test Acc: 0.3000	Test loss: 0.0142
Epoch 29 	Train Acc: 0.4813	Train loss: 0.0111	Test Acc: 0.2857	Test loss: 0.0143
Epoch 30 	Train Acc: 0.5285	Train loss: 0.0104	Test Acc: 0.2922	Test loss: 0.0145
Epoch 31 	Train Acc: 0.5254	Train loss: 0.0104	Test Acc: 0.3389	Test loss: 0.0142
Epoch 32 	Train Acc: 0.4879	Train loss: 0.0109	Test Acc: 0.3855	Test loss: 0.0132
