seed: 4, algorithm: FedSGD, optimizer: SGD, momentum: 0.9, weight_decay: 0.0005, lr_scheduler: MultiStepLR, milestones: [0.6, 0.8], batch_size: 128, learning_rate: 0.05, model: mycnn, dataset: CIFAR10, distribution: iid, im_iid_gamma: 0.01, tail_cls_from: 4, dirichlet_alpha: 0.2, cache_partition: False, num_workers: 0, record_time: False, gpu_idx: [3], my_exp: True, epochs: 200, predict_epochs: 5, predict_alpha: 0.8, show_sign_flip: False, other_show_3d: False, only_show_last_epoch: True, npy_file_name: 4.3.2, npy_prefix: None, num_clients: 20, num_adv: 4, attack: SignFlipping, defense: Krum, attack_params: None, defense_params: {'enable_check': False}, benchmark: False, num_training_sample: 50000, num_channels: 3, num_classes: 10, mean: (0.4914, 0.4822, 0.4465), std: (0.247, 0.243, 0.261), device: cuda:3, output: ./logs/FedSGD/CIFAR10_mycnn/iid/SignFlipping_Krum/200_20_4_0.05_2025-03-09_18-37-20.txt

Started on Sun Mar  9 18:37:20 2025
Generating new indices
Doing iid partition
iid partition finished
Data partitioned
Clients and server are initialized
Starting Training...
Epoch 0  	Train Acc: 0.0949	Train loss: 0.0181	Test Acc: 0.1346	Test loss: 0.0182
Epoch 1  	Train Acc: 0.1586	Train loss: 0.0177	Test Acc: 0.1166	Test loss: 0.0181
Epoch 2  	Train Acc: 0.1742	Train loss: 0.0173	Test Acc: 0.1300	Test loss: 0.0180
Epoch 3  	Train Acc: 0.1895	Train loss: 0.0171	Test Acc: 0.1549	Test loss: 0.0178
Epoch 4  	Train Acc: 0.2293	Train loss: 0.0163	Test Acc: 0.2356	Test loss: 0.0176
Epoch 5  	Train Acc: 0.2863	Train loss: 0.0157	Test Acc: 0.2771	Test loss: 0.0172
Epoch 6  	Train Acc: 0.2969	Train loss: 0.0151	Test Acc: 0.2532	Test loss: 0.0169
Epoch 7  	Train Acc: 0.3039	Train loss: 0.0148	Test Acc: 0.3182	Test loss: 0.0166
Epoch 8  	Train Acc: 0.3227	Train loss: 0.0148	Test Acc: 0.2966	Test loss: 0.0161
Epoch 9  	Train Acc: 0.2723	Train loss: 0.0151	Test Acc: 0.2385	Test loss: 0.0161
Epoch 10 	Train Acc: 0.3129	Train loss: 0.0149	Test Acc: 0.2512	Test loss: 0.0161
Epoch 11 	Train Acc: 0.2945	Train loss: 0.0154	Test Acc: 0.2472	Test loss: 0.0159
Epoch 12 	Train Acc: 0.3082	Train loss: 0.0146	Test Acc: 0.2800	Test loss: 0.0156
Epoch 13 	Train Acc: 0.3203	Train loss: 0.0142	Test Acc: 0.2760	Test loss: 0.0157
Epoch 14 	Train Acc: 0.2551	Train loss: 0.0148	Test Acc: 0.3145	Test loss: 0.0154
Epoch 15 	Train Acc: 0.3566	Train loss: 0.0141	Test Acc: 0.3242	Test loss: 0.0151
Epoch 16 	Train Acc: 0.3527	Train loss: 0.0140	Test Acc: 0.3072	Test loss: 0.0150
Epoch 17 	Train Acc: 0.3242	Train loss: 0.0144	Test Acc: 0.3436	Test loss: 0.0144
Epoch 18 	Train Acc: 0.3789	Train loss: 0.0137	Test Acc: 0.3817	Test loss: 0.0138
Epoch 19 	Train Acc: 0.3904	Train loss: 0.0246	Test Acc: 0.3816	Test loss: 0.0134
Epoch 20 	Train Acc: 0.3742	Train loss: 0.0136	Test Acc: 0.3357	Test loss: 0.0137
Epoch 21 	Train Acc: 0.3441	Train loss: 0.0136	Test Acc: 0.3546	Test loss: 0.0138
Epoch 22 	Train Acc: 0.3625	Train loss: 0.0132	Test Acc: 0.3449	Test loss: 0.0141
Epoch 23 	Train Acc: 0.3430	Train loss: 0.0139	Test Acc: 0.3625	Test loss: 0.0135
Epoch 24 	Train Acc: 0.3723	Train loss: 0.0131	Test Acc: 0.3787	Test loss: 0.0135
Epoch 25 	Train Acc: 0.3941	Train loss: 0.0132	Test Acc: 0.3938	Test loss: 0.0128
Epoch 26 	Train Acc: 0.3793	Train loss: 0.0128	Test Acc: 0.3854	Test loss: 0.0134
Epoch 27 	Train Acc: 0.3832	Train loss: 0.0134	Test Acc: 0.3770	Test loss: 0.0134
Epoch 28 	Train Acc: 0.3937	Train loss: 0.0125	Test Acc: 0.3632	Test loss: 0.0140
Epoch 29 	Train Acc: 0.3879	Train loss: 0.0131	Test Acc: 0.3981	Test loss: 0.0131
Epoch 30 	Train Acc: 0.3969	Train loss: 0.0127	Test Acc: 0.3802	Test loss: 0.0143
Epoch 31 	Train Acc: 0.4020	Train loss: 0.0124	Test Acc: 0.3605	Test loss: 0.0143
