seed: 4, algorithm: FedSGD, optimizer: SGD, momentum: 0.9, weight_decay: 0.0005, lr_scheduler: MultiStepLR, milestones: [0.6, 0.8], batch_size: 128, learning_rate: 0.05, model: mycnn, dataset: CIFAR10, distribution: iid, im_iid_gamma: 0.01, tail_cls_from: 4, dirichlet_alpha: 0.2, cache_partition: False, num_workers: 0, record_time: False, gpu_idx: [2], my_exp: True, epochs: 200, predict_epochs: 5, predict_alpha: 0.8, show_sign_flip: False, other_show_3d: False, only_show_last_epoch: True, npy_file_name: 4.3.2, npy_prefix: None, num_clients: 20, num_adv: 4, attack: SignFlipping, defense: Mean, attack_params: None, defense_params: None, benchmark: False, num_training_sample: 50000, num_channels: 3, num_classes: 10, mean: (0.4914, 0.4822, 0.4465), std: (0.247, 0.243, 0.261), device: cuda:2, output: ./logs/FedSGD/CIFAR10_mycnn/iid/SignFlipping_Mean/200_20_4_0.05_2025-03-09_18-37-20.txt

Started on Sun Mar  9 18:37:20 2025
Generating new indices
Doing iid partition
iid partition finished
Data partitioned
Clients and server are initialized
Starting Training...
Epoch 0  	Train Acc: 0.0949	Train loss: 0.0181	Test Acc: 0.1053	Test loss: 0.0182
Epoch 1  	Train Acc: 0.1305	Train loss: 0.0177	Test Acc: 0.1505	Test loss: 0.0181
Epoch 2  	Train Acc: 0.1883	Train loss: 0.0174	Test Acc: 0.1506	Test loss: 0.0181
Epoch 3  	Train Acc: 0.2254	Train loss: 0.0168	Test Acc: 0.1755	Test loss: 0.0180
Epoch 4  	Train Acc: 0.2852	Train loss: 0.0161	Test Acc: 0.2471	Test loss: 0.0178
Epoch 5  	Train Acc: 0.3176	Train loss: 0.0155	Test Acc: 0.2689	Test loss: 0.0177
Epoch 6  	Train Acc: 0.3227	Train loss: 0.0150	Test Acc: 0.2942	Test loss: 0.0174
Epoch 7  	Train Acc: 0.3285	Train loss: 0.0147	Test Acc: 0.3100	Test loss: 0.0172
Epoch 8  	Train Acc: 0.3781	Train loss: 0.0141	Test Acc: 0.3340	Test loss: 0.0170
Epoch 9  	Train Acc: 0.3973	Train loss: 0.0135	Test Acc: 0.3400	Test loss: 0.0167
Epoch 10 	Train Acc: 0.3828	Train loss: 0.0134	Test Acc: 0.2995	Test loss: 0.0166
Epoch 11 	Train Acc: 0.3680	Train loss: 0.0133	Test Acc: 0.2765	Test loss: 0.0163
Epoch 12 	Train Acc: 0.3777	Train loss: 0.0133	Test Acc: 0.2459	Test loss: 0.0163
Epoch 13 	Train Acc: 0.4066	Train loss: 0.0128	Test Acc: 0.2167	Test loss: 0.0165
Epoch 14 	Train Acc: 0.4035	Train loss: 0.0127	Test Acc: 0.2141	Test loss: 0.0164
Epoch 15 	Train Acc: 0.4340	Train loss: 0.0122	Test Acc: 0.2127	Test loss: 0.0163
Epoch 16 	Train Acc: 0.4008	Train loss: 0.0129	Test Acc: 0.1991	Test loss: 0.0166
Epoch 17 	Train Acc: 0.4250	Train loss: 0.0123	Test Acc: 0.1370	Test loss: 0.0173
Epoch 18 	Train Acc: 0.4441	Train loss: 0.0124	Test Acc: 0.1994	Test loss: 0.0166
Epoch 19 	Train Acc: 0.4574	Train loss: 0.0218	Test Acc: 0.2110	Test loss: 0.0163
Epoch 20 	Train Acc: 0.4473	Train loss: 0.0118	Test Acc: 0.2049	Test loss: 0.0167
Epoch 21 	Train Acc: 0.4617	Train loss: 0.0116	Test Acc: 0.1891	Test loss: 0.0168
Epoch 22 	Train Acc: 0.4445	Train loss: 0.0115	Test Acc: 0.1879	Test loss: 0.0162
Epoch 23 	Train Acc: 0.4758	Train loss: 0.0112	Test Acc: 0.2171	Test loss: 0.0154
Epoch 24 	Train Acc: 0.4691	Train loss: 0.0114	Test Acc: 0.2200	Test loss: 0.0154
Epoch 25 	Train Acc: 0.4930	Train loss: 0.0110	Test Acc: 0.2168	Test loss: 0.0162
Epoch 26 	Train Acc: 0.4820	Train loss: 0.0113	Test Acc: 0.2575	Test loss: 0.0159
Epoch 27 	Train Acc: 0.4723	Train loss: 0.0113	Test Acc: 0.2918	Test loss: 0.0149
Epoch 28 	Train Acc: 0.4855	Train loss: 0.0108	Test Acc: 0.3021	Test loss: 0.0142
Epoch 29 	Train Acc: 0.4836	Train loss: 0.0111	Test Acc: 0.2871	Test loss: 0.0143
Epoch 30 	Train Acc: 0.5289	Train loss: 0.0104	Test Acc: 0.2893	Test loss: 0.0146
Epoch 31 	Train Acc: 0.5234	Train loss: 0.0104	Test Acc: 0.3355	Test loss: 0.0142
Epoch 32 	Train Acc: 0.4863	Train loss: 0.0109	Test Acc: 0.3858	Test loss: 0.0132
Epoch 33 	Train Acc: 0.5215	Train loss: 0.0106	Test Acc: 0.3758	Test loss: 0.0130
