seed: 4, algorithm: FedSGD, optimizer: SGD, momentum: 0.9, weight_decay: 0.0005, lr_scheduler: MultiStepLR, milestones: [0.6, 0.8], batch_size: 128, learning_rate: 0.05, model: mycnn, dataset: CIFAR10, distribution: iid, im_iid_gamma: 0.01, tail_cls_from: 4, dirichlet_alpha: 0.2, cache_partition: False, num_workers: 0, record_time: False, gpu_idx: [3], my_exp: True, epochs: 200, predict_epochs: 5, predict_alpha: 0.8, show_sign_flip: False, other_show_3d: False, only_show_last_epoch: True, npy_file_name: 4.3.2, npy_prefix: None, num_clients: 20, num_adv: 4, attack: SignFlipping, defense: Median, attack_params: None, defense_params: None, benchmark: False, num_training_sample: 50000, num_channels: 3, num_classes: 10, mean: (0.4914, 0.4822, 0.4465), std: (0.247, 0.243, 0.261), device: cuda:3, output: ./logs/FedSGD/CIFAR10_mycnn/iid/SignFlipping_Median/200_20_4_0.05_2025-03-09_18-37-20.txt

Started on Sun Mar  9 18:37:20 2025
Generating new indices
Doing iid partition
iid partition finished
Data partitioned
Clients and server are initialized
Starting Training...
Epoch 0  	Train Acc: 0.0949	Train loss: 0.0181	Test Acc: 0.1055	Test loss: 0.0182
Epoch 1  	Train Acc: 0.1383	Train loss: 0.0177	Test Acc: 0.1512	Test loss: 0.0181
Epoch 2  	Train Acc: 0.2020	Train loss: 0.0172	Test Acc: 0.1680	Test loss: 0.0180
Epoch 3  	Train Acc: 0.2465	Train loss: 0.0166	Test Acc: 0.2415	Test loss: 0.0178
Epoch 4  	Train Acc: 0.3234	Train loss: 0.0158	Test Acc: 0.2802	Test loss: 0.0176
Epoch 5  	Train Acc: 0.3230	Train loss: 0.0151	Test Acc: 0.2735	Test loss: 0.0174
Epoch 6  	Train Acc: 0.3355	Train loss: 0.0145	Test Acc: 0.2914	Test loss: 0.0170
Epoch 7  	Train Acc: 0.3582	Train loss: 0.0141	Test Acc: 0.3097	Test loss: 0.0167
Epoch 8  	Train Acc: 0.3879	Train loss: 0.0138	Test Acc: 0.2884	Test loss: 0.0164
Epoch 9  	Train Acc: 0.4066	Train loss: 0.0132	Test Acc: 0.2657	Test loss: 0.0160
Epoch 10 	Train Acc: 0.3750	Train loss: 0.0134	Test Acc: 0.2511	Test loss: 0.0159
Epoch 11 	Train Acc: 0.3922	Train loss: 0.0129	Test Acc: 0.2387	Test loss: 0.0157
Epoch 12 	Train Acc: 0.3613	Train loss: 0.0136	Test Acc: 0.2139	Test loss: 0.0166
Epoch 13 	Train Acc: 0.3863	Train loss: 0.0132	Test Acc: 0.2112	Test loss: 0.0170
Epoch 14 	Train Acc: 0.4090	Train loss: 0.0128	Test Acc: 0.2452	Test loss: 0.0158
Epoch 15 	Train Acc: 0.4062	Train loss: 0.0127	Test Acc: 0.2162	Test loss: 0.0161
Epoch 16 	Train Acc: 0.4281	Train loss: 0.0122	Test Acc: 0.1747	Test loss: 0.0174
Epoch 17 	Train Acc: 0.4297	Train loss: 0.0120	Test Acc: 0.1762	Test loss: 0.0175
Epoch 18 	Train Acc: 0.4801	Train loss: 0.0117	Test Acc: 0.2391	Test loss: 0.0154
Epoch 19 	Train Acc: 0.4522	Train loss: 0.0219	Test Acc: 0.2726	Test loss: 0.0149
Epoch 20 	Train Acc: 0.4629	Train loss: 0.0116	Test Acc: 0.2378	Test loss: 0.0155
Epoch 21 	Train Acc: 0.4598	Train loss: 0.0114	Test Acc: 0.2542	Test loss: 0.0152
Epoch 22 	Train Acc: 0.4758	Train loss: 0.0112	Test Acc: 0.3157	Test loss: 0.0141
Epoch 23 	Train Acc: 0.4961	Train loss: 0.0109	Test Acc: 0.3996	Test loss: 0.0127
