seed: 4, algorithm: FedSGD, optimizer: SGD, momentum: 0.9, weight_decay: 0.0005, lr_scheduler: MultiStepLR, milestones: [0.6, 0.8], batch_size: 128, learning_rate: 0.05, model: mycnn, dataset: CIFAR10, distribution: iid, im_iid_gamma: 0.01, tail_cls_from: 4, dirichlet_alpha: 0.2, cache_partition: False, num_workers: 0, record_time: False, gpu_idx: [3], my_exp: True, epochs: 200, predict_epochs: 5, predict_alpha: 0.8, show_sign_flip: False, other_show_3d: False, only_show_last_epoch: True, npy_file_name: 4.3.2, npy_prefix: None, num_clients: 20, num_adv: 4, attack: SignFlipping, defense: NormClipping, attack_params: None, defense_params: {'weakDP': True, 'norm_threshold': 3, 'noise_mean': 0, 'noise_std': 0.002}, benchmark: False, num_training_sample: 50000, num_channels: 3, num_classes: 10, mean: (0.4914, 0.4822, 0.4465), std: (0.247, 0.243, 0.261), device: cuda:3, output: ./logs/FedSGD/CIFAR10_mycnn/iid/SignFlipping_NormClipping/200_20_4_0.05_2025-03-09_18-37-19.txt

Started on Sun Mar  9 18:37:19 2025
Generating new indices
Doing iid partition
iid partition finished
Data partitioned
Clients and server are initialized
Starting Training...
Epoch 0  	Train Acc: 0.0949	Train loss: 0.0181	Test Acc: 0.1051	Test loss: 0.0182
Epoch 1  	Train Acc: 0.1316	Train loss: 0.0177	Test Acc: 0.1510	Test loss: 0.0181
Epoch 2  	Train Acc: 0.1844	Train loss: 0.0174	Test Acc: 0.1544	Test loss: 0.0181
Epoch 3  	Train Acc: 0.2258	Train loss: 0.0168	Test Acc: 0.1740	Test loss: 0.0180
Epoch 4  	Train Acc: 0.2867	Train loss: 0.0161	Test Acc: 0.2490	Test loss: 0.0178
Epoch 5  	Train Acc: 0.3152	Train loss: 0.0155	Test Acc: 0.2682	Test loss: 0.0177
Epoch 6  	Train Acc: 0.3215	Train loss: 0.0150	Test Acc: 0.2965	Test loss: 0.0175
Epoch 7  	Train Acc: 0.3336	Train loss: 0.0147	Test Acc: 0.3113	Test loss: 0.0172
Epoch 8  	Train Acc: 0.3801	Train loss: 0.0141	Test Acc: 0.3337	Test loss: 0.0170
Epoch 9  	Train Acc: 0.3996	Train loss: 0.0136	Test Acc: 0.3434	Test loss: 0.0167
Epoch 10 	Train Acc: 0.3867	Train loss: 0.0134	Test Acc: 0.2962	Test loss: 0.0166
Epoch 11 	Train Acc: 0.3680	Train loss: 0.0133	Test Acc: 0.2778	Test loss: 0.0163
Epoch 12 	Train Acc: 0.3781	Train loss: 0.0133	Test Acc: 0.2513	Test loss: 0.0163
Epoch 13 	Train Acc: 0.4059	Train loss: 0.0128	Test Acc: 0.2179	Test loss: 0.0165
Epoch 14 	Train Acc: 0.4039	Train loss: 0.0127	Test Acc: 0.2159	Test loss: 0.0164
Epoch 15 	Train Acc: 0.4309	Train loss: 0.0122	Test Acc: 0.2160	Test loss: 0.0162
Epoch 16 	Train Acc: 0.4035	Train loss: 0.0129	Test Acc: 0.2071	Test loss: 0.0166
Epoch 17 	Train Acc: 0.4230	Train loss: 0.0124	Test Acc: 0.1409	Test loss: 0.0172
Epoch 18 	Train Acc: 0.4426	Train loss: 0.0124	Test Acc: 0.2037	Test loss: 0.0165
Epoch 19 	Train Acc: 0.4456	Train loss: 0.0219	Test Acc: 0.2137	Test loss: 0.0162
Epoch 20 	Train Acc: 0.4453	Train loss: 0.0119	Test Acc: 0.2128	Test loss: 0.0166
Epoch 21 	Train Acc: 0.4562	Train loss: 0.0116	Test Acc: 0.1957	Test loss: 0.0167
Epoch 22 	Train Acc: 0.4445	Train loss: 0.0116	Test Acc: 0.1952	Test loss: 0.0161
Epoch 23 	Train Acc: 0.4723	Train loss: 0.0113	Test Acc: 0.2329	Test loss: 0.0153
Epoch 24 	Train Acc: 0.4645	Train loss: 0.0115	Test Acc: 0.2359	Test loss: 0.0151
Epoch 25 	Train Acc: 0.4879	Train loss: 0.0112	Test Acc: 0.2199	Test loss: 0.0159
