seed: 4, algorithm: FedSGD, optimizer: SGD, momentum: 0.9, weight_decay: 0.0005, lr_scheduler: MultiStepLR, milestones: [0.6, 0.8], batch_size: 128, learning_rate: 0.05, model: mycnn, dataset: CIFAR10, distribution: iid, im_iid_gamma: 0.01, tail_cls_from: 4, dirichlet_alpha: 0.2, cache_partition: False, num_workers: 0, record_time: False, gpu_idx: [2], my_exp: True, epochs: 200, predict_epochs: 5, predict_alpha: 0.8, show_sign_flip: False, other_show_3d: False, only_show_last_epoch: True, npy_file_name: 4.3.2, npy_prefix: None, num_clients: 20, num_adv: 4, attack: SignFlipping, defense: SignGuard, attack_params: None, defense_params: {'lower_bound': 0.1, 'upper_bound': 3.0, 'selection_fraction': 0.1, 'clustering': 'MeanShift', 'random_seed': 2}, benchmark: False, num_training_sample: 50000, num_channels: 3, num_classes: 10, mean: (0.4914, 0.4822, 0.4465), std: (0.247, 0.243, 0.261), device: cuda:2, output: ./logs/FedSGD/CIFAR10_mycnn/iid/SignFlipping_SignGuard/200_20_4_0.05_2025-03-09_18-37-19.txt

Started on Sun Mar  9 18:37:19 2025
Generating new indices
Doing iid partition
iid partition finished
Data partitioned
Clients and server are initialized
Starting Training...
Epoch 0  	Train Acc: 0.0949	Train loss: 0.0181	Test Acc: 0.1051	Test loss: 0.0182
Epoch 1  	Train Acc: 0.1422	Train loss: 0.0177	Test Acc: 0.1535	Test loss: 0.0181
Epoch 2  	Train Acc: 0.1457	Train loss: 0.0177	Test Acc: 0.1503	Test loss: 0.0181
Epoch 3  	Train Acc: 0.1934	Train loss: 0.0171	Test Acc: 0.1612	Test loss: 0.0180
Epoch 4  	Train Acc: 0.2785	Train loss: 0.0163	Test Acc: 0.2291	Test loss: 0.0179
Epoch 5  	Train Acc: 0.3098	Train loss: 0.0156	Test Acc: 0.2500	Test loss: 0.0176
Epoch 6  	Train Acc: 0.2859	Train loss: 0.0153	Test Acc: 0.2973	Test loss: 0.0173
Epoch 7  	Train Acc: 0.3199	Train loss: 0.0146	Test Acc: 0.3122	Test loss: 0.0170
Epoch 8  	Train Acc: 0.3730	Train loss: 0.0140	Test Acc: 0.3112	Test loss: 0.0168
Epoch 9  	Train Acc: 0.3812	Train loss: 0.0136	Test Acc: 0.2899	Test loss: 0.0163
Epoch 10 	Train Acc: 0.3570	Train loss: 0.0138	Test Acc: 0.3176	Test loss: 0.0160
Epoch 11 	Train Acc: 0.3961	Train loss: 0.0131	Test Acc: 0.3071	Test loss: 0.0158
Epoch 12 	Train Acc: 0.3848	Train loss: 0.0134	Test Acc: 0.2438	Test loss: 0.0159
Epoch 13 	Train Acc: 0.3953	Train loss: 0.0132	Test Acc: 0.1702	Test loss: 0.0166
Epoch 14 	Train Acc: 0.3844	Train loss: 0.0133	Test Acc: 0.2077	Test loss: 0.0169
