seed: 4, algorithm: FedSGD, optimizer: SGD, momentum: 0.9, weight_decay: 0.0005, lr_scheduler: MultiStepLR, milestones: [0.6, 0.8], batch_size: 128, learning_rate: 0.05, model: mycnn, dataset: CIFAR10, distribution: iid, im_iid_gamma: 0.01, tail_cls_from: 4, dirichlet_alpha: 0.2, cache_partition: False, num_workers: 0, record_time: False, gpu_idx: [3], my_exp: True, epochs: 200, predict_epochs: 5, predict_alpha: 0.8, show_sign_flip: False, other_show_3d: False, only_show_last_epoch: True, npy_file_name: 4.3.2, npy_prefix: None, num_clients: 20, num_adv: 4, attack: SignFlipping, defense: TESSERACT, attack_params: None, defense_params: None, benchmark: False, num_training_sample: 50000, num_channels: 3, num_classes: 10, mean: (0.4914, 0.4822, 0.4465), std: (0.247, 0.243, 0.261), device: cuda:3, output: ./logs/FedSGD/CIFAR10_mycnn/iid/SignFlipping_TESSERACT/200_20_4_0.05_2025-03-09_18-37-20.txt

Started on Sun Mar  9 18:37:20 2025
Generating new indices
Doing iid partition
iid partition finished
Data partitioned
Clients and server are initialized
Starting Training...
Epoch 0  	Train Acc: 0.0949	Train loss: 0.0181	Test Acc: 0.1121	Test loss: 0.0182
Epoch 1  	Train Acc: 0.1363	Train loss: 0.0178	Test Acc: 0.1514	Test loss: 0.0181
Epoch 2  	Train Acc: 0.1949	Train loss: 0.0173	Test Acc: 0.1569	Test loss: 0.0180
Epoch 3  	Train Acc: 0.2348	Train loss: 0.0166	Test Acc: 0.1825	Test loss: 0.0179
Epoch 4  	Train Acc: 0.3008	Train loss: 0.0158	Test Acc: 0.2757	Test loss: 0.0176
Epoch 5  	Train Acc: 0.3180	Train loss: 0.0151	Test Acc: 0.2986	Test loss: 0.0174
Epoch 6  	Train Acc: 0.3422	Train loss: 0.0144	Test Acc: 0.3081	Test loss: 0.0170
Epoch 7  	Train Acc: 0.3602	Train loss: 0.0141	Test Acc: 0.3306	Test loss: 0.0167
Epoch 8  	Train Acc: 0.3953	Train loss: 0.0136	Test Acc: 0.2922	Test loss: 0.0164
Epoch 9  	Train Acc: 0.3973	Train loss: 0.0131	Test Acc: 0.2861	Test loss: 0.0160
Epoch 10 	Train Acc: 0.3680	Train loss: 0.0136	Test Acc: 0.2449	Test loss: 0.0160
Epoch 11 	Train Acc: 0.4047	Train loss: 0.0126	Test Acc: 0.2306	Test loss: 0.0161
Epoch 12 	Train Acc: 0.3531	Train loss: 0.0136	Test Acc: 0.2345	Test loss: 0.0163
Epoch 13 	Train Acc: 0.3879	Train loss: 0.0127	Test Acc: 0.2067	Test loss: 0.0176
Epoch 14 	Train Acc: 0.3855	Train loss: 0.0145	Test Acc: 0.2154	Test loss: 0.0165
Epoch 15 	Train Acc: 0.3973	Train loss: 0.0127	Test Acc: 0.2343	Test loss: 0.0158
Epoch 16 	Train Acc: 0.3367	Train loss: 0.0152	Test Acc: 0.2214	Test loss: 0.0169
Epoch 17 	Train Acc: 0.3609	Train loss: 0.0134	Test Acc: 0.2298	Test loss: 0.0163
Epoch 18 	Train Acc: 0.3816	Train loss: 0.0139	Test Acc: 0.3020	Test loss: 0.0151
Epoch 19 	Train Acc: 0.3750	Train loss: 0.0252	Test Acc: 0.3793	Test loss: 0.0145
Epoch 20 	Train Acc: 0.3957	Train loss: 0.0132	Test Acc: 0.3883	Test loss: 0.0142
Epoch 21 	Train Acc: 0.4238	Train loss: 0.0129	Test Acc: 0.3755	Test loss: 0.0139
Epoch 22 	Train Acc: 0.4152	Train loss: 0.0125	Test Acc: 0.3693	Test loss: 0.0135
Epoch 23 	Train Acc: 0.4242	Train loss: 0.0122	Test Acc: 0.4005	Test loss: 0.0130
Epoch 24 	Train Acc: 0.4445	Train loss: 0.0117	Test Acc: 0.4237	Test loss: 0.0127
Epoch 25 	Train Acc: 0.4527	Train loss: 0.0115	Test Acc: 0.4419	Test loss: 0.0120
Epoch 26 	Train Acc: 0.4461	Train loss: 0.0116	Test Acc: 0.4339	Test loss: 0.0120
Epoch 27 	Train Acc: 0.4363	Train loss: 0.0118	Test Acc: 0.4312	Test loss: 0.0122
Epoch 28 	Train Acc: 0.4730	Train loss: 0.0111	Test Acc: 0.4312	Test loss: 0.0122
Epoch 29 	Train Acc: 0.4543	Train loss: 0.0115	Test Acc: 0.4716	Test loss: 0.0113
Epoch 30 	Train Acc: 0.4793	Train loss: 0.0110	Test Acc: 0.4646	Test loss: 0.0114
Epoch 31 	Train Acc: 0.4953	Train loss: 0.0107	Test Acc: 0.4491	Test loss: 0.0117
Epoch 32 	Train Acc: 0.4855	Train loss: 0.0109	Test Acc: 0.4394	Test loss: 0.0118
Epoch 33 	Train Acc: 0.5055	Train loss: 0.0106	Test Acc: 0.4490	Test loss: 0.0116
Epoch 34 	Train Acc: 0.4648	Train loss: 0.0112	Test Acc: 0.4489	Test loss: 0.0117
Epoch 35 	Train Acc: 0.5129	Train loss: 0.0105	Test Acc: 0.4439	Test loss: 0.0120
Epoch 36 	Train Acc: 0.5008	Train loss: 0.0106	Test Acc: 0.4850	Test loss: 0.0112
Epoch 37 	Train Acc: 0.5293	Train loss: 0.0104	Test Acc: 0.4812	Test loss: 0.0111
Epoch 38 	Train Acc: 0.4938	Train loss: 0.0107	Test Acc: 0.5232	Test loss: 0.0103
Epoch 39 	Train Acc: 0.5390	Train loss: 0.0185	Test Acc: 0.5027	Test loss: 0.0108
Epoch 40 	Train Acc: 0.5367	Train loss: 0.0102	Test Acc: 0.5113	Test loss: 0.0107
Epoch 41 	Train Acc: 0.5312	Train loss: 0.0101	Test Acc: 0.4916	Test loss: 0.0109
Epoch 42 	Train Acc: 0.5234	Train loss: 0.0102	Test Acc: 0.5390	Test loss: 0.0101
Epoch 43 	Train Acc: 0.5531	Train loss: 0.0097	Test Acc: 0.5432	Test loss: 0.0100
Epoch 44 	Train Acc: 0.5523	Train loss: 0.0096	Test Acc: 0.5235	Test loss: 0.0103
Epoch 45 	Train Acc: 0.5383	Train loss: 0.0099	Test Acc: 0.5111	Test loss: 0.0107
Epoch 46 	Train Acc: 0.5535	Train loss: 0.0096	Test Acc: 0.5360	Test loss: 0.0104
Epoch 47 	Train Acc: 0.5555	Train loss: 0.0096	Test Acc: 0.5547	Test loss: 0.0097
Epoch 48 	Train Acc: 0.5734	Train loss: 0.0091	Test Acc: 0.5241	Test loss: 0.0106
Epoch 49 	Train Acc: 0.5594	Train loss: 0.0096	Test Acc: 0.5455	Test loss: 0.0100
