seed: 4, algorithm: FedSGD, optimizer: SGD, momentum: 0.9, weight_decay: 0.0005, lr_scheduler: MultiStepLR, milestones: [0.6, 0.8], batch_size: 128, learning_rate: 0.05, model: mycnn, dataset: CIFAR10, distribution: iid, im_iid_gamma: 0.01, tail_cls_from: 4, dirichlet_alpha: 0.2, cache_partition: False, num_workers: 0, record_time: False, gpu_idx: [3], my_exp: True, epochs: 200, predict_epochs: 5, predict_alpha: 0.8, show_sign_flip: False, other_show_3d: False, only_show_last_epoch: True, npy_file_name: 4.3.2, npy_prefix: None, num_clients: 20, num_adv: 4, attack: SignFlipping, defense: TrimmedMean, attack_params: None, defense_params: {'beta': 0.1}, benchmark: False, num_training_sample: 50000, num_channels: 3, num_classes: 10, mean: (0.4914, 0.4822, 0.4465), std: (0.247, 0.243, 0.261), device: cuda:3, output: ./logs/FedSGD/CIFAR10_mycnn/iid/SignFlipping_TrimmedMean/200_20_4_0.05_2025-03-09_18-37-20.txt

Started on Sun Mar  9 18:37:20 2025
Generating new indices
Doing iid partition
iid partition finished
Data partitioned
Clients and server are initialized
Starting Training...
Epoch 0  	Train Acc: 0.0949	Train loss: 0.0181	Test Acc: 0.1060	Test loss: 0.0182
Epoch 1  	Train Acc: 0.1313	Train loss: 0.0177	Test Acc: 0.1488	Test loss: 0.0181
Epoch 2  	Train Acc: 0.1941	Train loss: 0.0173	Test Acc: 0.1549	Test loss: 0.0180
Epoch 3  	Train Acc: 0.2363	Train loss: 0.0167	Test Acc: 0.2011	Test loss: 0.0179
Epoch 4  	Train Acc: 0.3113	Train loss: 0.0160	Test Acc: 0.2741	Test loss: 0.0177
Epoch 5  	Train Acc: 0.3195	Train loss: 0.0153	Test Acc: 0.2801	Test loss: 0.0175
Epoch 6  	Train Acc: 0.3277	Train loss: 0.0148	Test Acc: 0.2994	Test loss: 0.0173
Epoch 7  	Train Acc: 0.3441	Train loss: 0.0144	Test Acc: 0.3181	Test loss: 0.0170
Epoch 8  	Train Acc: 0.3785	Train loss: 0.0139	Test Acc: 0.3242	Test loss: 0.0168
Epoch 9  	Train Acc: 0.4113	Train loss: 0.0134	Test Acc: 0.3067	Test loss: 0.0165
Epoch 10 	Train Acc: 0.3875	Train loss: 0.0133	Test Acc: 0.2645	Test loss: 0.0163
Epoch 11 	Train Acc: 0.3695	Train loss: 0.0132	Test Acc: 0.2468	Test loss: 0.0160
Epoch 12 	Train Acc: 0.3840	Train loss: 0.0134	Test Acc: 0.2259	Test loss: 0.0162
Epoch 13 	Train Acc: 0.3977	Train loss: 0.0127	Test Acc: 0.2039	Test loss: 0.0167
Epoch 14 	Train Acc: 0.4098	Train loss: 0.0126	Test Acc: 0.2166	Test loss: 0.0163
Epoch 15 	Train Acc: 0.4320	Train loss: 0.0122	Test Acc: 0.2096	Test loss: 0.0161
Epoch 16 	Train Acc: 0.4211	Train loss: 0.0125	Test Acc: 0.1810	Test loss: 0.0170
Epoch 17 	Train Acc: 0.4223	Train loss: 0.0123	Test Acc: 0.1367	Test loss: 0.0178
Epoch 18 	Train Acc: 0.4316	Train loss: 0.0124	Test Acc: 0.1929	Test loss: 0.0165
Epoch 19 	Train Acc: 0.4463	Train loss: 0.0222	Test Acc: 0.2157	Test loss: 0.0163
Epoch 20 	Train Acc: 0.4340	Train loss: 0.0122	Test Acc: 0.2120	Test loss: 0.0168
Epoch 21 	Train Acc: 0.4609	Train loss: 0.0118	Test Acc: 0.2094	Test loss: 0.0163
Epoch 22 	Train Acc: 0.4590	Train loss: 0.0114	Test Acc: 0.2258	Test loss: 0.0153
Epoch 23 	Train Acc: 0.4840	Train loss: 0.0112	Test Acc: 0.2740	Test loss: 0.0145
Epoch 24 	Train Acc: 0.4781	Train loss: 0.0112	Test Acc: 0.3077	Test loss: 0.0141
Epoch 25 	Train Acc: 0.4891	Train loss: 0.0110	Test Acc: 0.3064	Test loss: 0.0145
Epoch 26 	Train Acc: 0.4762	Train loss: 0.0111	Test Acc: 0.3470	Test loss: 0.0142
Epoch 27 	Train Acc: 0.4777	Train loss: 0.0112	Test Acc: 0.3700	Test loss: 0.0136
Epoch 28 	Train Acc: 0.4977	Train loss: 0.0108	Test Acc: 0.4077	Test loss: 0.0127
Epoch 29 	Train Acc: 0.5012	Train loss: 0.0106	Test Acc: 0.3968	Test loss: 0.0127
Epoch 30 	Train Acc: 0.5090	Train loss: 0.0106	Test Acc: 0.3837	Test loss: 0.0128
Epoch 31 	Train Acc: 0.5289	Train loss: 0.0103	Test Acc: 0.4000	Test loss: 0.0128
