seed: 4, algorithm: FedSGD, optimizer: SGD, momentum: 0.9, weight_decay: 0.0005, lr_scheduler: MultiStepLR, milestones: [0.6, 0.8], batch_size: 128, learning_rate: 0.05, model: mycnn, dataset: CIFAR10, distribution: non-iid, im_iid_gamma: 0.01, tail_cls_from: 4, dirichlet_alpha: 0.5, cache_partition: False, num_workers: 0, record_time: False, gpu_idx: [0], my_exp: True, epochs: 200, predict_epochs: 5, predict_alpha: 0.8, hyper_e: 50, show_sign_flip: False, other_show_3d: False, only_show_last_epoch: True, npy_file_name: 4.3.2noiid, npy_prefix: None, num_clients: 20, num_adv: 4, attack: IPM, defense: MyDefense, attack_params: {'scaling_factor': 0.5}, defense_params: {'show_3d': False, 'metric': 'euclidean', 'gamma': 0.99, 'recored_rs': False}, benchmark: False, num_training_sample: 50000, num_channels: 3, num_classes: 10, mean: (0.4914, 0.4822, 0.4465), std: (0.247, 0.243, 0.261), device: cuda:0, output: ./logs/FedSGD/CIFAR10_mycnn/non-iid/IPM_MyDefense/200_20_4_0.05_2025-03-17_21-18-16.txt

Started on Mon Mar 17 21:18:16 2025
Generating new indices
Doing non-iid partition
dirichlet alpha: 0.5
non-iid partition finished
Data partitioned
Clients and server are initialized
Starting Training...
Epoch 0  	Train Acc: 0.1035	Train loss: 0.0182	Test Acc: 0.1023	Test loss: 0.0182
Epoch 1  	Train Acc: 0.1629	Train loss: 0.0177	Test Acc: 0.1012	Test loss: 0.0181
Epoch 2  	Train Acc: 0.2359	Train loss: 0.0174	Test Acc: 0.2004	Test loss: 0.0180
Epoch 3  	Train Acc: 0.2395	Train loss: 0.0170	Test Acc: 0.2744	Test loss: 0.0179
Epoch 4  	Train Acc: 0.3164	Train loss: 0.0161	Test Acc: 0.2902	Test loss: 0.0177
Epoch 5  	Train Acc: 0.3258	Train loss: 0.0153	Test Acc: 0.2179	Test loss: 0.0176
Epoch 6  	Train Acc: 0.2452	Train loss: 0.0194	Test Acc: 0.2308	Test loss: 0.0174
Epoch 7  	Train Acc: 0.2669	Train loss: 0.0187	Test Acc: 0.2455	Test loss: 0.0173
Epoch 8  	Train Acc: 0.2520	Train loss: 0.0197	Test Acc: 0.2356	Test loss: 0.0172
Epoch 9  	Train Acc: 0.2922	Train loss: 0.0173	Test Acc: 0.1955	Test loss: 0.0170
Epoch 10 	Train Acc: 0.2203	Train loss: 0.0168	Test Acc: 0.2197	Test loss: 0.0167
Epoch 11 	Train Acc: 0.3150	Train loss: 0.0179	Test Acc: 0.2416	Test loss: 0.0166
Epoch 12 	Train Acc: 0.2973	Train loss: 0.0195	Test Acc: 0.2327	Test loss: 0.0166
