seed: 4, algorithm: FedSGD, optimizer: SGD, momentum: 0.9, weight_decay: 0.0005, lr_scheduler: MultiStepLR, milestones: [0.6, 0.8], batch_size: 128, learning_rate: 0.05, model: mycnn, dataset: CIFAR10, distribution: non-iid, im_iid_gamma: 0.01, tail_cls_from: 4, dirichlet_alpha: 0.8, cache_partition: False, num_workers: 0, record_time: False, gpu_idx: [1], my_exp: True, epochs: 200, predict_epochs: 5, predict_alpha: 0.8, hyper_e: 50, show_sign_flip: False, other_show_3d: False, only_show_last_epoch: True, npy_file_name: 3.3.2noiid, npy_prefix: None, num_clients: 20, num_adv: 4, attack: IPM, defense: NormClipping, attack_params: {'scaling_factor': 0.5}, defense_params: {'weakDP': True, 'norm_threshold': 3, 'noise_mean': 0, 'noise_std': 0.002}, benchmark: False, num_training_sample: 50000, num_channels: 3, num_classes: 10, mean: (0.4914, 0.4822, 0.4465), std: (0.247, 0.243, 0.261), device: cuda:1, output: ./logs/FedSGD/CIFAR10_mycnn/non-iid/IPM_NormClipping/200_20_4_0.05_2025-03-20_10-39-02.txt

Started on Thu Mar 20 10:39:02 2025
Generating new indices
Doing non-iid partition
dirichlet alpha: 0.8
non-iid partition finished
Data partitioned
Clients and server are initialized
Starting Training...
Epoch 0  	Train Acc: 0.1133	Train loss: 0.0181	Test Acc: 0.1316	Test loss: 0.0182
Epoch 1  	Train Acc: 0.1379	Train loss: 0.0177	Test Acc: 0.1043	Test loss: 0.0181
Epoch 2  	Train Acc: 0.1832	Train loss: 0.0174	Test Acc: 0.1380	Test loss: 0.0181
Epoch 3  	Train Acc: 0.2570	Train loss: 0.0169	Test Acc: 0.2079	Test loss: 0.0180
Epoch 4  	Train Acc: 0.2863	Train loss: 0.0163	Test Acc: 0.2494	Test loss: 0.0179
Epoch 5  	Train Acc: 0.2922	Train loss: 0.0158	Test Acc: 0.3142	Test loss: 0.0178
Epoch 6  	Train Acc: 0.3246	Train loss: 0.0150	Test Acc: 0.3264	Test loss: 0.0176
Epoch 7  	Train Acc: 0.3164	Train loss: 0.0148	Test Acc: 0.3138	Test loss: 0.0173
Epoch 8  	Train Acc: 0.3457	Train loss: 0.0143	Test Acc: 0.2728	Test loss: 0.0171
Epoch 9  	Train Acc: 0.3375	Train loss: 0.0141	Test Acc: 0.2618	Test loss: 0.0169
Epoch 10 	Train Acc: 0.3742	Train loss: 0.0135	Test Acc: 0.2322	Test loss: 0.0168
Epoch 11 	Train Acc: 0.3805	Train loss: 0.0135	Test Acc: 0.2135	Test loss: 0.0167
Epoch 12 	Train Acc: 0.3766	Train loss: 0.0134	Test Acc: 0.2208	Test loss: 0.0166
Epoch 13 	Train Acc: 0.3942	Train loss: 0.0272	Test Acc: 0.2076	Test loss: 0.0166
Epoch 14 	Train Acc: 0.4122	Train loss: 0.0140	Test Acc: 0.2039	Test loss: 0.0169
Epoch 15 	Train Acc: 0.4204	Train loss: 0.0147	Test Acc: 0.1802	Test loss: 0.0173
Epoch 16 	Train Acc: 0.4268	Train loss: 0.0150	Test Acc: 0.2141	Test loss: 0.0170
Epoch 17 	Train Acc: 0.4217	Train loss: 0.0140	Test Acc: 0.2504	Test loss: 0.0165
Epoch 18 	Train Acc: 0.4270	Train loss: 0.0259	Test Acc: 0.2251	Test loss: 0.0167
Epoch 19 	Train Acc: 0.4328	Train loss: 0.0121	Test Acc: 0.1898	Test loss: 0.0166
Epoch 20 	Train Acc: 0.4403	Train loss: 0.0126	Test Acc: 0.2400	Test loss: 0.0161
Epoch 21 	Train Acc: 0.4410	Train loss: 0.0121	Test Acc: 0.2645	Test loss: 0.0158
Epoch 22 	Train Acc: 0.4699	Train loss: 0.0148	Test Acc: 0.2533	Test loss: 0.0155
Epoch 23 	Train Acc: 0.4684	Train loss: 0.0115	Test Acc: 0.2296	Test loss: 0.0152
Epoch 24 	Train Acc: 0.4891	Train loss: 0.0115	Test Acc: 0.2308	Test loss: 0.0153
Epoch 25 	Train Acc: 0.4603	Train loss: 0.0116	Test Acc: 0.2918	Test loss: 0.0150
Epoch 26 	Train Acc: 0.5146	Train loss: 0.0150	Test Acc: 0.2909	Test loss: 0.0147
Epoch 27 	Train Acc: 0.4810	Train loss: 0.0195	Test Acc: 0.3085	Test loss: 0.0143
Epoch 28 	Train Acc: 0.4949	Train loss: 0.0109	Test Acc: 0.2955	Test loss: 0.0143
Epoch 29 	Train Acc: 0.5074	Train loss: 0.0118	Test Acc: 0.2734	Test loss: 0.0148
Epoch 30 	Train Acc: 0.4887	Train loss: 0.0111	Test Acc: 0.3148	Test loss: 0.0145
Epoch 31 	Train Acc: 0.5146	Train loss: 0.0122	Test Acc: 0.3201	Test loss: 0.0141
Epoch 32 	Train Acc: 0.5297	Train loss: 0.0106	Test Acc: 0.3554	Test loss: 0.0138
Epoch 33 	Train Acc: 0.5314	Train loss: 0.0132	Test Acc: 0.3282	Test loss: 0.0139
Epoch 34 	Train Acc: 0.5414	Train loss: 0.0102	Test Acc: 0.3427	Test loss: 0.0137
Epoch 35 	Train Acc: 0.5395	Train loss: 0.0115	Test Acc: 0.3580	Test loss: 0.0137
Epoch 36 	Train Acc: 0.5320	Train loss: 0.0103	Test Acc: 0.3810	Test loss: 0.0131
Epoch 37 	Train Acc: 0.5597	Train loss: 0.0204	Test Acc: 0.4250	Test loss: 0.0124
Epoch 38 	Train Acc: 0.5473	Train loss: 0.0100	Test Acc: 0.4545	Test loss: 0.0119
Epoch 39 	Train Acc: 0.5465	Train loss: 0.0098	Test Acc: 0.4453	Test loss: 0.0122
Epoch 40 	Train Acc: 0.5402	Train loss: 0.0099	Test Acc: 0.4350	Test loss: 0.0124
Epoch 41 	Train Acc: 0.5432	Train loss: 0.0177	Test Acc: 0.4492	Test loss: 0.0115
Epoch 42 	Train Acc: 0.5535	Train loss: 0.0096	Test Acc: 0.5119	Test loss: 0.0107
Epoch 43 	Train Acc: 0.5559	Train loss: 0.0096	Test Acc: 0.4844	Test loss: 0.0113
Epoch 44 	Train Acc: 0.5606	Train loss: 0.0104	Test Acc: 0.4994	Test loss: 0.0113
Epoch 45 	Train Acc: 0.5720	Train loss: 0.0117	Test Acc: 0.4811	Test loss: 0.0113
Epoch 46 	Train Acc: 0.5598	Train loss: 0.0095	Test Acc: 0.5064	Test loss: 0.0107
Epoch 47 	Train Acc: 0.5493	Train loss: 0.0117	Test Acc: 0.5467	Test loss: 0.0101
Epoch 48 	Train Acc: 0.5855	Train loss: 0.0091	Test Acc: 0.5299	Test loss: 0.0106
Epoch 49 	Train Acc: 0.5926	Train loss: 0.0089	Test Acc: 0.4747	Test loss: 0.0116
Epoch 50 	Train Acc: 0.5844	Train loss: 0.0106	Test Acc: 0.5215	Test loss: 0.0105
Epoch 51 	Train Acc: 0.5976	Train loss: 0.0092	Test Acc: 0.5565	Test loss: 0.0097
Epoch 52 	Train Acc: 0.6113	Train loss: 0.0085	Test Acc: 0.5661	Test loss: 0.0098
Epoch 53 	Train Acc: 0.5670	Train loss: 0.0160	Test Acc: 0.5868	Test loss: 0.0095
Epoch 54 	Train Acc: 0.6148	Train loss: 0.0087	Test Acc: 0.5627	Test loss: 0.0098
Epoch 55 	Train Acc: 0.6028	Train loss: 0.0158	Test Acc: 0.5776	Test loss: 0.0095
Epoch 56 	Train Acc: 0.6285	Train loss: 0.0172	Test Acc: 0.5786	Test loss: 0.0093
Epoch 57 	Train Acc: 0.5965	Train loss: 0.0089	Test Acc: 0.5903	Test loss: 0.0090
Epoch 58 	Train Acc: 0.5824	Train loss: 0.0091	Test Acc: 0.5300	Test loss: 0.0100
Epoch 59 	Train Acc: 0.5968	Train loss: 0.0097	Test Acc: 0.5258	Test loss: 0.0106
Epoch 60 	Train Acc: 0.6109	Train loss: 0.0085	Test Acc: 0.5818	Test loss: 0.0091
Epoch 61 	Train Acc: 0.6180	Train loss: 0.0085	Test Acc: 0.5830	Test loss: 0.0091
Epoch 62 	Train Acc: 0.5950	Train loss: 0.0094	Test Acc: 0.5936	Test loss: 0.0088
Epoch 63 	Train Acc: 0.5941	Train loss: 0.0096	Test Acc: 0.5657	Test loss: 0.0095
Epoch 64 	Train Acc: 0.6297	Train loss: 0.0083	Test Acc: 0.5808	Test loss: 0.0093
Epoch 65 	Train Acc: 0.6027	Train loss: 0.0086	Test Acc: 0.6110	Test loss: 0.0086
Epoch 66 	Train Acc: 0.6316	Train loss: 0.0082	Test Acc: 0.6264	Test loss: 0.0083
Epoch 67 	Train Acc: 0.6200	Train loss: 0.0101	Test Acc: 0.5779	Test loss: 0.0092
Epoch 68 	Train Acc: 0.6001	Train loss: 0.0115	Test Acc: 0.6289	Test loss: 0.0083
Epoch 69 	Train Acc: 0.6279	Train loss: 0.0145	Test Acc: 0.6132	Test loss: 0.0086
Epoch 70 	Train Acc: 0.6320	Train loss: 0.0082	Test Acc: 0.6217	Test loss: 0.0083
Epoch 71 	Train Acc: 0.6398	Train loss: 0.0092	Test Acc: 0.5883	Test loss: 0.0092
Epoch 72 	Train Acc: 0.6496	Train loss: 0.0079	Test Acc: 0.5744	Test loss: 0.0097
Epoch 73 	Train Acc: 0.6285	Train loss: 0.0081	Test Acc: 0.5942	Test loss: 0.0090
Epoch 74 	Train Acc: 0.6492	Train loss: 0.0088	Test Acc: 0.6068	Test loss: 0.0088
Epoch 75 	Train Acc: 0.6374	Train loss: 0.0189	Test Acc: 0.6292	Test loss: 0.0083
Epoch 76 	Train Acc: 0.6687	Train loss: 0.0076	Test Acc: 0.6306	Test loss: 0.0082
Epoch 77 	Train Acc: 0.6475	Train loss: 0.0078	Test Acc: 0.6289	Test loss: 0.0083
Epoch 78 	Train Acc: 0.6695	Train loss: 0.0075	Test Acc: 0.6362	Test loss: 0.0081
Epoch 79 	Train Acc: 0.6539	Train loss: 0.0084	Test Acc: 0.6474	Test loss: 0.0080
Epoch 80 	Train Acc: 0.6698	Train loss: 0.0110	Test Acc: 0.6512	Test loss: 0.0079
Epoch 81 	Train Acc: 0.6742	Train loss: 0.0073	Test Acc: 0.6460	Test loss: 0.0081
Epoch 82 	Train Acc: 0.6879	Train loss: 0.0071	Test Acc: 0.6311	Test loss: 0.0084
Epoch 83 	Train Acc: 0.6736	Train loss: 0.0134	Test Acc: 0.6125	Test loss: 0.0087
Epoch 84 	Train Acc: 0.6502	Train loss: 0.0093	Test Acc: 0.6361	Test loss: 0.0083
Epoch 85 	Train Acc: 0.6500	Train loss: 0.0078	Test Acc: 0.6580	Test loss: 0.0076
Epoch 86 	Train Acc: 0.6676	Train loss: 0.0073	Test Acc: 0.6347	Test loss: 0.0082
Epoch 87 	Train Acc: 0.6797	Train loss: 0.0071	Test Acc: 0.6343	Test loss: 0.0083
