seed: 4, algorithm: FedSGD, optimizer: SGD, momentum: 0.9, weight_decay: 0.0005, lr_scheduler: MultiStepLR, milestones: [0.6, 0.8], batch_size: 128, learning_rate: 0.05, model: mycnn, dataset: CIFAR10, distribution: non-iid, im_iid_gamma: 0.01, tail_cls_from: 4, dirichlet_alpha: 0.3, cache_partition: False, num_workers: 0, record_time: False, gpu_idx: [0], my_exp: True, epochs: 200, predict_epochs: 5, predict_alpha: 0.8, hyper_e: 50, show_sign_flip: False, other_show_3d: False, only_show_last_epoch: True, npy_file_name: 4.3.2noiid, npy_prefix: None, num_clients: 20, num_adv: 4, attack: IPM, defense: TESSERACT, attack_params: {'scaling_factor': 0.5}, defense_params: None, benchmark: False, num_training_sample: 50000, num_channels: 3, num_classes: 10, mean: (0.4914, 0.4822, 0.4465), std: (0.247, 0.243, 0.261), device: cuda:0, output: ./logs/FedSGD/CIFAR10_mycnn/non-iid/IPM_TESSERACT/200_20_4_0.05_2025-03-17_21-48-34.txt

Started on Mon Mar 17 21:48:34 2025
Generating new indices
Doing non-iid partition
dirichlet alpha: 0.3
non-iid partition finished
Data partitioned
Clients and server are initialized
Starting Training...
Epoch 0  	Train Acc: 0.1164	Train loss: 0.0180	Test Acc: 0.1474	Test loss: 0.0182
Epoch 1  	Train Acc: 0.1359	Train loss: 0.0179	Test Acc: 0.1213	Test loss: 0.0181
Epoch 2  	Train Acc: 0.2086	Train loss: 0.0181	Test Acc: 0.1550	Test loss: 0.0181
Epoch 3  	Train Acc: 0.2465	Train loss: 0.0181	Test Acc: 0.1731	Test loss: 0.0181
Epoch 4  	Train Acc: 0.2328	Train loss: 0.0187	Test Acc: 0.1976	Test loss: 0.0180
Epoch 5  	Train Acc: 0.2437	Train loss: 0.0179	Test Acc: 0.2614	Test loss: 0.0178
Epoch 6  	Train Acc: 0.2930	Train loss: 0.2651	Test Acc: 0.2814	Test loss: 0.0177
Epoch 7  	Train Acc: 0.3063	Train loss: 0.0182	Test Acc: 0.2706	Test loss: 0.0174
Epoch 8  	Train Acc: 0.3160	Train loss: 0.0158	Test Acc: 0.2380	Test loss: 0.0172
Epoch 9  	Train Acc: 0.3148	Train loss: 0.0156	Test Acc: 0.2340	Test loss: 0.0170
Epoch 10 	Train Acc: 0.3281	Train loss: 0.0152	Test Acc: 0.2571	Test loss: 0.0168
Epoch 11 	Train Acc: 0.3502	Train loss: 0.0149	Test Acc: 0.2248	Test loss: 0.0167
Epoch 12 	Train Acc: 0.3712	Train loss: 0.0177	Test Acc: 0.2079	Test loss: 0.0167
Epoch 13 	Train Acc: 0.3667	Train loss: 0.2455	Test Acc: 0.2043	Test loss: 0.0166
Epoch 14 	Train Acc: 0.3801	Train loss: 0.0143	Test Acc: 0.1871	Test loss: 0.0166
Epoch 15 	Train Acc: 0.3751	Train loss: 0.0179	Test Acc: 0.1709	Test loss: 0.0175
Epoch 16 	Train Acc: 0.3172	Train loss: 0.0289	Test Acc: 0.1890	Test loss: 0.0167
Epoch 17 	Train Acc: 0.4171	Train loss: 0.0153	Test Acc: 0.2394	Test loss: 0.0163
Epoch 18 	Train Acc: 0.3347	Train loss: 0.0163	Test Acc: 0.2180	Test loss: 0.0176
Epoch 19 	Train Acc: 0.3242	Train loss: 0.0174	Test Acc: 0.2495	Test loss: 0.0179
Epoch 20 	Train Acc: 0.3222	Train loss: 0.1731	Test Acc: 0.2755	Test loss: 0.0177
Epoch 21 	Train Acc: 0.3119	Train loss: 0.0266	Test Acc: 0.2915	Test loss: 0.0170
Epoch 22 	Train Acc: 0.3426	Train loss: 0.0174	Test Acc: 0.2738	Test loss: 0.0160
Epoch 23 	Train Acc: 0.3053	Train loss: 0.0179	Test Acc: 0.3201	Test loss: 0.0159
Epoch 24 	Train Acc: 0.3254	Train loss: 0.0152	Test Acc: 0.3206	Test loss: 0.0160
Epoch 25 	Train Acc: 0.3441	Train loss: 0.0191	Test Acc: 0.2915	Test loss: 0.0159
Epoch 26 	Train Acc: 0.3387	Train loss: 0.0152	Test Acc: 0.2715	Test loss: 0.0157
Epoch 27 	Train Acc: 0.3065	Train loss: 0.1964	Test Acc: 0.2909	Test loss: 0.0153
Epoch 28 	Train Acc: 0.3203	Train loss: 0.0152	Test Acc: 0.3435	Test loss: 0.0147
Epoch 29 	Train Acc: 0.3430	Train loss: 0.0152	Test Acc: 0.3824	Test loss: 0.0144
Epoch 30 	Train Acc: 0.3715	Train loss: 0.0148	Test Acc: 0.3882	Test loss: 0.0144
Epoch 31 	Train Acc: 0.3660	Train loss: 0.0178	Test Acc: 0.3876	Test loss: 0.0143
Epoch 32 	Train Acc: 0.3917	Train loss: 0.0145	Test Acc: 0.3977	Test loss: 0.0138
Epoch 33 	Train Acc: 0.3934	Train loss: 0.0226	Test Acc: 0.4080	Test loss: 0.0134
Epoch 34 	Train Acc: 0.3902	Train loss: 0.3089	Test Acc: 0.4177	Test loss: 0.0130
