seed: 4, algorithm: FedSGD, optimizer: SGD, momentum: 0.9, weight_decay: 0.0005, lr_scheduler: MultiStepLR, milestones: [0.6, 0.8], batch_size: 128, learning_rate: 0.05, model: mycnn, dataset: CIFAR10, distribution: non-iid, im_iid_gamma: 0.01, tail_cls_from: 4, dirichlet_alpha: 0.8, cache_partition: False, num_workers: 0, record_time: False, gpu_idx: [1], my_exp: True, epochs: 200, predict_epochs: 5, predict_alpha: 0.8, hyper_e: 50, show_sign_flip: False, other_show_3d: False, only_show_last_epoch: True, npy_file_name: 3.3.2noiid, npy_prefix: None, num_clients: 20, num_adv: 4, attack: IPM, defense: TrimmedMean, attack_params: {'scaling_factor': 0.5}, defense_params: {'beta': 0.1}, benchmark: False, num_training_sample: 50000, num_channels: 3, num_classes: 10, mean: (0.4914, 0.4822, 0.4465), std: (0.247, 0.243, 0.261), device: cuda:1, output: ./logs/FedSGD/CIFAR10_mycnn/non-iid/IPM_TrimmedMean/200_20_4_0.05_2025-03-20_10-39-02.txt

Started on Thu Mar 20 10:39:02 2025
Generating new indices
Doing non-iid partition
dirichlet alpha: 0.8
non-iid partition finished
Data partitioned
Clients and server are initialized
Starting Training...
Epoch 0  	Train Acc: 0.1133	Train loss: 0.0181	Test Acc: 0.1306	Test loss: 0.0182
Epoch 1  	Train Acc: 0.1367	Train loss: 0.0178	Test Acc: 0.1040	Test loss: 0.0181
Epoch 2  	Train Acc: 0.1645	Train loss: 0.0175	Test Acc: 0.1126	Test loss: 0.0181
Epoch 3  	Train Acc: 0.2375	Train loss: 0.0170	Test Acc: 0.1988	Test loss: 0.0180
Epoch 4  	Train Acc: 0.2762	Train loss: 0.0164	Test Acc: 0.2415	Test loss: 0.0179
Epoch 5  	Train Acc: 0.2879	Train loss: 0.0160	Test Acc: 0.2762	Test loss: 0.0178
Epoch 6  	Train Acc: 0.3230	Train loss: 0.0153	Test Acc: 0.3045	Test loss: 0.0176
Epoch 7  	Train Acc: 0.3254	Train loss: 0.0150	Test Acc: 0.2854	Test loss: 0.0174
Epoch 8  	Train Acc: 0.3414	Train loss: 0.0146	Test Acc: 0.2643	Test loss: 0.0172
Epoch 9  	Train Acc: 0.3387	Train loss: 0.0143	Test Acc: 0.2476	Test loss: 0.0170
Epoch 10 	Train Acc: 0.3664	Train loss: 0.0138	Test Acc: 0.2135	Test loss: 0.0169
Epoch 11 	Train Acc: 0.3473	Train loss: 0.0139	Test Acc: 0.2320	Test loss: 0.0168
Epoch 12 	Train Acc: 0.3664	Train loss: 0.0137	Test Acc: 0.2090	Test loss: 0.0167
