seed: 4, algorithm: FedSGD, optimizer: SGD, momentum: 0.9, weight_decay: 0.0005, lr_scheduler: MultiStepLR, milestones: [0.6, 0.8], batch_size: 128, learning_rate: 0.05, model: mycnn, dataset: CIFAR10, distribution: non-iid, im_iid_gamma: 0.01, tail_cls_from: 4, dirichlet_alpha: 0.5, cache_partition: False, num_workers: 0, record_time: False, gpu_idx: [3], my_exp: True, epochs: 200, predict_epochs: 5, predict_alpha: 0.8, hyper_e: 50, show_sign_flip: False, other_show_3d: False, only_show_last_epoch: True, npy_file_name: 4.3.2noiid, npy_prefix: None, num_clients: 20, num_adv: 4, attack: MPAF, defense: MyDefense, attack_params: {'lamda': 1}, defense_params: {'show_3d': False, 'metric': 'euclidean', 'gamma': 0.99, 'recored_rs': False}, benchmark: False, num_training_sample: 50000, num_channels: 3, num_classes: 10, mean: (0.4914, 0.4822, 0.4465), std: (0.247, 0.243, 0.261), device: cuda:3, output: ./logs/FedSGD/CIFAR10_mycnn/non-iid/MPAF_MyDefense/200_20_4_0.05_2025-03-17_20-22-37.txt

Started on Mon Mar 17 20:22:37 2025
Generating new indices
Doing non-iid partition
dirichlet alpha: 0.5
non-iid partition finished
Data partitioned
Clients and server are initialized
Starting Training...
Epoch 0  	Train Acc: 0.0879	Train loss: 0.0182	Test Acc: 0.1031	Test loss: 0.0182
Epoch 1  	Train Acc: 0.1828	Train loss: 0.0179	Test Acc: 0.1071	Test loss: 0.0181
Epoch 2  	Train Acc: 0.2309	Train loss: 0.0178	Test Acc: 0.2035	Test loss: 0.0180
Epoch 3  	Train Acc: 0.3199	Train loss: 0.0170	Test Acc: 0.2406	Test loss: 0.0178
Epoch 4  	Train Acc: 0.2832	Train loss: 0.0162	Test Acc: 0.2473	Test loss: 0.0176
Epoch 5  	Train Acc: 0.2941	Train loss: 0.0154	Test Acc: 0.2144	Test loss: 0.0175
Epoch 6  	Train Acc: 0.2500	Train loss: 0.0207	Test Acc: 0.1764	Test loss: 0.0174
Epoch 7  	Train Acc: 0.2116	Train loss: 0.0191	Test Acc: 0.2980	Test loss: 0.0170
Epoch 8  	Train Acc: 0.2926	Train loss: 0.0161	Test Acc: 0.2498	Test loss: 0.0169
Epoch 9  	Train Acc: 0.2625	Train loss: 0.0155	Test Acc: 0.2640	Test loss: 0.0166
Epoch 10 	Train Acc: 0.3477	Train loss: 0.0145	Test Acc: 0.2376	Test loss: 0.0163
Epoch 11 	Train Acc: 0.2763	Train loss: 0.0188	Test Acc: 0.2462	Test loss: 0.0160
Epoch 12 	Train Acc: 0.2596	Train loss: 0.0201	Test Acc: 0.3243	Test loss: 0.0156
Epoch 13 	Train Acc: 0.3181	Train loss: 0.0156	Test Acc: 0.3195	Test loss: 0.0154
Epoch 14 	Train Acc: 0.3397	Train loss: 0.0179	Test Acc: 0.3396	Test loss: 0.0150
Epoch 15 	Train Acc: 0.3537	Train loss: 0.0213	Test Acc: 0.3523	Test loss: 0.0143
Epoch 16 	Train Acc: 0.3582	Train loss: 0.0147	Test Acc: 0.3300	Test loss: 0.0140
Epoch 17 	Train Acc: 0.3418	Train loss: 0.0139	Test Acc: 0.3489	Test loss: 0.0136
Epoch 18 	Train Acc: 0.3277	Train loss: 0.1023	Test Acc: 0.3958	Test loss: 0.0132
Epoch 19 	Train Acc: 0.4168	Train loss: 0.0130	Test Acc: 0.3834	Test loss: 0.0132
Epoch 20 	Train Acc: 0.4190	Train loss: 0.0132	Test Acc: 0.3691	Test loss: 0.0133
Epoch 21 	Train Acc: 0.3818	Train loss: 0.0163	Test Acc: 0.3892	Test loss: 0.0130
Epoch 22 	Train Acc: 0.3922	Train loss: 0.0136	Test Acc: 0.3857	Test loss: 0.0130
Epoch 23 	Train Acc: 0.4011	Train loss: 0.0203	Test Acc: 0.3732	Test loss: 0.0131
Epoch 24 	Train Acc: 0.3958	Train loss: 0.0132	Test Acc: 0.4019	Test loss: 0.0127
Epoch 25 	Train Acc: 0.4374	Train loss: 0.0187	Test Acc: 0.4342	Test loss: 0.0122
Epoch 26 	Train Acc: 0.4268	Train loss: 0.0124	Test Acc: 0.4389	Test loss: 0.0122
Epoch 27 	Train Acc: 0.4461	Train loss: 0.0127	Test Acc: 0.4392	Test loss: 0.0123
Epoch 28 	Train Acc: 0.4742	Train loss: 0.0115	Test Acc: 0.4235	Test loss: 0.0124
Epoch 29 	Train Acc: 0.4604	Train loss: 0.0149	Test Acc: 0.4008	Test loss: 0.0125
Epoch 30 	Train Acc: 0.4582	Train loss: 0.0117	Test Acc: 0.3864	Test loss: 0.0127
Epoch 31 	Train Acc: 0.4427	Train loss: 0.0396	Test Acc: 0.4100	Test loss: 0.0124
Epoch 32 	Train Acc: 0.4699	Train loss: 0.0115	Test Acc: 0.4431	Test loss: 0.0120
Epoch 33 	Train Acc: 0.4975	Train loss: 0.0119	Test Acc: 0.4558	Test loss: 0.0117
Epoch 34 	Train Acc: 0.4765	Train loss: 0.0119	Test Acc: 0.4484	Test loss: 0.0117
Epoch 35 	Train Acc: 0.4987	Train loss: 0.0124	Test Acc: 0.4561	Test loss: 0.0115
Epoch 36 	Train Acc: 0.4965	Train loss: 0.0108	Test Acc: 0.4636	Test loss: 0.0114
Epoch 37 	Train Acc: 0.5094	Train loss: 0.0347	Test Acc: 0.4757	Test loss: 0.0112
Epoch 38 	Train Acc: 0.5113	Train loss: 0.0147	Test Acc: 0.4538	Test loss: 0.0119
Epoch 39 	Train Acc: 0.5132	Train loss: 0.0108	Test Acc: 0.5044	Test loss: 0.0108
Epoch 40 	Train Acc: 0.5297	Train loss: 0.0107	Test Acc: 0.5264	Test loss: 0.0102
Epoch 41 	Train Acc: 0.5102	Train loss: 0.0111	Test Acc: 0.5208	Test loss: 0.0102
Epoch 42 	Train Acc: 0.5230	Train loss: 0.0103	Test Acc: 0.4771	Test loss: 0.0110
