seed: 4, algorithm: FedSGD, optimizer: SGD, momentum: 0.9, weight_decay: 0.0005, lr_scheduler: MultiStepLR, milestones: [0.6, 0.8], batch_size: 128, learning_rate: 0.05, model: mycnn, dataset: CIFAR10, distribution: non-iid, im_iid_gamma: 0.01, tail_cls_from: 4, dirichlet_alpha: 0.8, cache_partition: False, num_workers: 0, record_time: False, gpu_idx: [3], my_exp: True, epochs: 200, predict_epochs: 5, predict_alpha: 0.8, hyper_e: 50, show_sign_flip: False, other_show_3d: False, only_show_last_epoch: True, npy_file_name: 3.3.2noiid, npy_prefix: None, num_clients: 20, num_adv: 6, attack: MyAttack, defense: NormClipping, attack_params: {'aff_open': False, 'moment_open': True, 'record_sign_match': False}, defense_params: {'weakDP': True, 'norm_threshold': 3, 'noise_mean': 0, 'noise_std': 0.002}, benchmark: False, num_training_sample: 50000, num_channels: 3, num_classes: 10, mean: (0.4914, 0.4822, 0.4465), std: (0.247, 0.243, 0.261), device: cuda:3, output: ./logs/FedSGD/CIFAR10_mycnn/non-iid/MyAttack_NormClipping/200_20_6_0.05_2025-03-20_10-39-03.txt

Started on Thu Mar 20 10:39:03 2025
Generating new indices
Doing non-iid partition
dirichlet alpha: 0.8
non-iid partition finished
Data partitioned
Clients and server are initialized
Starting Training...
Epoch 0  	Train Acc: 0.0906	Train loss: 0.0183	Test Acc: 0.1048	Test loss: 0.0182
Epoch 1  	Train Acc: 0.1418	Train loss: 0.0179	Test Acc: 0.1285	Test loss: 0.0181
Epoch 2  	Train Acc: 0.1531	Train loss: 0.0182	Test Acc: 0.1814	Test loss: 0.0181
Epoch 3  	Train Acc: 0.2480	Train loss: 0.0177	Test Acc: 0.1857	Test loss: 0.0180
Epoch 4  	Train Acc: 0.2801	Train loss: 0.0170	Test Acc: 0.2271	Test loss: 0.0178
Epoch 5  	Train Acc: 0.2902	Train loss: 0.0162	Test Acc: 0.2438	Test loss: 0.0176
Epoch 6  	Train Acc: 0.2973	Train loss: 0.0156	Test Acc: 0.2906	Test loss: 0.0173
Epoch 7  	Train Acc: 0.3277	Train loss: 0.0148	Test Acc: 0.2898	Test loss: 0.0171
Epoch 8  	Train Acc: 0.3355	Train loss: 0.0146	Test Acc: 0.2682	Test loss: 0.0168
Epoch 9  	Train Acc: 0.3426	Train loss: 0.0143	Test Acc: 0.2676	Test loss: 0.0165
Epoch 10 	Train Acc: 0.3465	Train loss: 0.0144	Test Acc: 0.2591	Test loss: 0.0162
Epoch 11 	Train Acc: 0.3723	Train loss: 0.0139	Test Acc: 0.2565	Test loss: 0.0159
Epoch 12 	Train Acc: 0.3770	Train loss: 0.0135	Test Acc: 0.2710	Test loss: 0.0160
Epoch 13 	Train Acc: 0.3887	Train loss: 0.0236	Test Acc: 0.1986	Test loss: 0.0166
Epoch 14 	Train Acc: 0.4183	Train loss: 0.0139	Test Acc: 0.2579	Test loss: 0.0155
Epoch 15 	Train Acc: 0.3774	Train loss: 0.0154	Test Acc: 0.2583	Test loss: 0.0154
Epoch 16 	Train Acc: 0.4278	Train loss: 0.0148	Test Acc: 0.2333	Test loss: 0.0157
Epoch 17 	Train Acc: 0.4091	Train loss: 0.0146	Test Acc: 0.2570	Test loss: 0.0150
Epoch 18 	Train Acc: 0.4463	Train loss: 0.0210	Test Acc: 0.2658	Test loss: 0.0148
Epoch 19 	Train Acc: 0.4328	Train loss: 0.0125	Test Acc: 0.2793	Test loss: 0.0149
Epoch 20 	Train Acc: 0.4414	Train loss: 0.0125	Test Acc: 0.2799	Test loss: 0.0151
Epoch 21 	Train Acc: 0.4219	Train loss: 0.0125	Test Acc: 0.3151	Test loss: 0.0143
Epoch 22 	Train Acc: 0.4015	Train loss: 0.0186	Test Acc: 0.3403	Test loss: 0.0141
Epoch 23 	Train Acc: 0.3805	Train loss: 0.0136	Test Acc: 0.3903	Test loss: 0.0133
Epoch 24 	Train Acc: 0.4406	Train loss: 0.0125	Test Acc: 0.4232	Test loss: 0.0124
Epoch 25 	Train Acc: 0.4313	Train loss: 0.0130	Test Acc: 0.3975	Test loss: 0.0126
Epoch 26 	Train Acc: 0.4211	Train loss: 0.0177	Test Acc: 0.4062	Test loss: 0.0129
Epoch 27 	Train Acc: 0.4792	Train loss: 0.0212	Test Acc: 0.4179	Test loss: 0.0126
Epoch 28 	Train Acc: 0.4148	Train loss: 0.0133	Test Acc: 0.4348	Test loss: 0.0123
Epoch 29 	Train Acc: 0.4136	Train loss: 0.0139	Test Acc: 0.3829	Test loss: 0.0133
Epoch 30 	Train Acc: 0.3820	Train loss: 0.0137	Test Acc: 0.3663	Test loss: 0.0136
Epoch 31 	Train Acc: 0.3662	Train loss: 0.0167	Test Acc: 0.4695	Test loss: 0.0118
Epoch 32 	Train Acc: 0.4242	Train loss: 0.0130	Test Acc: 0.3851	Test loss: 0.0135
Epoch 33 	Train Acc: 0.4334	Train loss: 0.0148	Test Acc: 0.4015	Test loss: 0.0133
Epoch 34 	Train Acc: 0.4324	Train loss: 0.0121	Test Acc: 0.3842	Test loss: 0.0134
Epoch 35 	Train Acc: 0.4104	Train loss: 0.0142	Test Acc: 0.4237	Test loss: 0.0128
Epoch 36 	Train Acc: 0.4535	Train loss: 0.0115	Test Acc: 0.4331	Test loss: 0.0134
Epoch 37 	Train Acc: 0.4496	Train loss: 0.0354	Test Acc: 0.4404	Test loss: 0.0134
Epoch 38 	Train Acc: 0.4672	Train loss: 0.0119	Test Acc: 0.4555	Test loss: 0.0124
Epoch 39 	Train Acc: 0.4820	Train loss: 0.0114	Test Acc: 0.4728	Test loss: 0.0115
Epoch 40 	Train Acc: 0.4949	Train loss: 0.0108	Test Acc: 0.4670	Test loss: 0.0119
Epoch 41 	Train Acc: 0.4661	Train loss: 0.0211	Test Acc: 0.4368	Test loss: 0.0135
