seed: 4, algorithm: FedSGD, optimizer: SGD, momentum: 0.9, weight_decay: 0.0005, lr_scheduler: MultiStepLR, milestones: [0.6, 0.8], batch_size: 128, learning_rate: 0.05, model: mycnn, dataset: CIFAR10, distribution: non-iid, im_iid_gamma: 0.01, tail_cls_from: 4, dirichlet_alpha: 0.8, cache_partition: False, num_workers: 0, record_time: False, gpu_idx: [3], my_exp: True, epochs: 200, predict_epochs: 5, predict_alpha: 0.8, hyper_e: 50, show_sign_flip: False, other_show_3d: False, only_show_last_epoch: True, npy_file_name: 3.3.2noiid, npy_prefix: None, num_clients: 20, num_adv: 6, attack: MyAttack, defense: TrimmedMean, attack_params: {'aff_open': False, 'moment_open': True, 'record_sign_match': False}, defense_params: {'beta': 0.1}, benchmark: False, num_training_sample: 50000, num_channels: 3, num_classes: 10, mean: (0.4914, 0.4822, 0.4465), std: (0.247, 0.243, 0.261), device: cuda:3, output: ./logs/FedSGD/CIFAR10_mycnn/non-iid/MyAttack_TrimmedMean/200_20_6_0.05_2025-03-20_10-39-03.txt

Started on Thu Mar 20 10:39:03 2025
Generating new indices
Doing non-iid partition
dirichlet alpha: 0.8
non-iid partition finished
Data partitioned
Clients and server are initialized
Starting Training...
Epoch 0  	Train Acc: 0.0906	Train loss: 0.0183	Test Acc: 0.1025	Test loss: 13.4966
Epoch 1  	Train Acc: 0.1031	Train loss: 0.5761	Test Acc: 0.1238	Test loss: 220.4159
Epoch 2  	Train Acc: 0.1246	Train loss: 2.3515	Test Acc: 0.1194	Test loss: 608.6923
Epoch 3  	Train Acc: 0.1633	Train loss: 6.9666	Test Acc: 0.1158	Test loss: 1121.3968
Epoch 4  	Train Acc: 0.1020	Train loss: 12.0125	Test Acc: 0.0764	Test loss: 1552.0265
Epoch 5  	Train Acc: 0.0953	Train loss: 11.3858	Test Acc: 0.1107	Test loss: 752.3399
Epoch 6  	Train Acc: 0.1336	Train loss: 11.0825	Test Acc: 0.1015	Test loss: 1121.3025
Epoch 7  	Train Acc: 0.1305	Train loss: 17.2479	Test Acc: 0.0888	Test loss: 714.5594
Epoch 8  	Train Acc: 0.1266	Train loss: 10.5776	Test Acc: 0.1163	Test loss: 988.9849
Epoch 9  	Train Acc: 0.1082	Train loss: 15.9292	Test Acc: 0.0999	Test loss: 883.5396
Epoch 10 	Train Acc: 0.0980	Train loss: 10.6744	Test Acc: 0.1054	Test loss: 697.0014
Epoch 11 	Train Acc: 0.1129	Train loss: 8.4492	Test Acc: 0.1027	Test loss: 422.7383
Epoch 12 	Train Acc: 0.1199	Train loss: 6.6592	Test Acc: 0.0881	Test loss: 103.8471
