seed: 4, algorithm: FedSGD, optimizer: SGD, momentum: 0.9, weight_decay: 0.0005, lr_scheduler: MultiStepLR, milestones: [0.6, 0.8], batch_size: 128, learning_rate: 0.05, model: mycnn, dataset: CIFAR10, distribution: non-iid, im_iid_gamma: 0.01, tail_cls_from: 4, dirichlet_alpha: 0.5, cache_partition: False, num_workers: 0, record_time: False, gpu_idx: [1], my_exp: True, epochs: 200, predict_epochs: 5, predict_alpha: 0.8, hyper_e: 50, show_sign_flip: False, other_show_3d: False, only_show_last_epoch: True, npy_file_name: 3.3.2noiid, npy_prefix: None, num_clients: 20, num_adv: 4, attack: NoAttack, defense: CenteredClipping, attack_params: None, defense_params: {'norm_threshold': 100, 'num_iters': 1}, benchmark: False, num_training_sample: 50000, num_channels: 3, num_classes: 10, mean: (0.4914, 0.4822, 0.4465), std: (0.247, 0.243, 0.261), device: cuda:1, output: ./logs/FedSGD/CIFAR10_mycnn/non-iid/NoAttack_CenteredClipping/200_20_4_0.05_2025-03-20_14-44-48.txt

Started on Thu Mar 20 14:44:48 2025
Generating new indices
Doing non-iid partition
dirichlet alpha: 0.5
non-iid partition finished
Data partitioned
Clients and server are initialized
Starting Training...
Epoch 0  	Train Acc: 0.1102	Train loss: 0.0181	Test Acc: 0.1278	Test loss: 0.0182
Epoch 1  	Train Acc: 0.1355	Train loss: 0.0175	Test Acc: 0.1108	Test loss: 0.0181
Epoch 2  	Train Acc: 0.2211	Train loss: 0.0172	Test Acc: 0.2109	Test loss: 0.0180
Epoch 3  	Train Acc: 0.2719	Train loss: 0.0164	Test Acc: 0.2751	Test loss: 0.0179
Epoch 4  	Train Acc: 0.3176	Train loss: 0.0156	Test Acc: 0.2915	Test loss: 0.0177
Epoch 5  	Train Acc: 0.3285	Train loss: 0.0151	Test Acc: 0.3196	Test loss: 0.0174
Epoch 6  	Train Acc: 0.3293	Train loss: 0.0156	Test Acc: 0.2788	Test loss: 0.0171
Epoch 7  	Train Acc: 0.3254	Train loss: 0.0146	Test Acc: 0.2890	Test loss: 0.0168
Epoch 8  	Train Acc: 0.3859	Train loss: 0.0136	Test Acc: 0.2612	Test loss: 0.0166
Epoch 9  	Train Acc: 0.3789	Train loss: 0.0137	Test Acc: 0.2171	Test loss: 0.0165
Epoch 10 	Train Acc: 0.3781	Train loss: 0.0134	Test Acc: 0.2764	Test loss: 0.0162
Epoch 11 	Train Acc: 0.4041	Train loss: 0.0160	Test Acc: 0.2460	Test loss: 0.0163
Epoch 12 	Train Acc: 0.3893	Train loss: 0.0167	Test Acc: 0.2218	Test loss: 0.0162
Epoch 13 	Train Acc: 0.4124	Train loss: 0.0139	Test Acc: 0.2442	Test loss: 0.0170
Epoch 14 	Train Acc: 0.3458	Train loss: 0.0176	Test Acc: 0.2665	Test loss: 0.0156
