seed: 4, algorithm: FedSGD, optimizer: SGD, momentum: 0.9, weight_decay: 0.0005, lr_scheduler: MultiStepLR, milestones: [0.6, 0.8], batch_size: 128, learning_rate: 0.05, model: mycnn, dataset: CIFAR10, distribution: non-iid, im_iid_gamma: 0.01, tail_cls_from: 4, dirichlet_alpha: 0.8, cache_partition: False, num_workers: 0, record_time: False, gpu_idx: [1], my_exp: True, epochs: 200, predict_epochs: 5, predict_alpha: 0.8, hyper_e: 50, show_sign_flip: False, other_show_3d: False, only_show_last_epoch: True, npy_file_name: 3.3.2noiid, npy_prefix: None, num_clients: 20, num_adv: 4, attack: NoAttack, defense: Mean, attack_params: None, defense_params: None, benchmark: False, num_training_sample: 50000, num_channels: 3, num_classes: 10, mean: (0.4914, 0.4822, 0.4465), std: (0.247, 0.243, 0.261), device: cuda:1, output: ./logs/FedSGD/CIFAR10_mycnn/non-iid/NoAttack_Mean/200_20_4_0.05_2025-03-20_15-12-06.txt

Started on Thu Mar 20 15:12:06 2025
Generating new indices
Doing non-iid partition
dirichlet alpha: 0.8
non-iid partition finished
Data partitioned
Clients and server are initialized
Starting Training...
Epoch 0  	Train Acc: 0.1133	Train loss: 0.0181	Test Acc: 0.1158	Test loss: 0.0182
Epoch 1  	Train Acc: 0.1512	Train loss: 0.0176	Test Acc: 0.1664	Test loss: 0.0181
Epoch 2  	Train Acc: 0.2398	Train loss: 0.0171	Test Acc: 0.2349	Test loss: 0.0180
Epoch 3  	Train Acc: 0.2926	Train loss: 0.0163	Test Acc: 0.2726	Test loss: 0.0179
Epoch 4  	Train Acc: 0.3258	Train loss: 0.0155	Test Acc: 0.2975	Test loss: 0.0177
Epoch 5  	Train Acc: 0.3379	Train loss: 0.0151	Test Acc: 0.3129	Test loss: 0.0174
Epoch 6  	Train Acc: 0.3473	Train loss: 0.0145	Test Acc: 0.3215	Test loss: 0.0171
Epoch 7  	Train Acc: 0.3586	Train loss: 0.0142	Test Acc: 0.2693	Test loss: 0.0168
Epoch 8  	Train Acc: 0.3805	Train loss: 0.0136	Test Acc: 0.2691	Test loss: 0.0166
Epoch 9  	Train Acc: 0.3910	Train loss: 0.0135	Test Acc: 0.2543	Test loss: 0.0164
Epoch 10 	Train Acc: 0.4047	Train loss: 0.0129	Test Acc: 0.2027	Test loss: 0.0164
Epoch 11 	Train Acc: 0.3816	Train loss: 0.0133	Test Acc: 0.2025	Test loss: 0.0166
Epoch 12 	Train Acc: 0.3531	Train loss: 0.0138	Test Acc: 0.2196	Test loss: 0.0165
Epoch 13 	Train Acc: 0.3814	Train loss: 0.0269	Test Acc: 0.2232	Test loss: 0.0167
Epoch 14 	Train Acc: 0.3424	Train loss: 0.0155	Test Acc: 0.2209	Test loss: 0.0174
Epoch 15 	Train Acc: 0.3445	Train loss: 0.0203	Test Acc: 0.2197	Test loss: 0.0172
Epoch 16 	Train Acc: 0.3185	Train loss: 0.0220	Test Acc: 0.2210	Test loss: 0.0165
Epoch 17 	Train Acc: 0.3726	Train loss: 0.0160	Test Acc: 0.3707	Test loss: 0.0141
Epoch 18 	Train Acc: 0.4100	Train loss: 0.0280	Test Acc: 0.3314	Test loss: 0.0143
Epoch 19 	Train Acc: 0.3637	Train loss: 0.0139	Test Acc: 0.3995	Test loss: 0.0138
Epoch 20 	Train Acc: 0.4088	Train loss: 0.0136	Test Acc: 0.3998	Test loss: 0.0137
Epoch 21 	Train Acc: 0.4113	Train loss: 0.0132	Test Acc: 0.3824	Test loss: 0.0136
Epoch 22 	Train Acc: 0.4027	Train loss: 0.0170	Test Acc: 0.4124	Test loss: 0.0130
Epoch 23 	Train Acc: 0.4160	Train loss: 0.0127	Test Acc: 0.4299	Test loss: 0.0124
Epoch 24 	Train Acc: 0.4254	Train loss: 0.0124	Test Acc: 0.4283	Test loss: 0.0123
Epoch 25 	Train Acc: 0.4311	Train loss: 0.0122	Test Acc: 0.4422	Test loss: 0.0120
Epoch 26 	Train Acc: 0.4646	Train loss: 0.0155	Test Acc: 0.4310	Test loss: 0.0121
Epoch 27 	Train Acc: 0.4654	Train loss: 0.0209	Test Acc: 0.4738	Test loss: 0.0114
Epoch 28 	Train Acc: 0.4684	Train loss: 0.0115	Test Acc: 0.4866	Test loss: 0.0113
Epoch 29 	Train Acc: 0.4749	Train loss: 0.0126	Test Acc: 0.4343	Test loss: 0.0123
Epoch 30 	Train Acc: 0.4656	Train loss: 0.0115	Test Acc: 0.4522	Test loss: 0.0118
Epoch 31 	Train Acc: 0.4923	Train loss: 0.0124	Test Acc: 0.4357	Test loss: 0.0118
Epoch 32 	Train Acc: 0.4949	Train loss: 0.0112	Test Acc: 0.4170	Test loss: 0.0126
Epoch 33 	Train Acc: 0.4883	Train loss: 0.0143	Test Acc: 0.4737	Test loss: 0.0117
Epoch 34 	Train Acc: 0.4859	Train loss: 0.0111	Test Acc: 0.4536	Test loss: 0.0121
Epoch 35 	Train Acc: 0.4736	Train loss: 0.0132	Test Acc: 0.4900	Test loss: 0.0112
Epoch 36 	Train Acc: 0.5129	Train loss: 0.0105	Test Acc: 0.5027	Test loss: 0.0107
Epoch 37 	Train Acc: 0.4847	Train loss: 0.0202	Test Acc: 0.4492	Test loss: 0.0120
Epoch 38 	Train Acc: 0.4777	Train loss: 0.0113	Test Acc: 0.5034	Test loss: 0.0109
Epoch 39 	Train Acc: 0.4930	Train loss: 0.0106	Test Acc: 0.5359	Test loss: 0.0103
Epoch 40 	Train Acc: 0.5195	Train loss: 0.0105	Test Acc: 0.5324	Test loss: 0.0103
Epoch 41 	Train Acc: 0.5185	Train loss: 0.0192	Test Acc: 0.4666	Test loss: 0.0117
Epoch 42 	Train Acc: 0.5156	Train loss: 0.0106	Test Acc: 0.5466	Test loss: 0.0100
Epoch 43 	Train Acc: 0.5367	Train loss: 0.0100	Test Acc: 0.5433	Test loss: 0.0101
Epoch 44 	Train Acc: 0.5503	Train loss: 0.0107	Test Acc: 0.5487	Test loss: 0.0100
Epoch 45 	Train Acc: 0.5519	Train loss: 0.0124	Test Acc: 0.5552	Test loss: 0.0098
Epoch 46 	Train Acc: 0.5566	Train loss: 0.0095	Test Acc: 0.5471	Test loss: 0.0098
Epoch 47 	Train Acc: 0.5698	Train loss: 0.0114	Test Acc: 0.5679	Test loss: 0.0094
Epoch 48 	Train Acc: 0.5883	Train loss: 0.0093	Test Acc: 0.5579	Test loss: 0.0096
Epoch 49 	Train Acc: 0.5852	Train loss: 0.0092	Test Acc: 0.5628	Test loss: 0.0095
Epoch 50 	Train Acc: 0.5679	Train loss: 0.0107	Test Acc: 0.5608	Test loss: 0.0095
Epoch 51 	Train Acc: 0.5812	Train loss: 0.0093	Test Acc: 0.5746	Test loss: 0.0094
Epoch 52 	Train Acc: 0.5961	Train loss: 0.0089	Test Acc: 0.5748	Test loss: 0.0093
Epoch 53 	Train Acc: 0.5785	Train loss: 0.0162	Test Acc: 0.5607	Test loss: 0.0096
Epoch 54 	Train Acc: 0.5883	Train loss: 0.0093	Test Acc: 0.5769	Test loss: 0.0093
Epoch 55 	Train Acc: 0.6079	Train loss: 0.0148	Test Acc: 0.5979	Test loss: 0.0090
Epoch 56 	Train Acc: 0.6392	Train loss: 0.0167	Test Acc: 0.5827	Test loss: 0.0092
Epoch 57 	Train Acc: 0.6055	Train loss: 0.0087	Test Acc: 0.5747	Test loss: 0.0092
Epoch 58 	Train Acc: 0.5875	Train loss: 0.0088	Test Acc: 0.6029	Test loss: 0.0088
Epoch 59 	Train Acc: 0.6037	Train loss: 0.0096	Test Acc: 0.5953	Test loss: 0.0089
Epoch 60 	Train Acc: 0.6070	Train loss: 0.0084	Test Acc: 0.5752	Test loss: 0.0093
Epoch 61 	Train Acc: 0.6191	Train loss: 0.0084	Test Acc: 0.5875	Test loss: 0.0090
Epoch 62 	Train Acc: 0.6050	Train loss: 0.0087	Test Acc: 0.6040	Test loss: 0.0086
Epoch 63 	Train Acc: 0.6154	Train loss: 0.0094	Test Acc: 0.6046	Test loss: 0.0087
Epoch 64 	Train Acc: 0.6309	Train loss: 0.0083	Test Acc: 0.5674	Test loss: 0.0095
Epoch 65 	Train Acc: 0.6008	Train loss: 0.0087	Test Acc: 0.5785	Test loss: 0.0094
Epoch 66 	Train Acc: 0.6246	Train loss: 0.0083	Test Acc: 0.6158	Test loss: 0.0085
Epoch 67 	Train Acc: 0.6233	Train loss: 0.0101	Test Acc: 0.5936	Test loss: 0.0091
Epoch 68 	Train Acc: 0.6128	Train loss: 0.0108	Test Acc: 0.6208	Test loss: 0.0084
Epoch 69 	Train Acc: 0.6395	Train loss: 0.0142	Test Acc: 0.6087	Test loss: 0.0085
Epoch 70 	Train Acc: 0.6418	Train loss: 0.0081	Test Acc: 0.6113	Test loss: 0.0085
Epoch 71 	Train Acc: 0.6392	Train loss: 0.0089	Test Acc: 0.6225	Test loss: 0.0085
Epoch 72 	Train Acc: 0.6496	Train loss: 0.0079	Test Acc: 0.6293	Test loss: 0.0083
Epoch 73 	Train Acc: 0.6461	Train loss: 0.0078	Test Acc: 0.6274	Test loss: 0.0082
Epoch 74 	Train Acc: 0.6480	Train loss: 0.0085	Test Acc: 0.6469	Test loss: 0.0078
Epoch 75 	Train Acc: 0.6655	Train loss: 0.0193	Test Acc: 0.6420	Test loss: 0.0079
Epoch 76 	Train Acc: 0.6766	Train loss: 0.0075	Test Acc: 0.6287	Test loss: 0.0082
Epoch 77 	Train Acc: 0.6476	Train loss: 0.0078	Test Acc: 0.6280	Test loss: 0.0083
Epoch 78 	Train Acc: 0.6742	Train loss: 0.0075	Test Acc: 0.6279	Test loss: 0.0082
Epoch 79 	Train Acc: 0.6609	Train loss: 0.0081	Test Acc: 0.6458	Test loss: 0.0079
Epoch 80 	Train Acc: 0.6663	Train loss: 0.0103	Test Acc: 0.6560	Test loss: 0.0077
Epoch 81 	Train Acc: 0.6770	Train loss: 0.0073	Test Acc: 0.6592	Test loss: 0.0076
Epoch 82 	Train Acc: 0.6859	Train loss: 0.0071	Test Acc: 0.6486	Test loss: 0.0078
Epoch 83 	Train Acc: 0.6606	Train loss: 0.0146	Test Acc: 0.6536	Test loss: 0.0078
Epoch 84 	Train Acc: 0.6792	Train loss: 0.0090	Test Acc: 0.6597	Test loss: 0.0076
Epoch 85 	Train Acc: 0.6672	Train loss: 0.0075	Test Acc: 0.6539	Test loss: 0.0077
Epoch 86 	Train Acc: 0.6762	Train loss: 0.0070	Test Acc: 0.6538	Test loss: 0.0077
Epoch 87 	Train Acc: 0.6746	Train loss: 0.0071	Test Acc: 0.6547	Test loss: 0.0078
Epoch 88 	Train Acc: 0.6707	Train loss: 0.0075	Test Acc: 0.6545	Test loss: 0.0078
Epoch 89 	Train Acc: 0.6742	Train loss: 0.0087	Test Acc: 0.6482	Test loss: 0.0078
Epoch 90 	Train Acc: 0.6770	Train loss: 0.0072	Test Acc: 0.6435	Test loss: 0.0079
Epoch 91 	Train Acc: 0.6988	Train loss: 0.0092	Test Acc: 0.6301	Test loss: 0.0082
Epoch 92 	Train Acc: 0.6691	Train loss: 0.0072	Test Acc: 0.6680	Test loss: 0.0074
Epoch 93 	Train Acc: 0.6961	Train loss: 0.0069	Test Acc: 0.6295	Test loss: 0.0083
Epoch 94 	Train Acc: 0.6878	Train loss: 0.0129	Test Acc: 0.6713	Test loss: 0.0074
Epoch 95 	Train Acc: 0.7055	Train loss: 0.0073	Test Acc: 0.6698	Test loss: 0.0074
Epoch 96 	Train Acc: 0.6770	Train loss: 0.0070	Test Acc: 0.6750	Test loss: 0.0072
Epoch 97 	Train Acc: 0.6984	Train loss: 0.0139	Test Acc: 0.6741	Test loss: 0.0073
Epoch 98 	Train Acc: 0.6941	Train loss: 0.0069	Test Acc: 0.6393	Test loss: 0.0082
Epoch 99 	Train Acc: 0.6918	Train loss: 0.0069	Test Acc: 0.6528	Test loss: 0.0080
Epoch 100	Train Acc: 0.7039	Train loss: 0.0066	Test Acc: 0.6729	Test loss: 0.0074
Epoch 101	Train Acc: 0.7026	Train loss: 0.0079	Test Acc: 0.6480	Test loss: 0.0080
Epoch 102	Train Acc: 0.6867	Train loss: 0.0069	Test Acc: 0.6540	Test loss: 0.0078
Epoch 103	Train Acc: 0.6948	Train loss: 0.0069	Test Acc: 0.6070	Test loss: 0.0088
Epoch 104	Train Acc: 0.6991	Train loss: 0.0075	Test Acc: 0.6761	Test loss: 0.0072
Epoch 105	Train Acc: 0.7004	Train loss: 0.0063	Test Acc: 0.6626	Test loss: 0.0075
Epoch 106	Train Acc: 0.7113	Train loss: 0.0065	Test Acc: 0.6748	Test loss: 0.0073
Epoch 107	Train Acc: 0.7056	Train loss: 0.0092	Test Acc: 0.6378	Test loss: 0.0083
Epoch 108	Train Acc: 0.7012	Train loss: 0.0069	Test Acc: 0.6512	Test loss: 0.0079
Epoch 109	Train Acc: 0.6930	Train loss: 0.0067	Test Acc: 0.6511	Test loss: 0.0078
Epoch 110	Train Acc: 0.7090	Train loss: 0.0066	Test Acc: 0.6827	Test loss: 0.0071
Epoch 111	Train Acc: 0.7085	Train loss: 0.0145	Test Acc: 0.6714	Test loss: 0.0074
Epoch 112	Train Acc: 0.6988	Train loss: 0.0066	Test Acc: 0.6510	Test loss: 0.0078
Epoch 113	Train Acc: 0.7491	Train loss: 0.0088	Test Acc: 0.6614	Test loss: 0.0076
Epoch 114	Train Acc: 0.7043	Train loss: 0.0089	Test Acc: 0.6588	Test loss: 0.0077
Epoch 115	Train Acc: 0.7176	Train loss: 0.0065	Test Acc: 0.6553	Test loss: 0.0079
Epoch 116	Train Acc: 0.7301	Train loss: 0.0059	Test Acc: 0.6506	Test loss: 0.0079
Epoch 117	Train Acc: 0.7102	Train loss: 0.0066	Test Acc: 0.6777	Test loss: 0.0072
Epoch 118	Train Acc: 0.7039	Train loss: 0.0081	Test Acc: 0.6763	Test loss: 0.0073
Epoch 119	Train Acc: 0.6903	Train loss: 0.0071	Test Acc: 0.6799	Test loss: 0.0072
Epoch 120	Train Acc: 0.7090	Train loss: 0.0063	Test Acc: 0.7000	Test loss: 0.0068
Epoch 121	Train Acc: 0.7367	Train loss: 0.0058	Test Acc: 0.6863	Test loss: 0.0071
Epoch 122	Train Acc: 0.7414	Train loss: 0.0059	Test Acc: 0.6814	Test loss: 0.0072
Epoch 123	Train Acc: 0.7273	Train loss: 0.0061	Test Acc: 0.6973	Test loss: 0.0067
Epoch 124	Train Acc: 0.7234	Train loss: 0.0061	Test Acc: 0.7030	Test loss: 0.0066
Epoch 125	Train Acc: 0.7295	Train loss: 0.0103	Test Acc: 0.7052	Test loss: 0.0067
Epoch 126	Train Acc: 0.7402	Train loss: 0.0058	Test Acc: 0.6960	Test loss: 0.0069
Epoch 127	Train Acc: 0.7425	Train loss: 0.0065	Test Acc: 0.7090	Test loss: 0.0067
Epoch 128	Train Acc: 0.7398	Train loss: 0.0059	Test Acc: 0.7100	Test loss: 0.0066
Epoch 129	Train Acc: 0.7443	Train loss: 0.0057	Test Acc: 0.7072	Test loss: 0.0066
Epoch 130	Train Acc: 0.7410	Train loss: 0.0059	Test Acc: 0.7060	Test loss: 0.0066
Epoch 131	Train Acc: 0.7379	Train loss: 0.0058	Test Acc: 0.7061	Test loss: 0.0066
Epoch 132	Train Acc: 0.7451	Train loss: 0.0144	Test Acc: 0.7055	Test loss: 0.0068
Epoch 133	Train Acc: 0.7492	Train loss: 0.0058	Test Acc: 0.7042	Test loss: 0.0068
Epoch 134	Train Acc: 0.7376	Train loss: 0.0089	Test Acc: 0.7066	Test loss: 0.0067
Epoch 135	Train Acc: 0.7487	Train loss: 0.0071	Test Acc: 0.7046	Test loss: 0.0067
Epoch 136	Train Acc: 0.7613	Train loss: 0.0055	Test Acc: 0.7072	Test loss: 0.0066
Epoch 137	Train Acc: 0.7589	Train loss: 0.0075	Test Acc: 0.7054	Test loss: 0.0067
Epoch 138	Train Acc: 0.7402	Train loss: 0.0058	Test Acc: 0.7162	Test loss: 0.0065
Epoch 139	Train Acc: 0.7740	Train loss: 0.0087	Test Acc: 0.7146	Test loss: 0.0065
Epoch 140	Train Acc: 0.7707	Train loss: 0.0053	Test Acc: 0.7125	Test loss: 0.0066
Epoch 141	Train Acc: 0.7512	Train loss: 0.0055	Test Acc: 0.7131	Test loss: 0.0065
Epoch 142	Train Acc: 0.7531	Train loss: 0.0055	Test Acc: 0.7140	Test loss: 0.0065
Epoch 143	Train Acc: 0.7674	Train loss: 0.0068	Test Acc: 0.7065	Test loss: 0.0067
Epoch 144	Train Acc: 0.7539	Train loss: 0.0057	Test Acc: 0.7067	Test loss: 0.0067
Epoch 145	Train Acc: 0.7598	Train loss: 0.0055	Test Acc: 0.7141	Test loss: 0.0066
Epoch 146	Train Acc: 0.7654	Train loss: 0.0055	Test Acc: 0.7068	Test loss: 0.0066
Epoch 147	Train Acc: 0.7621	Train loss: 0.0053	Test Acc: 0.7156	Test loss: 0.0065
Epoch 148	Train Acc: 0.7699	Train loss: 0.0052	Test Acc: 0.7138	Test loss: 0.0065
Epoch 149	Train Acc: 0.7583	Train loss: 0.0058	Test Acc: 0.7195	Test loss: 0.0063
Epoch 150	Train Acc: 0.7676	Train loss: 0.0054	Test Acc: 0.7075	Test loss: 0.0065
Epoch 151	Train Acc: 0.7499	Train loss: 0.0136	Test Acc: 0.7227	Test loss: 0.0063
Epoch 152	Train Acc: 0.7701	Train loss: 0.0067	Test Acc: 0.7142	Test loss: 0.0065
Epoch 153	Train Acc: 0.7739	Train loss: 0.0083	Test Acc: 0.7254	Test loss: 0.0063
Epoch 154	Train Acc: 0.7594	Train loss: 0.0053	Test Acc: 0.7123	Test loss: 0.0065
Epoch 155	Train Acc: 0.7748	Train loss: 0.0053	Test Acc: 0.7047	Test loss: 0.0067
Epoch 156	Train Acc: 0.7625	Train loss: 0.0053	Test Acc: 0.7081	Test loss: 0.0067
Epoch 157	Train Acc: 0.7594	Train loss: 0.0054	Test Acc: 0.7251	Test loss: 0.0063
Epoch 158	Train Acc: 0.7668	Train loss: 0.0051	Test Acc: 0.7193	Test loss: 0.0064
Epoch 159	Train Acc: 0.7653	Train loss: 0.0063	Test Acc: 0.7243	Test loss: 0.0062
Epoch 160	Train Acc: 0.7602	Train loss: 0.0073	Test Acc: 0.7287	Test loss: 0.0061
Epoch 161	Train Acc: 0.7674	Train loss: 0.0106	Test Acc: 0.7291	Test loss: 0.0061
Epoch 162	Train Acc: 0.7930	Train loss: 0.0048	Test Acc: 0.7211	Test loss: 0.0063
Epoch 163	Train Acc: 0.7762	Train loss: 0.0050	Test Acc: 0.7217	Test loss: 0.0063
Epoch 164	Train Acc: 0.7927	Train loss: 0.0051	Test Acc: 0.7277	Test loss: 0.0061
Epoch 165	Train Acc: 0.7961	Train loss: 0.0048	Test Acc: 0.7298	Test loss: 0.0061
Epoch 166	Train Acc: 0.7836	Train loss: 0.0049	Test Acc: 0.7324	Test loss: 0.0061
Epoch 167	Train Acc: 0.7964	Train loss: 0.0086	Test Acc: 0.7259	Test loss: 0.0062
Epoch 168	Train Acc: 0.7801	Train loss: 0.0050	Test Acc: 0.7280	Test loss: 0.0061
Epoch 169	Train Acc: 0.7978	Train loss: 0.0058	Test Acc: 0.7370	Test loss: 0.0061
Epoch 170	Train Acc: 0.7897	Train loss: 0.0193	Test Acc: 0.7297	Test loss: 0.0062
Epoch 171	Train Acc: 0.7984	Train loss: 0.0047	Test Acc: 0.7268	Test loss: 0.0062
Epoch 172	Train Acc: 0.7832	Train loss: 0.0050	Test Acc: 0.7312	Test loss: 0.0061
Epoch 173	Train Acc: 0.7926	Train loss: 0.0048	Test Acc: 0.7327	Test loss: 0.0061
Epoch 174	Train Acc: 0.8102	Train loss: 0.0047	Test Acc: 0.7270	Test loss: 0.0062
Epoch 175	Train Acc: 0.7965	Train loss: 0.0053	Test Acc: 0.7269	Test loss: 0.0062
Epoch 176	Train Acc: 0.7898	Train loss: 0.0049	Test Acc: 0.7304	Test loss: 0.0061
Epoch 177	Train Acc: 0.7852	Train loss: 0.0048	Test Acc: 0.7359	Test loss: 0.0060
Epoch 178	Train Acc: 0.7918	Train loss: 0.0048	Test Acc: 0.7309	Test loss: 0.0060
Epoch 179	Train Acc: 0.7979	Train loss: 0.0059	Test Acc: 0.7290	Test loss: 0.0061
Epoch 180	Train Acc: 0.8051	Train loss: 0.0046	Test Acc: 0.7254	Test loss: 0.0062
Epoch 181	Train Acc: 0.8057	Train loss: 0.0073	Test Acc: 0.7250	Test loss: 0.0062
Epoch 182	Train Acc: 0.7980	Train loss: 0.0046	Test Acc: 0.7300	Test loss: 0.0062
Epoch 183	Train Acc: 0.7811	Train loss: 0.0074	Test Acc: 0.7334	Test loss: 0.0061
Epoch 184	Train Acc: 0.7895	Train loss: 0.0048	Test Acc: 0.7323	Test loss: 0.0061
Epoch 185	Train Acc: 0.8055	Train loss: 0.0046	Test Acc: 0.7323	Test loss: 0.0062
Epoch 186	Train Acc: 0.7984	Train loss: 0.0057	Test Acc: 0.7323	Test loss: 0.0061
Epoch 187	Train Acc: 0.8004	Train loss: 0.0046	Test Acc: 0.7293	Test loss: 0.0062
Epoch 188	Train Acc: 0.7937	Train loss: 0.0074	Test Acc: 0.7304	Test loss: 0.0061
Epoch 189	Train Acc: 0.8027	Train loss: 0.0085	Test Acc: 0.7367	Test loss: 0.0060
Epoch 190	Train Acc: 0.7988	Train loss: 0.0047	Test Acc: 0.7338	Test loss: 0.0060
Epoch 191	Train Acc: 0.7917	Train loss: 0.0054	Test Acc: 0.7359	Test loss: 0.0060
Epoch 192	Train Acc: 0.8078	Train loss: 0.0044	Test Acc: 0.7381	Test loss: 0.0059
Epoch 193	Train Acc: 0.7984	Train loss: 0.0046	Test Acc: 0.7375	Test loss: 0.0060
Epoch 194	Train Acc: 0.8000	Train loss: 0.0050	Test Acc: 0.7348	Test loss: 0.0060
Epoch 195	Train Acc: 0.7948	Train loss: 0.0100	Test Acc: 0.7290	Test loss: 0.0062
Epoch 196	Train Acc: 0.8000	Train loss: 0.0045	Test Acc: 0.7271	Test loss: 0.0062
Epoch 197	Train Acc: 0.8065	Train loss: 0.0048	Test Acc: 0.7349	Test loss: 0.0060
Epoch 198	Train Acc: 0.8020	Train loss: 0.0046	Test Acc: 0.7376	Test loss: 0.0060
Epoch 199	Train Acc: 0.7961	Train loss: 0.0047	Test Acc: 0.7382	Test loss: 0.0060
Training finished on Thu Mar 20 15:36:41 2025 using 24 minutes and 35 seconds in total.
