seed: 4, algorithm: FedSGD, optimizer: SGD, momentum: 0.9, weight_decay: 0.0005, lr_scheduler: MultiStepLR, milestones: [0.6, 0.8], batch_size: 128, learning_rate: 0.05, model: mycnn, dataset: CIFAR10, distribution: non-iid, im_iid_gamma: 0.01, tail_cls_from: 4, dirichlet_alpha: 0.5, cache_partition: False, num_workers: 0, record_time: False, gpu_idx: [1], my_exp: True, epochs: 200, predict_epochs: 5, predict_alpha: 0.8, hyper_e: 50, show_sign_flip: False, other_show_3d: False, only_show_last_epoch: True, npy_file_name: 3.3.2noiid, npy_prefix: None, num_clients: 20, num_adv: 4, attack: NoAttack, defense: NormClipping, attack_params: None, defense_params: {'weakDP': True, 'norm_threshold': 3, 'noise_mean': 0, 'noise_std': 0.002}, benchmark: False, num_training_sample: 50000, num_channels: 3, num_classes: 10, mean: (0.4914, 0.4822, 0.4465), std: (0.247, 0.243, 0.261), device: cuda:1, output: ./logs/FedSGD/CIFAR10_mycnn/non-iid/NoAttack_NormClipping/200_20_4_0.05_2025-03-20_14-44-48.txt

Started on Thu Mar 20 14:44:48 2025
Generating new indices
Doing non-iid partition
dirichlet alpha: 0.5
non-iid partition finished
Data partitioned
Clients and server are initialized
Starting Training...
Epoch 0  	Train Acc: 0.1102	Train loss: 0.0181	Test Acc: 0.1267	Test loss: 0.0182
Epoch 1  	Train Acc: 0.1324	Train loss: 0.0175	Test Acc: 0.1091	Test loss: 0.0181
Epoch 2  	Train Acc: 0.2160	Train loss: 0.0172	Test Acc: 0.2116	Test loss: 0.0180
Epoch 3  	Train Acc: 0.2695	Train loss: 0.0164	Test Acc: 0.2767	Test loss: 0.0179
Epoch 4  	Train Acc: 0.3152	Train loss: 0.0156	Test Acc: 0.2966	Test loss: 0.0177
Epoch 5  	Train Acc: 0.3301	Train loss: 0.0151	Test Acc: 0.3218	Test loss: 0.0174
Epoch 6  	Train Acc: 0.3281	Train loss: 0.0156	Test Acc: 0.2795	Test loss: 0.0171
Epoch 7  	Train Acc: 0.3243	Train loss: 0.0146	Test Acc: 0.2908	Test loss: 0.0168
Epoch 8  	Train Acc: 0.3914	Train loss: 0.0136	Test Acc: 0.2614	Test loss: 0.0166
Epoch 9  	Train Acc: 0.3781	Train loss: 0.0137	Test Acc: 0.2159	Test loss: 0.0164
Epoch 10 	Train Acc: 0.3711	Train loss: 0.0135	Test Acc: 0.2768	Test loss: 0.0162
Epoch 11 	Train Acc: 0.4099	Train loss: 0.0161	Test Acc: 0.2349	Test loss: 0.0162
Epoch 12 	Train Acc: 0.3957	Train loss: 0.0167	Test Acc: 0.2265	Test loss: 0.0164
Epoch 13 	Train Acc: 0.4023	Train loss: 0.0137	Test Acc: 0.2213	Test loss: 0.0166
Epoch 14 	Train Acc: 0.3936	Train loss: 0.0162	Test Acc: 0.2539	Test loss: 0.0161
Epoch 15 	Train Acc: 0.4405	Train loss: 0.0168	Test Acc: 0.2497	Test loss: 0.0164
Epoch 16 	Train Acc: 0.4103	Train loss: 0.0135	Test Acc: 0.2231	Test loss: 0.0161
Epoch 17 	Train Acc: 0.4164	Train loss: 0.0127	Test Acc: 0.2703	Test loss: 0.0158
Epoch 18 	Train Acc: 0.4062	Train loss: 0.1510	Test Acc: 0.2932	Test loss: 0.0149
Epoch 19 	Train Acc: 0.4594	Train loss: 0.0118	Test Acc: 0.3606	Test loss: 0.0139
Epoch 20 	Train Acc: 0.4367	Train loss: 0.0128	Test Acc: 0.3725	Test loss: 0.0137
Epoch 21 	Train Acc: 0.4748	Train loss: 0.0131	Test Acc: 0.3803	Test loss: 0.0135
Epoch 22 	Train Acc: 0.4754	Train loss: 0.0114	Test Acc: 0.4199	Test loss: 0.0126
Epoch 23 	Train Acc: 0.4878	Train loss: 0.0188	Test Acc: 0.4436	Test loss: 0.0124
Epoch 24 	Train Acc: 0.4713	Train loss: 0.0117	Test Acc: 0.4651	Test loss: 0.0122
Epoch 25 	Train Acc: 0.4918	Train loss: 0.0163	Test Acc: 0.4840	Test loss: 0.0118
Epoch 26 	Train Acc: 0.4991	Train loss: 0.0110	Test Acc: 0.4412	Test loss: 0.0122
Epoch 27 	Train Acc: 0.5230	Train loss: 0.0112	Test Acc: 0.4373	Test loss: 0.0123
Epoch 28 	Train Acc: 0.5262	Train loss: 0.0106	Test Acc: 0.4610	Test loss: 0.0117
Epoch 29 	Train Acc: 0.5307	Train loss: 0.0129	Test Acc: 0.4715	Test loss: 0.0113
Epoch 30 	Train Acc: 0.5343	Train loss: 0.0104	Test Acc: 0.4239	Test loss: 0.0123
Epoch 31 	Train Acc: 0.5507	Train loss: 0.0312	Test Acc: 0.4901	Test loss: 0.0112
Epoch 32 	Train Acc: 0.5352	Train loss: 0.0103	Test Acc: 0.5278	Test loss: 0.0106
Epoch 33 	Train Acc: 0.5576	Train loss: 0.0103	Test Acc: 0.5026	Test loss: 0.0109
Epoch 34 	Train Acc: 0.5344	Train loss: 0.0104	Test Acc: 0.5046	Test loss: 0.0106
Epoch 35 	Train Acc: 0.5402	Train loss: 0.0129	Test Acc: 0.4978	Test loss: 0.0110
Epoch 36 	Train Acc: 0.5668	Train loss: 0.0097	Test Acc: 0.5187	Test loss: 0.0109
Epoch 37 	Train Acc: 0.5973	Train loss: 0.0457	Test Acc: 0.5335	Test loss: 0.0101
Epoch 38 	Train Acc: 0.5550	Train loss: 0.0127	Test Acc: 0.4923	Test loss: 0.0111
Epoch 39 	Train Acc: 0.5718	Train loss: 0.0093	Test Acc: 0.4522	Test loss: 0.0122
Epoch 40 	Train Acc: 0.5504	Train loss: 0.0099	Test Acc: 0.5216	Test loss: 0.0103
Epoch 41 	Train Acc: 0.5479	Train loss: 0.0106	Test Acc: 0.5223	Test loss: 0.0104
Epoch 42 	Train Acc: 0.5563	Train loss: 0.0097	Test Acc: 0.5458	Test loss: 0.0099
Epoch 43 	Train Acc: 0.5700	Train loss: 0.0111	Test Acc: 0.5081	Test loss: 0.0110
Epoch 44 	Train Acc: 0.5699	Train loss: 0.0111	Test Acc: 0.5458	Test loss: 0.0101
Epoch 45 	Train Acc: 0.5953	Train loss: 0.0090	Test Acc: 0.5252	Test loss: 0.0105
Epoch 46 	Train Acc: 0.6027	Train loss: 0.0090	Test Acc: 0.5721	Test loss: 0.0095
Epoch 47 	Train Acc: 0.5803	Train loss: 0.0169	Test Acc: 0.5897	Test loss: 0.0091
Epoch 48 	Train Acc: 0.6059	Train loss: 0.0090	Test Acc: 0.5055	Test loss: 0.0112
