seed: 4, algorithm: FedSGD, optimizer: SGD, momentum: 0.9, weight_decay: 0.0005, lr_scheduler: MultiStepLR, milestones: [0.6, 0.8], batch_size: 128, learning_rate: 0.05, model: mycnn, dataset: CIFAR10, distribution: non-iid, im_iid_gamma: 0.01, tail_cls_from: 4, dirichlet_alpha: 0.3, cache_partition: False, num_workers: 0, record_time: False, gpu_idx: [1], my_exp: True, epochs: 200, predict_epochs: 5, predict_alpha: 0.8, hyper_e: 50, show_sign_flip: False, other_show_3d: False, only_show_last_epoch: True, npy_file_name: 3.3.2noiid, npy_prefix: None, num_clients: 20, num_adv: 4, attack: NoAttack, defense: TrimmedMean, attack_params: None, defense_params: {'beta': 0.1}, benchmark: False, num_training_sample: 50000, num_channels: 3, num_classes: 10, mean: (0.4914, 0.4822, 0.4465), std: (0.247, 0.243, 0.261), device: cuda:1, output: ./logs/FedSGD/CIFAR10_mycnn/non-iid/NoAttack_TrimmedMean/200_20_4_0.05_2025-03-20_14-12-29.txt

Started on Thu Mar 20 14:12:29 2025
Generating new indices
Doing non-iid partition
dirichlet alpha: 0.3
non-iid partition finished
Data partitioned
Clients and server are initialized
Starting Training...
Epoch 0  	Train Acc: 0.1164	Train loss: 0.0180	Test Acc: 0.1278	Test loss: 0.0182
Epoch 1  	Train Acc: 0.1621	Train loss: 0.0176	Test Acc: 0.1120	Test loss: 0.0181
Epoch 2  	Train Acc: 0.1918	Train loss: 0.0171	Test Acc: 0.2019	Test loss: 0.0180
Epoch 3  	Train Acc: 0.2895	Train loss: 0.0165	Test Acc: 0.2188	Test loss: 0.0179
Epoch 4  	Train Acc: 0.2816	Train loss: 0.0161	Test Acc: 0.2556	Test loss: 0.0178
Epoch 5  	Train Acc: 0.2965	Train loss: 0.0156	Test Acc: 0.2711	Test loss: 0.0176
Epoch 6  	Train Acc: 0.3102	Train loss: 0.1104	Test Acc: 0.3063	Test loss: 0.0173
Epoch 7  	Train Acc: 0.3235	Train loss: 0.0166	Test Acc: 0.2447	Test loss: 0.0171
Epoch 8  	Train Acc: 0.3312	Train loss: 0.0145	Test Acc: 0.2208	Test loss: 0.0169
Epoch 9  	Train Acc: 0.3359	Train loss: 0.0147	Test Acc: 0.2460	Test loss: 0.0172
Epoch 10 	Train Acc: 0.2939	Train loss: 0.0173	Test Acc: 0.2497	Test loss: 0.0177
Epoch 11 	Train Acc: 0.2856	Train loss: 0.0218	Test Acc: 0.2215	Test loss: 0.0202
