seed: 4, algorithm: FedSGD, optimizer: SGD, momentum: 0.9, weight_decay: 0.0005, batch_size: 64, learning_rate: 0.05, model: resnet10, dataset: CIFAR10, distribution: iid, im_iid_gamma: 0.01, tail_cls_from: 4, dirichlet_alpha: 0.2, cache_partition: False, num_workers: 0, record_time: False, gpu_idx: [1], my_exp: True, epochs: 300, predict_epochs: 5, predict_alpha: 0.8, show_sign_flip: False, other_show_3d: False, npy_file_name: 4.3.2, npy_prefix: None, num_clients: 30, num_adv: 6, attack: Gaussian, defense: MyDefense, attack_params: {'noise_mean': 0, 'noise_std': 1}, defense_params: {'show_3d': True, 'metric': 'euclidean', 'gamma': 0.99, 'recored_rs': True}, benchmark: False, num_training_sample: 50000, num_channels: 3, num_classes: 10, mean: (0.4914, 0.4822, 0.4465), std: (0.247, 0.243, 0.261), device: cuda:1, output: ./logs/FedSGD/CIFAR10_resnet10/iid/Gaussian_MyDefense/300_30_6_0.05_2025-03-01_20-17-40.txt

Started on Sat Mar  1 20:17:40 2025
Generating new indices
Doing iid partition
iid partition finished
Data partitioned
Clients and server are initialized
Starting Training...
Epoch 0  	Train Acc: 0.0703	Train loss: 0.0370	Test Acc: 0.1000	Test loss: 0.0362
Epoch 1  	Train Acc: 0.1807	Train loss: 0.0349	Test Acc: 0.1012	Test loss: 0.0361
Epoch 2  	Train Acc: 0.2339	Train loss: 0.0335	Test Acc: 0.1001	Test loss: 0.0361
Epoch 3  	Train Acc: 0.2391	Train loss: 0.0322	Test Acc: 0.1120	Test loss: 0.0361
Epoch 4  	Train Acc: 0.2714	Train loss: 0.0306	Test Acc: 0.1033	Test loss: 0.0361
Epoch 5  	Train Acc: 0.2927	Train loss: 0.0292	Test Acc: 0.1041	Test loss: 0.0361
Epoch 6  	Train Acc: 0.3031	Train loss: 0.0292	Test Acc: 0.1049	Test loss: 0.0361
Epoch 7  	Train Acc: 0.3177	Train loss: 0.0286	Test Acc: 0.1038	Test loss: 0.0363
Epoch 8  	Train Acc: 0.3339	Train loss: 0.0277	Test Acc: 0.1058	Test loss: 0.0366
Epoch 9  	Train Acc: 0.3380	Train loss: 0.0271	Test Acc: 0.1061	Test loss: 0.0369
Epoch 10 	Train Acc: 0.3625	Train loss: 0.0264	Test Acc: 0.1034	Test loss: 0.0370
Epoch 11 	Train Acc: 0.3969	Train loss: 0.0259	Test Acc: 0.1125	Test loss: 0.0375
