seed: 4, algorithm: FedSGD, optimizer: SGD, momentum: 0.9, weight_decay: 0.0005, batch_size: 64, learning_rate: 0.05, model: resnet10, dataset: CIFAR10, distribution: iid, im_iid_gamma: 0.01, tail_cls_from: 4, dirichlet_alpha: 0.2, cache_partition: False, num_workers: 0, record_time: False, gpu_idx: [3], my_exp: True, epochs: 300, predict_epochs: 5, predict_alpha: 0.8, show_sign_flip: False, other_show_3d: False, only_show_last_epoch: True, npy_file_name: 4.3.2, npy_prefix: None, num_clients: 10, num_adv: 2, attack: IPM, defense: MultiKrum, attack_params: {'scaling_factor': 0.5}, defense_params: {'avg_percentage': 0.2, 'enable_check': False}, benchmark: False, num_training_sample: 50000, num_channels: 3, num_classes: 10, mean: (0.4914, 0.4822, 0.4465), std: (0.247, 0.243, 0.261), device: cuda:3, output: ./logs/FedSGD/CIFAR10_resnet10/iid/IPM_MultiKrum/300_10_2_0.05_2025-03-05_10-29-07.txt

Started on Wed Mar  5 10:29:07 2025
Generating new indices
Doing iid partition
iid partition finished
Data partitioned
Clients and server are initialized
Starting Training...
Epoch 0  	Train Acc: 0.1297	Train loss: 0.0369	Test Acc: 0.1367	Test loss: 0.0362
Epoch 1  	Train Acc: 0.1766	Train loss: 0.0351	Test Acc: 0.1318	Test loss: 0.0361
Epoch 2  	Train Acc: 0.2203	Train loss: 0.0346	Test Acc: 0.1145	Test loss: 0.0361
Epoch 3  	Train Acc: 0.2031	Train loss: 0.0342	Test Acc: 0.1578	Test loss: 0.0360
Epoch 4  	Train Acc: 0.2375	Train loss: 0.0327	Test Acc: 0.1522	Test loss: 0.0360
Epoch 5  	Train Acc: 0.2500	Train loss: 0.0333	Test Acc: 0.1719	Test loss: 0.0360
Epoch 6  	Train Acc: 0.2578	Train loss: 0.0344	Test Acc: 0.1214	Test loss: 0.0359
Epoch 7  	Train Acc: 0.2437	Train loss: 0.0331	Test Acc: 0.1138	Test loss: 0.0360
Epoch 8  	Train Acc: 0.2672	Train loss: 0.0336	Test Acc: 0.1121	Test loss: 0.0358
Epoch 9  	Train Acc: 0.2422	Train loss: 0.0312	Test Acc: 0.1381	Test loss: 0.0358
Epoch 10 	Train Acc: 0.2000	Train loss: 0.0339	Test Acc: 0.1444	Test loss: 0.0354
Epoch 11 	Train Acc: 0.2734	Train loss: 0.0323	Test Acc: 0.1230	Test loss: 0.0354
Epoch 12 	Train Acc: 0.2781	Train loss: 0.0312	Test Acc: 0.1091	Test loss: 0.0354
Epoch 13 	Train Acc: 0.2266	Train loss: 0.0323	Test Acc: 0.1223	Test loss: 0.0357
Epoch 14 	Train Acc: 0.2344	Train loss: 0.0345	Test Acc: 0.1630	Test loss: 0.0338
Epoch 15 	Train Acc: 0.2484	Train loss: 0.0320	Test Acc: 0.2586	Test loss: 0.0325
Epoch 16 	Train Acc: 0.3031	Train loss: 0.0295	Test Acc: 0.2678	Test loss: 0.0329
Epoch 17 	Train Acc: 0.2828	Train loss: 0.0309	Test Acc: 0.2556	Test loss: 0.0330
Epoch 18 	Train Acc: 0.2953	Train loss: 0.0296	Test Acc: 0.2821	Test loss: 0.0317
Epoch 19 	Train Acc: 0.3141	Train loss: 0.0300	Test Acc: 0.2444	Test loss: 0.0330
Epoch 20 	Train Acc: 0.3281	Train loss: 0.0299	Test Acc: 0.2607	Test loss: 0.0315
Epoch 21 	Train Acc: 0.2719	Train loss: 0.0302	Test Acc: 0.2578	Test loss: 0.0354
Epoch 22 	Train Acc: 0.2656	Train loss: 0.0307	Test Acc: 0.3211	Test loss: 0.0288
Epoch 23 	Train Acc: 0.3031	Train loss: 0.0289	Test Acc: 0.2970	Test loss: 0.0328
Epoch 24 	Train Acc: 0.3500	Train loss: 0.0274	Test Acc: 0.1767	Test loss: 0.0675
Epoch 25 	Train Acc: 0.3297	Train loss: 0.0292	Test Acc: 0.1933	Test loss: 0.0533
Epoch 26 	Train Acc: 0.3312	Train loss: 0.0280	Test Acc: 0.1990	Test loss: 0.0638
Epoch 27 	Train Acc: 0.3375	Train loss: 0.0271	Test Acc: 0.2381	Test loss: 0.0482
Epoch 28 	Train Acc: 0.3422	Train loss: 0.0282	Test Acc: 0.2510	Test loss: 0.0430
