seed: 4, algorithm: FedSGD, optimizer: SGD, momentum: 0.9, weight_decay: 0.0005, batch_size: 64, learning_rate: 0.05, model: resnet10, dataset: CIFAR10, distribution: iid, im_iid_gamma: 0.01, tail_cls_from: 4, dirichlet_alpha: 0.2, cache_partition: False, num_workers: 0, record_time: False, gpu_idx: [2], my_exp: True, epochs: 300, predict_epochs: 5, predict_alpha: 0.8, show_sign_flip: False, other_show_3d: False, only_show_last_epoch: True, npy_file_name: 4.3.2, npy_prefix: None, num_clients: 10, num_adv: 2, attack: IPM, defense: SignGuard, attack_params: {'scaling_factor': 0.5}, defense_params: {'lower_bound': 0.1, 'upper_bound': 3.0, 'selection_fraction': 0.1, 'clustering': 'MeanShift', 'random_seed': 2}, benchmark: False, num_training_sample: 50000, num_channels: 3, num_classes: 10, mean: (0.4914, 0.4822, 0.4465), std: (0.247, 0.243, 0.261), device: cuda:2, output: ./logs/FedSGD/CIFAR10_resnet10/iid/IPM_SignGuard/300_10_2_0.05_2025-03-05_10-29-07.txt

Started on Wed Mar  5 10:29:07 2025
Generating new indices
Doing iid partition
iid partition finished
Data partitioned
Clients and server are initialized
Starting Training...
Epoch 0  	Train Acc: 0.1297	Train loss: 0.0369	Test Acc: 0.1112	Test loss: 0.0362
Epoch 1  	Train Acc: 0.2031	Train loss: 0.0347	Test Acc: 0.1101	Test loss: 0.0361
Epoch 2  	Train Acc: 0.2188	Train loss: 0.0335	Test Acc: 0.1287	Test loss: 0.0361
Epoch 3  	Train Acc: 0.2250	Train loss: 0.0333	Test Acc: 0.1007	Test loss: 0.0361
Epoch 4  	Train Acc: 0.2812	Train loss: 0.0313	Test Acc: 0.0999	Test loss: 0.0360
Epoch 5  	Train Acc: 0.2641	Train loss: 0.0319	Test Acc: 0.0999	Test loss: 0.0359
Epoch 6  	Train Acc: 0.2953	Train loss: 0.0301	Test Acc: 0.0999	Test loss: 0.0359
Epoch 7  	Train Acc: 0.2828	Train loss: 0.0305	Test Acc: 0.1001	Test loss: 0.0358
Epoch 8  	Train Acc: 0.3063	Train loss: 0.0305	Test Acc: 0.1166	Test loss: 0.0359
Epoch 9  	Train Acc: 0.3297	Train loss: 0.0281	Test Acc: 0.1167	Test loss: 0.0360
Epoch 10 	Train Acc: 0.3094	Train loss: 0.0286	Test Acc: 0.1150	Test loss: 0.0360
Epoch 11 	Train Acc: 0.2875	Train loss: 0.0292	Test Acc: 0.1431	Test loss: 0.0359
Epoch 12 	Train Acc: 0.2969	Train loss: 0.0313	Test Acc: 0.1154	Test loss: 0.0363
Epoch 13 	Train Acc: 0.2984	Train loss: 0.0301	Test Acc: 0.1121	Test loss: 0.0366
Epoch 14 	Train Acc: 0.2938	Train loss: 0.0298	Test Acc: 0.1127	Test loss: 0.0364
Epoch 15 	Train Acc: 0.2656	Train loss: 0.0314	Test Acc: 0.1192	Test loss: 0.0364
Epoch 16 	Train Acc: 0.3469	Train loss: 0.0262	Test Acc: 0.1366	Test loss: 0.0367
Epoch 17 	Train Acc: 0.2922	Train loss: 0.0297	Test Acc: 0.1492	Test loss: 0.0360
Epoch 18 	Train Acc: 0.3406	Train loss: 0.0292	Test Acc: 0.1877	Test loss: 0.0335
Epoch 19 	Train Acc: 0.3766	Train loss: 0.0269	Test Acc: 0.2098	Test loss: 0.0329
Epoch 20 	Train Acc: 0.3797	Train loss: 0.0261	Test Acc: 0.2559	Test loss: 0.0315
Epoch 21 	Train Acc: 0.3547	Train loss: 0.0260	Test Acc: 0.2454	Test loss: 0.0322
Epoch 22 	Train Acc: 0.3469	Train loss: 0.0284	Test Acc: 0.2876	Test loss: 0.0297
Epoch 23 	Train Acc: 0.3219	Train loss: 0.0282	Test Acc: 0.3028	Test loss: 0.0287
Epoch 24 	Train Acc: 0.3781	Train loss: 0.0260	Test Acc: 0.3215	Test loss: 0.0283
Epoch 25 	Train Acc: 0.3312	Train loss: 0.0281	Test Acc: 0.2916	Test loss: 0.0301
Epoch 26 	Train Acc: 0.3594	Train loss: 0.0270	Test Acc: 0.2856	Test loss: 0.0321
Epoch 27 	Train Acc: 0.3906	Train loss: 0.0253	Test Acc: 0.2928	Test loss: 0.0291
Epoch 28 	Train Acc: 0.3906	Train loss: 0.0261	Test Acc: 0.3649	Test loss: 0.0263
Epoch 29 	Train Acc: 0.4125	Train loss: 0.0252	Test Acc: 0.3977	Test loss: 0.0257
Epoch 30 	Train Acc: 0.4297	Train loss: 0.0249	Test Acc: 0.3926	Test loss: 0.0256
Epoch 31 	Train Acc: 0.4109	Train loss: 0.0247	Test Acc: 0.4061	Test loss: 0.0248
Epoch 32 	Train Acc: 0.4062	Train loss: 0.0247	Test Acc: 0.4054	Test loss: 0.0250
Epoch 33 	Train Acc: 0.4313	Train loss: 0.0240	Test Acc: 0.3867	Test loss: 0.0255
Epoch 34 	Train Acc: 0.4219	Train loss: 0.0236	Test Acc: 0.4266	Test loss: 0.0246
Epoch 35 	Train Acc: 0.4266	Train loss: 0.0240	Test Acc: 0.4132	Test loss: 0.0249
Epoch 36 	Train Acc: 0.3922	Train loss: 0.0253	Test Acc: 0.3953	Test loss: 0.0249
Epoch 37 	Train Acc: 0.4078	Train loss: 0.0241	Test Acc: 0.3391	Test loss: 0.0287
Epoch 38 	Train Acc: 0.3531	Train loss: 0.0263	Test Acc: 0.3950	Test loss: 0.0267
Epoch 39 	Train Acc: 0.4469	Train loss: 0.0241	Test Acc: 0.3766	Test loss: 0.0269
Epoch 40 	Train Acc: 0.4359	Train loss: 0.0237	Test Acc: 0.3641	Test loss: 0.0270
Epoch 41 	Train Acc: 0.4281	Train loss: 0.0242	Test Acc: 0.3237	Test loss: 0.0304
Epoch 42 	Train Acc: 0.4484	Train loss: 0.0238	Test Acc: 0.3189	Test loss: 0.0314
Epoch 43 	Train Acc: 0.4594	Train loss: 0.0232	Test Acc: 0.3256	Test loss: 0.0289
Epoch 44 	Train Acc: 0.4078	Train loss: 0.0252	Test Acc: 0.3398	Test loss: 0.0281
Epoch 45 	Train Acc: 0.3734	Train loss: 0.0256	Test Acc: 0.4152	Test loss: 0.0243
Epoch 46 	Train Acc: 0.4484	Train loss: 0.0242	Test Acc: 0.4531	Test loss: 0.0230
Epoch 47 	Train Acc: 0.4484	Train loss: 0.0238	Test Acc: 0.4198	Test loss: 0.0258
Epoch 48 	Train Acc: 0.4328	Train loss: 0.0239	Test Acc: 0.4226	Test loss: 0.0248
Epoch 49 	Train Acc: 0.4938	Train loss: 0.0219	Test Acc: 0.3637	Test loss: 0.0285
Epoch 50 	Train Acc: 0.4391	Train loss: 0.0227	Test Acc: 0.3728	Test loss: 0.0279
Epoch 51 	Train Acc: 0.4500	Train loss: 0.0227	Test Acc: 0.4212	Test loss: 0.0255
Epoch 52 	Train Acc: 0.4609	Train loss: 0.0224	Test Acc: 0.3949	Test loss: 0.0256
Epoch 53 	Train Acc: 0.4359	Train loss: 0.0237	Test Acc: 0.3835	Test loss: 0.0257
Epoch 54 	Train Acc: 0.4375	Train loss: 0.0220	Test Acc: 0.4101	Test loss: 0.0258
Epoch 55 	Train Acc: 0.4516	Train loss: 0.0234	Test Acc: 0.2919	Test loss: 0.0383
Epoch 56 	Train Acc: 0.4203	Train loss: 0.0246	Test Acc: 0.3225	Test loss: 0.0347
Epoch 57 	Train Acc: 0.4859	Train loss: 0.0227	Test Acc: 0.4411	Test loss: 0.0243
Epoch 58 	Train Acc: 0.4844	Train loss: 0.0218	Test Acc: 0.4828	Test loss: 0.0218
Epoch 59 	Train Acc: 0.5437	Train loss: 0.0209	Test Acc: 0.4809	Test loss: 0.0220
Epoch 60 	Train Acc: 0.4938	Train loss: 0.0216	Test Acc: 0.5187	Test loss: 0.0208
Epoch 61 	Train Acc: 0.5062	Train loss: 0.0208	Test Acc: 0.4972	Test loss: 0.0216
