seed: 4, algorithm: FedSGD, optimizer: SGD, momentum: 0.9, weight_decay: 0.0005, batch_size: 64, learning_rate: 0.05, model: resnet10, dataset: CIFAR10, distribution: iid, im_iid_gamma: 0.01, tail_cls_from: 4, dirichlet_alpha: 0.2, cache_partition: False, num_workers: 0, record_time: False, gpu_idx: [3], my_exp: True, epochs: 300, predict_epochs: 5, predict_alpha: 0.8, show_sign_flip: False, other_show_3d: False, only_show_last_epoch: True, npy_file_name: 4.3.2, npy_prefix: None, num_clients: 10, num_adv: 2, attack: IPM, defense: TrimmedMean, attack_params: {'scaling_factor': 0.5}, defense_params: {'beta': 0.1}, benchmark: False, num_training_sample: 50000, num_channels: 3, num_classes: 10, mean: (0.4914, 0.4822, 0.4465), std: (0.247, 0.243, 0.261), device: cuda:3, output: ./logs/FedSGD/CIFAR10_resnet10/iid/IPM_TrimmedMean/300_10_2_0.05_2025-03-05_10-29-07.txt

Started on Wed Mar  5 10:29:07 2025
Generating new indices
Doing iid partition
iid partition finished
Data partitioned
Clients and server are initialized
Starting Training...
Epoch 0  	Train Acc: 0.1297	Train loss: 0.0369	Test Acc: 0.1209	Test loss: 0.0362
Epoch 1  	Train Acc: 0.1609	Train loss: 0.0352	Test Acc: 0.1224	Test loss: 0.0361
Epoch 2  	Train Acc: 0.2156	Train loss: 0.0338	Test Acc: 0.1355	Test loss: 0.0361
Epoch 3  	Train Acc: 0.2188	Train loss: 0.0338	Test Acc: 0.1195	Test loss: 0.0361
Epoch 4  	Train Acc: 0.2641	Train loss: 0.0316	Test Acc: 0.1221	Test loss: 0.0360
Epoch 5  	Train Acc: 0.2687	Train loss: 0.0317	Test Acc: 0.1034	Test loss: 0.0360
Epoch 6  	Train Acc: 0.2719	Train loss: 0.0303	Test Acc: 0.1000	Test loss: 0.0360
Epoch 7  	Train Acc: 0.3063	Train loss: 0.0305	Test Acc: 0.0999	Test loss: 0.0359
Epoch 8  	Train Acc: 0.2922	Train loss: 0.0301	Test Acc: 0.0999	Test loss: 0.0359
Epoch 9  	Train Acc: 0.3203	Train loss: 0.0285	Test Acc: 0.1030	Test loss: 0.0359
Epoch 10 	Train Acc: 0.3266	Train loss: 0.0281	Test Acc: 0.1165	Test loss: 0.0359
Epoch 11 	Train Acc: 0.2953	Train loss: 0.0291	Test Acc: 0.1173	Test loss: 0.0359
Epoch 12 	Train Acc: 0.3688	Train loss: 0.0272	Test Acc: 0.1175	Test loss: 0.0361
Epoch 13 	Train Acc: 0.3594	Train loss: 0.0271	Test Acc: 0.1165	Test loss: 0.0366
Epoch 14 	Train Acc: 0.3672	Train loss: 0.0271	Test Acc: 0.1141	Test loss: 0.0369
Epoch 15 	Train Acc: 0.3828	Train loss: 0.0265	Test Acc: 0.1090	Test loss: 0.0374
Epoch 16 	Train Acc: 0.3672	Train loss: 0.0258	Test Acc: 0.1114	Test loss: 0.0376
Epoch 17 	Train Acc: 0.3672	Train loss: 0.0265	Test Acc: 0.1178	Test loss: 0.0377
Epoch 18 	Train Acc: 0.3984	Train loss: 0.0262	Test Acc: 0.1390	Test loss: 0.0368
Epoch 19 	Train Acc: 0.3672	Train loss: 0.0258	Test Acc: 0.1624	Test loss: 0.0355
Epoch 20 	Train Acc: 0.4469	Train loss: 0.0242	Test Acc: 0.1648	Test loss: 0.0340
Epoch 21 	Train Acc: 0.3906	Train loss: 0.0251	Test Acc: 0.1827	Test loss: 0.0333
Epoch 22 	Train Acc: 0.3906	Train loss: 0.0254	Test Acc: 0.2091	Test loss: 0.0328
Epoch 23 	Train Acc: 0.3953	Train loss: 0.0254	Test Acc: 0.2168	Test loss: 0.0328
Epoch 24 	Train Acc: 0.3984	Train loss: 0.0253	Test Acc: 0.2264	Test loss: 0.0336
Epoch 25 	Train Acc: 0.3969	Train loss: 0.0255	Test Acc: 0.2492	Test loss: 0.0336
Epoch 26 	Train Acc: 0.4359	Train loss: 0.0247	Test Acc: 0.2582	Test loss: 0.0316
Epoch 27 	Train Acc: 0.4328	Train loss: 0.0240	Test Acc: 0.2867	Test loss: 0.0291
Epoch 28 	Train Acc: 0.4203	Train loss: 0.0243	Test Acc: 0.3785	Test loss: 0.0266
Epoch 29 	Train Acc: 0.4453	Train loss: 0.0235	Test Acc: 0.4240	Test loss: 0.0255
Epoch 30 	Train Acc: 0.4484	Train loss: 0.0237	Test Acc: 0.4081	Test loss: 0.0258
Epoch 31 	Train Acc: 0.4453	Train loss: 0.0243	Test Acc: 0.3772	Test loss: 0.0272
Epoch 32 	Train Acc: 0.4562	Train loss: 0.0232	Test Acc: 0.3525	Test loss: 0.0285
Epoch 33 	Train Acc: 0.4547	Train loss: 0.0226	Test Acc: 0.3290	Test loss: 0.0294
Epoch 34 	Train Acc: 0.4906	Train loss: 0.0221	Test Acc: 0.3181	Test loss: 0.0295
Epoch 35 	Train Acc: 0.4750	Train loss: 0.0224	Test Acc: 0.3445	Test loss: 0.0285
Epoch 36 	Train Acc: 0.4516	Train loss: 0.0229	Test Acc: 0.3477	Test loss: 0.0283
Epoch 37 	Train Acc: 0.4453	Train loss: 0.0232	Test Acc: 0.3314	Test loss: 0.0288
Epoch 38 	Train Acc: 0.4406	Train loss: 0.0234	Test Acc: 0.3582	Test loss: 0.0277
Epoch 39 	Train Acc: 0.4813	Train loss: 0.0226	Test Acc: 0.4158	Test loss: 0.0252
Epoch 40 	Train Acc: 0.4781	Train loss: 0.0218	Test Acc: 0.4458	Test loss: 0.0239
Epoch 41 	Train Acc: 0.4938	Train loss: 0.0217	Test Acc: 0.4352	Test loss: 0.0241
Epoch 42 	Train Acc: 0.5141	Train loss: 0.0212	Test Acc: 0.4234	Test loss: 0.0247
Epoch 43 	Train Acc: 0.5125	Train loss: 0.0213	Test Acc: 0.3887	Test loss: 0.0271
Epoch 44 	Train Acc: 0.4828	Train loss: 0.0217	Test Acc: 0.3439	Test loss: 0.0314
Epoch 45 	Train Acc: 0.4813	Train loss: 0.0216	Test Acc: 0.3897	Test loss: 0.0278
