seed: 4, algorithm: FedSGD, optimizer: SGD, momentum: 0.9, weight_decay: 0.0005, batch_size: 32, learning_rate: 0.01, model: lenet, dataset: MNIST, distribution: iid, im_iid_gamma: 0.01, tail_cls_from: 4, dirichlet_alpha: 0.2, cache_partition: False, num_workers: 0, record_time: False, gpu_idx: [2], my_exp: True, epochs: 200, predict_epochs: 5, predict_alpha: 0.8, show_sign_flip: False, other_show_3d: False, only_show_last_epoch: True, npy_file_name: 4.3.2, npy_prefix: None, num_clients: 30, num_adv: 6, attack: Gaussian, defense: TESSERACT, attack_params: {'noise_mean': 0, 'noise_std': 1}, defense_params: None, benchmark: False, num_training_sample: 60000, num_channels: 1, num_classes: 10, mean: (0.1307,), std: (0.3081,), device: cuda:2, output: ./logs/FedSGD/MNIST_lenet/iid/Gaussian_TESSERACT/200_30_6_0.01_2025-03-04_12-20-52.txt

Started on Tue Mar  4 12:20:52 2025
Generating new indices
Doing iid partition
iid partition finished
Data partitioned
Clients and server are initialized
Starting Training...
Epoch 0  	Train Acc: 0.0927	Train loss: 0.0720	Test Acc: 0.0843	Test loss: 0.0728
Epoch 1  	Train Acc: 0.0958	Train loss: 0.0724	Test Acc: 0.0738	Test loss: 0.0729
Epoch 2  	Train Acc: 0.0708	Train loss: 0.0724	Test Acc: 0.0780	Test loss: 0.0729
Epoch 3  	Train Acc: 0.0896	Train loss: 0.0724	Test Acc: 0.0873	Test loss: 0.0727
Epoch 4  	Train Acc: 0.0792	Train loss: 0.0727	Test Acc: 0.0954	Test loss: 0.0724
Epoch 5  	Train Acc: 0.1000	Train loss: 0.0724	Test Acc: 0.1100	Test loss: 0.0722
Epoch 6  	Train Acc: 0.1083	Train loss: 0.0722	Test Acc: 0.1281	Test loss: 0.0719
Epoch 7  	Train Acc: 0.1198	Train loss: 0.0717	Test Acc: 0.1472	Test loss: 0.0717
Epoch 8  	Train Acc: 0.1646	Train loss: 0.0714	Test Acc: 0.1730	Test loss: 0.0714
Epoch 9  	Train Acc: 0.1437	Train loss: 0.0717	Test Acc: 0.1991	Test loss: 0.0711
Epoch 10 	Train Acc: 0.2031	Train loss: 0.0711	Test Acc: 0.2229	Test loss: 0.0709
Epoch 11 	Train Acc: 0.2135	Train loss: 0.0709	Test Acc: 0.2450	Test loss: 0.0706
Epoch 12 	Train Acc: 0.2250	Train loss: 0.0708	Test Acc: 0.2669	Test loss: 0.0704
Epoch 13 	Train Acc: 0.2437	Train loss: 0.0705	Test Acc: 0.2867	Test loss: 0.0701
Epoch 14 	Train Acc: 0.2781	Train loss: 0.0701	Test Acc: 0.3060	Test loss: 0.0698
Epoch 15 	Train Acc: 0.3156	Train loss: 0.0697	Test Acc: 0.3257	Test loss: 0.0695
Epoch 16 	Train Acc: 0.3198	Train loss: 0.0695	Test Acc: 0.3425	Test loss: 0.0692
Epoch 17 	Train Acc: 0.3625	Train loss: 0.0690	Test Acc: 0.3587	Test loss: 0.0689
Epoch 18 	Train Acc: 0.3542	Train loss: 0.0687	Test Acc: 0.3706	Test loss: 0.0685
Epoch 19 	Train Acc: 0.3458	Train loss: 0.0685	Test Acc: 0.3816	Test loss: 0.0680
Epoch 20 	Train Acc: 0.3740	Train loss: 0.0680	Test Acc: 0.3847	Test loss: 0.0676
Epoch 21 	Train Acc: 0.3812	Train loss: 0.0674	Test Acc: 0.3883	Test loss: 0.0670
Epoch 22 	Train Acc: 0.3625	Train loss: 0.0673	Test Acc: 0.3937	Test loss: 0.0664
Epoch 23 	Train Acc: 0.3937	Train loss: 0.0663	Test Acc: 0.3916	Test loss: 0.0657
Epoch 24 	Train Acc: 0.3812	Train loss: 0.0657	Test Acc: 0.3913	Test loss: 0.0649
Epoch 25 	Train Acc: 0.3948	Train loss: 0.0647	Test Acc: 0.4135	Test loss: 0.0639
Epoch 26 	Train Acc: 0.4062	Train loss: 0.0638	Test Acc: 0.4468	Test loss: 0.0627
Epoch 27 	Train Acc: 0.4240	Train loss: 0.0634	Test Acc: 0.4633	Test loss: 0.0613
Epoch 28 	Train Acc: 0.4448	Train loss: 0.0618	Test Acc: 0.4730	Test loss: 0.0599
Epoch 29 	Train Acc: 0.4625	Train loss: 0.0598	Test Acc: 0.4637	Test loss: 0.0583
Epoch 30 	Train Acc: 0.4781	Train loss: 0.0584	Test Acc: 0.4731	Test loss: 0.0564
Epoch 31 	Train Acc: 0.5167	Train loss: 0.0558	Test Acc: 0.4879	Test loss: 0.0542
Epoch 32 	Train Acc: 0.4583	Train loss: 0.0551	Test Acc: 0.5314	Test loss: 0.0516
Epoch 33 	Train Acc: 0.5229	Train loss: 0.0525	Test Acc: 0.5449	Test loss: 0.0490
Epoch 34 	Train Acc: 0.5708	Train loss: 0.0490	Test Acc: 0.5741	Test loss: 0.0460
Epoch 35 	Train Acc: 0.5542	Train loss: 0.0467	Test Acc: 0.6130	Test loss: 0.0427
Epoch 36 	Train Acc: 0.6010	Train loss: 0.0448	Test Acc: 0.6636	Test loss: 0.0393
Epoch 37 	Train Acc: 0.6448	Train loss: 0.0406	Test Acc: 0.7171	Test loss: 0.0357
Epoch 38 	Train Acc: 0.6917	Train loss: 0.0374	Test Acc: 0.7434	Test loss: 0.0324
Epoch 39 	Train Acc: 0.7406	Train loss: 0.0331	Test Acc: 0.7405	Test loss: 0.0295
Epoch 40 	Train Acc: 0.7427	Train loss: 0.0293	Test Acc: 0.7364	Test loss: 0.0279
Epoch 41 	Train Acc: 0.7312	Train loss: 0.0285	Test Acc: 0.7461	Test loss: 0.0254
Epoch 42 	Train Acc: 0.7333	Train loss: 0.0263	Test Acc: 0.7526	Test loss: 0.0249
Epoch 43 	Train Acc: 0.7469	Train loss: 0.0252	Test Acc: 0.7519	Test loss: 0.0241
Epoch 44 	Train Acc: 0.7458	Train loss: 0.0252	Test Acc: 0.7604	Test loss: 0.0237
Epoch 45 	Train Acc: 0.7510	Train loss: 0.0250	Test Acc: 0.7620	Test loss: 0.0222
Epoch 46 	Train Acc: 0.7573	Train loss: 0.0248	Test Acc: 0.7669	Test loss: 0.0225
Epoch 47 	Train Acc: 0.7760	Train loss: 0.0222	Test Acc: 0.7511	Test loss: 0.0229
Epoch 48 	Train Acc: 0.7385	Train loss: 0.0225	Test Acc: 0.7514	Test loss: 0.0264
Epoch 49 	Train Acc: 0.7479	Train loss: 0.0283	Test Acc: 0.7759	Test loss: 0.0228
Epoch 50 	Train Acc: 0.7615	Train loss: 0.0248	Test Acc: 0.6987	Test loss: 0.0278
Epoch 51 	Train Acc: 0.6823	Train loss: 0.0296	Test Acc: 0.8080	Test loss: 0.0192
Epoch 52 	Train Acc: 0.8063	Train loss: 0.0194	Test Acc: 0.8314	Test loss: 0.0180
Epoch 53 	Train Acc: 0.8500	Train loss: 0.0167	Test Acc: 0.7729	Test loss: 0.0232
Epoch 54 	Train Acc: 0.7490	Train loss: 0.0249	Test Acc: 0.8298	Test loss: 0.0174
Epoch 55 	Train Acc: 0.8219	Train loss: 0.0169	Test Acc: 0.7650	Test loss: 0.0226
Epoch 56 	Train Acc: 0.7698	Train loss: 0.0209	Test Acc: 0.8338	Test loss: 0.0169
Epoch 57 	Train Acc: 0.8385	Train loss: 0.0174	Test Acc: 0.8316	Test loss: 0.0177
