seed: 4, algorithm: FedSGD, optimizer: SGD, momentum: 0.9, weight_decay: 0.0005, batch_size: 32, learning_rate: 0.01, model: lenet, dataset: MNIST, distribution: iid, im_iid_gamma: 0.01, tail_cls_from: 4, dirichlet_alpha: 0.2, cache_partition: False, num_workers: 0, record_time: False, gpu_idx: [0], my_exp: True, show_3d: False, epochs: 200, predict_epochs: 5, predict_alpha: 0.8, show_sign_flip: True, num_clients: 30, num_adv: 6, attack: MPAF, defense: TrimmedMean, attack_params: {'lamda': 5}, defense_params: {'beta': 0.1}, benchmark: False, num_training_sample: 60000, num_channels: 1, num_classes: 10, mean: (0.1307,), std: (0.3081,), device: cuda:0, output: ./logs/FedSGD/MNIST_lenet/iid/MPAF_TrimmedMean/200_30_6_0.01_2025-02-26_13:19:11.txt

Started on Wed Feb 26 13:19:11 2025
Generating new indices
Doing iid partition
iid partition finished
Data partitioned
Clients and server are initialized
Starting Training...
Epoch 0  	Train Acc: 0.0990	Train loss: 0.0722	Test Acc: 0.0985	Test loss: 0.0722
Epoch 1  	Train Acc: 0.1115	Train loss: 0.0720	Test Acc: 0.0981	Test loss: 0.0721
Epoch 2  	Train Acc: 0.0906	Train loss: 0.0720	Test Acc: 0.0980	Test loss: 0.0721
Epoch 3  	Train Acc: 0.0823	Train loss: 0.0720	Test Acc: 0.0986	Test loss: 0.0721
Epoch 4  	Train Acc: 0.0781	Train loss: 0.0721	Test Acc: 0.0991	Test loss: 0.0721
Epoch 5  	Train Acc: 0.1062	Train loss: 0.0719	Test Acc: 0.0993	Test loss: 0.0721
Epoch 6  	Train Acc: 0.1104	Train loss: 0.0719	Test Acc: 0.0993	Test loss: 0.0721
Epoch 7  	Train Acc: 0.1104	Train loss: 0.0719	Test Acc: 0.0992	Test loss: 0.0721
Epoch 8  	Train Acc: 0.1073	Train loss: 0.0718	Test Acc: 0.0992	Test loss: 0.0721
Epoch 9  	Train Acc: 0.1000	Train loss: 0.0721	Test Acc: 0.0993	Test loss: 0.0721
Epoch 10 	Train Acc: 0.0844	Train loss: 0.0721	Test Acc: 0.0994	Test loss: 0.0721
Epoch 11 	Train Acc: 0.0948	Train loss: 0.0721	Test Acc: 0.0994	Test loss: 0.0721
Epoch 12 	Train Acc: 0.1021	Train loss: 0.0719	Test Acc: 0.0996	Test loss: 0.0721
Epoch 13 	Train Acc: 0.0948	Train loss: 0.0720	Test Acc: 0.0997	Test loss: 0.0721
Epoch 14 	Train Acc: 0.0948	Train loss: 0.0720	Test Acc: 0.0996	Test loss: 0.0721
Epoch 15 	Train Acc: 0.1000	Train loss: 0.0719	Test Acc: 0.0997	Test loss: 0.0721
Epoch 16 	Train Acc: 0.1010	Train loss: 0.0720	Test Acc: 0.0997	Test loss: 0.0721
Epoch 17 	Train Acc: 0.1083	Train loss: 0.0719	Test Acc: 0.0997	Test loss: 0.0721
Epoch 18 	Train Acc: 0.0969	Train loss: 0.0720	Test Acc: 0.0997	Test loss: 0.0721
Epoch 19 	Train Acc: 0.1208	Train loss: 0.0719	Test Acc: 0.0997	Test loss: 0.0721
Epoch 20 	Train Acc: 0.1042	Train loss: 0.0721	Test Acc: 0.0997	Test loss: 0.0721
Epoch 21 	Train Acc: 0.0917	Train loss: 0.0719	Test Acc: 0.0997	Test loss: 0.0721
Epoch 22 	Train Acc: 0.0896	Train loss: 0.0721	Test Acc: 0.0997	Test loss: 0.0721
Epoch 23 	Train Acc: 0.0979	Train loss: 0.0719	Test Acc: 0.0997	Test loss: 0.0721
Epoch 24 	Train Acc: 0.1021	Train loss: 0.0720	Test Acc: 0.0996	Test loss: 0.0721
Epoch 25 	Train Acc: 0.1010	Train loss: 0.0719	Test Acc: 0.0994	Test loss: 0.0721
Epoch 26 	Train Acc: 0.0865	Train loss: 0.0720	Test Acc: 0.0996	Test loss: 0.0721
Epoch 27 	Train Acc: 0.1000	Train loss: 0.0718	Test Acc: 0.0996	Test loss: 0.0721
Epoch 28 	Train Acc: 0.1073	Train loss: 0.0719	Test Acc: 0.0996	Test loss: 0.0721
Epoch 29 	Train Acc: 0.1010	Train loss: 0.0720	Test Acc: 0.0997	Test loss: 0.0721
Epoch 30 	Train Acc: 0.1135	Train loss: 0.0719	Test Acc: 0.0997	Test loss: 0.0721
Epoch 31 	Train Acc: 0.0875	Train loss: 0.0721	Test Acc: 0.0995	Test loss: 0.0721
Epoch 32 	Train Acc: 0.0917	Train loss: 0.0719	Test Acc: 0.0994	Test loss: 0.0721
Epoch 33 	Train Acc: 0.1146	Train loss: 0.0718	Test Acc: 0.0992	Test loss: 0.0721
Epoch 34 	Train Acc: 0.0917	Train loss: 0.0721	Test Acc: 0.0992	Test loss: 0.0721
Epoch 35 	Train Acc: 0.1031	Train loss: 0.0720	Test Acc: 0.0991	Test loss: 0.0721
Epoch 36 	Train Acc: 0.1021	Train loss: 0.0719	Test Acc: 0.0987	Test loss: 0.0721
Epoch 37 	Train Acc: 0.0906	Train loss: 0.0719	Test Acc: 0.0989	Test loss: 0.0721
Epoch 38 	Train Acc: 0.1042	Train loss: 0.0719	Test Acc: 0.0991	Test loss: 0.0721
Epoch 39 	Train Acc: 0.1031	Train loss: 0.0719	Test Acc: 0.0991	Test loss: 0.0721
Epoch 40 	Train Acc: 0.1052	Train loss: 0.0720	Test Acc: 0.0989	Test loss: 0.0721
