seed: 4, algorithm: FedSGD, optimizer: SGD, momentum: 0.9, weight_decay: 0.0005, batch_size: 32, learning_rate: 0.01, model: lenet, dataset: MNIST, distribution: iid, im_iid_gamma: 0.01, tail_cls_from: 4, dirichlet_alpha: 0.2, cache_partition: False, num_workers: 0, record_time: False, gpu_idx: [3], my_exp: True, epochs: 200, predict_epochs: 5, predict_alpha: 0.8, show_sign_flip: False, other_show_3d: False, only_show_last_epoch: True, npy_file_name: 3.3.2xishentest, npy_prefix: None, num_clients: 30, num_adv: 9, attack: MyAttack, defense: Bucketing, attack_params: {'aff_open': True, 'moment_open': True}, defense_params: {'bucket_size': 2, 'selected_aggregator': 'Krum'}, benchmark: False, num_training_sample: 60000, num_channels: 1, num_classes: 10, mean: (0.1307,), std: (0.3081,), device: cuda:3, output: ./logs/FedSGD/MNIST_lenet/iid/MyAttack_Bucketing/200_30_9_0.01_2025-03-10_15-06-11.txt

Started on Mon Mar 10 15:06:11 2025
Generating new indices
Doing iid partition
iid partition finished
Data partitioned
Clients and server are initialized
Starting Training...
Epoch 0  	Train Acc: 0.0990	Train loss: 0.0722	Test Acc: 0.0553	Test loss: 2698.4919
Epoch 1  	Train Acc: 0.0552	Train loss: 2644.5604	Test Acc: 0.1086	Test loss: 41029.1034
Epoch 2  	Train Acc: 0.1021	Train loss: 41719.6338	Test Acc: 0.1610	Test loss: 208016.6771
Epoch 3  	Train Acc: 0.1719	Train loss: 203192.1422	Test Acc: 0.1642	Test loss: 704715.7298
Epoch 4  	Train Acc: 0.1448	Train loss: 708884.1312	Test Acc: 0.1535	Test loss: 2453485.8160
Epoch 5  	Train Acc: 0.1646	Train loss: 2313612.5333	Test Acc: 0.1551	Test loss: 11702901.5104
Epoch 6  	Train Acc: 0.1646	Train loss: 11088890.9333	Test Acc: 0.1553	Test loss: 40113629.8624
Epoch 7  	Train Acc: 0.1646	Train loss: 39524180.2667	Test Acc: 0.1559	Test loss: 109086528.3328
Epoch 8  	Train Acc: 0.1552	Train loss: 108393894.9333	Test Acc: 0.1557	Test loss: 100211842.7136
Epoch 9  	Train Acc: 0.1479	Train loss: 100014475.7333	Test Acc: 0.1560	Test loss: 181775648.1792
Epoch 10 	Train Acc: 0.1375	Train loss: 179318932.0000	Test Acc: 0.1564	Test loss: 291573045.8112
