seed: 4, algorithm: FedSGD, optimizer: SGD, momentum: 0.9, weight_decay: 0.0005, batch_size: 32, learning_rate: 0.01, model: lenet, dataset: MNIST, distribution: iid, im_iid_gamma: 0.01, tail_cls_from: 4, dirichlet_alpha: 0.2, cache_partition: False, num_workers: 0, record_time: False, gpu_idx: [3], my_exp: True, epochs: 200, predict_epochs: 5, predict_alpha: 0.8, hyper_e: 50, softmax_seg: Min, show_sign_flip: True, other_show_3d: False, only_show_last_epoch: True, npy_file_name: 3.1.1, npy_prefix: None, num_clients: 30, num_adv: 6, attack: MyAttack, defense: Mean, attack_params: {'aff_open': False, 'moment_open': True, 'record_sign_match': False}, defense_params: None, benchmark: False, num_training_sample: 60000, num_channels: 1, num_classes: 10, mean: (0.1307,), std: (0.3081,), device: cuda:3, output: ./logs/FedSGD/MNIST_lenet/iid/MyAttack_Mean/200_30_6_0.01_2025-09-17_15-05-49.txt

Started on Wed Sep 17 15:05:49 2025
Generating new indices
Doing iid partition
iid partition finished
Data partitioned
Clients and server are initialized
Starting Training...
Epoch 0  	Train Acc: 0.0990	Train loss: 0.0722	Test Acc: 0.1012	Test loss: 1.3413
Epoch 1  	Train Acc: 0.1219	Train loss: 1.3131	Test Acc: 0.1640	Test loss: 9.8442
Epoch 2  	Train Acc: 0.1458	Train loss: 9.5374	Test Acc: 0.1147	Test loss: 38.5894
Epoch 3  	Train Acc: 0.1104	Train loss: 39.4386	Test Acc: 0.0753	Test loss: 150.1396
Epoch 4  	Train Acc: 0.0896	Train loss: 144.6320	Test Acc: 0.1775	Test loss: 2690.7962
Epoch 5  	Train Acc: 0.1833	Train loss: 2723.8487	Test Acc: 0.1028	Test loss: 6217409.2752
Epoch 6  	Train Acc: 0.1000	Train loss: 6311728.1083	Test Acc: 0.0958	Test loss: 173732121693231.5000
Epoch 7  	Train Acc: 0.1177	Train loss: 162294462030370.1250	Test Acc: 0.0979	Test loss: nan
Epoch 8  	Train Acc: 0.1083	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 9  	Train Acc: 0.0948	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 10 	Train Acc: 0.0844	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 11 	Train Acc: 0.0927	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 12 	Train Acc: 0.1000	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 13 	Train Acc: 0.0948	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 14 	Train Acc: 0.0927	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 15 	Train Acc: 0.0990	Train loss: nan	Test Acc: 0.0980	Test loss: nan
