seed: 4, algorithm: FedSGD, optimizer: SGD, momentum: 0.9, weight_decay: 0.0005, batch_size: 32, learning_rate: 0.01, model: lenet, dataset: MNIST, distribution: iid, im_iid_gamma: 0.01, tail_cls_from: 4, dirichlet_alpha: 0.2, cache_partition: False, num_workers: 0, record_time: False, gpu_idx: [2], my_exp: True, show_3d: False, epochs: 500, predict_epochs: 5, predict_alpha: 0.8, num_clients: 10, num_adv: 3, attack: MyAttack, defense: Mean, attack_params: None, defense_params: None, benchmark: False, num_training_sample: 60000, num_channels: 1, num_classes: 10, mean: (0.1307,), std: (0.3081,), device: cuda:2, output: ./logs/FedSGD/MNIST_lenet/iid/MyAttack_Mean/500_10_3_0.01_2025-02-23_18:07:13.txt

Started on Sun Feb 23 18:07:13 2025
Generating new indices
Doing iid partition
iid partition finished
Data partitioned
Clients and server are initialized
Starting Training...
Epoch 0  	Train Acc: 0.1406	Train loss: 0.0720	Test Acc: 0.0497	Test loss: 7.5205
Epoch 1  	Train Acc: 0.0531	Train loss: 7.3029	Test Acc: 0.1040	Test loss: 16.8932
Epoch 2  	Train Acc: 0.1437	Train loss: 15.6706	Test Acc: 0.0905	Test loss: 96.7845
Epoch 3  	Train Acc: 0.1000	Train loss: 88.5276	Test Acc: 0.0768	Test loss: 466.0480
Epoch 4  	Train Acc: 0.0469	Train loss: 442.3512	Test Acc: 0.1094	Test loss: 500.1824
Epoch 5  	Train Acc: 0.0813	Train loss: 519.1709	Test Acc: 0.1010	Test loss: 1.5860
Epoch 6  	Train Acc: 0.0969	Train loss: 1.4326	Test Acc: 0.0980	Test loss: 30.1218
Epoch 7  	Train Acc: 0.0781	Train loss: 27.2581	Test Acc: 0.0980	Test loss: 1.6829
Epoch 8  	Train Acc: 0.1094	Train loss: 1.5112	Test Acc: 0.0980	Test loss: 1.2805
Epoch 9  	Train Acc: 0.1313	Train loss: 1.2703	Test Acc: 0.1009	Test loss: 1.2465
Epoch 10 	Train Acc: 0.1031	Train loss: 1.3345	Test Acc: 0.0958	Test loss: 1.1466
Epoch 11 	Train Acc: 0.0750	Train loss: 1.2238	Test Acc: 0.1010	Test loss: 0.8468
Epoch 12 	Train Acc: 0.0656	Train loss: 0.8850	Test Acc: 0.1010	Test loss: 0.3995
Epoch 13 	Train Acc: 0.1062	Train loss: 0.3994	Test Acc: 0.1009	Test loss: 3.6519
Epoch 14 	Train Acc: 0.0938	Train loss: 3.6424	Test Acc: 0.1028	Test loss: 0.9706
Epoch 15 	Train Acc: 0.1156	Train loss: 0.9506	Test Acc: 0.1028	Test loss: 7.0974
Epoch 16 	Train Acc: 0.1156	Train loss: 6.9443	Test Acc: 0.0982	Test loss: 1.9822
Epoch 17 	Train Acc: 0.1062	Train loss: 1.9271	Test Acc: 0.0982	Test loss: 1.8073
Epoch 18 	Train Acc: 0.1031	Train loss: 1.8395	Test Acc: 0.0982	Test loss: 1.2316
Epoch 19 	Train Acc: 0.0875	Train loss: 1.2058	Test Acc: 0.0980	Test loss: 0.8476
Epoch 20 	Train Acc: 0.1031	Train loss: 0.8657	Test Acc: 0.1010	Test loss: 0.1414
Epoch 21 	Train Acc: 0.1031	Train loss: 0.1538	Test Acc: 0.0958	Test loss: 0.0936
Epoch 22 	Train Acc: 0.1219	Train loss: 0.0929	Test Acc: 0.0958	Test loss: 0.0802
Epoch 23 	Train Acc: 0.1156	Train loss: 0.0786	Test Acc: 0.1135	Test loss: 0.0917
Epoch 24 	Train Acc: 0.1313	Train loss: 0.0903	Test Acc: 0.0958	Test loss: 0.0802
Epoch 25 	Train Acc: 0.0750	Train loss: 0.0808	Test Acc: 0.0958	Test loss: 0.0802
Epoch 26 	Train Acc: 0.0844	Train loss: 0.0808	Test Acc: 0.0958	Test loss: 0.0801
Epoch 27 	Train Acc: 0.1031	Train loss: 0.0786	Test Acc: 0.0958	Test loss: 0.0801
Epoch 28 	Train Acc: 0.0938	Train loss: 0.0790	Test Acc: 0.0958	Test loss: 0.0801
Epoch 29 	Train Acc: 0.1187	Train loss: 0.0771	Test Acc: 0.0958	Test loss: 0.0800
Epoch 30 	Train Acc: 0.0906	Train loss: 0.0804	Test Acc: 0.0958	Test loss: 0.0800
Epoch 31 	Train Acc: 0.0906	Train loss: 0.0802	Test Acc: 0.0958	Test loss: 0.0800
Epoch 32 	Train Acc: 0.0938	Train loss: 0.0784	Test Acc: 0.0958	Test loss: 0.0799
Epoch 33 	Train Acc: 0.1281	Train loss: 0.0770	Test Acc: 0.0958	Test loss: 0.0799
Epoch 34 	Train Acc: 0.0938	Train loss: 0.0810	Test Acc: 0.0958	Test loss: 0.0798
