seed: 4, algorithm: FedSGD, optimizer: SGD, momentum: 0.9, weight_decay: 0.0005, batch_size: 32, learning_rate: 0.01, model: lenet, dataset: MNIST, distribution: iid, im_iid_gamma: 0.01, tail_cls_from: 4, dirichlet_alpha: 0.2, cache_partition: False, num_workers: 0, record_time: False, gpu_idx: [3], my_exp: True, epochs: 200, predict_epochs: 5, predict_alpha: 0.8, show_sign_flip: False, other_show_3d: False, only_show_last_epoch: False, hyper_e: 50, npy_file_name: 3.3.2hyperE, npy_prefix: None, num_clients: 30, num_adv: 9, attack: MyAttack, defense: TrimmedMean, attack_params: {'aff_open': False, 'moment_open': True, 'record_sign_match': False}, defense_params: {'beta': 0.1}, benchmark: False, num_training_sample: 60000, num_channels: 1, num_classes: 10, mean: (0.1307,), std: (0.3081,), device: cuda:3, output: ./logs/FedSGD/MNIST_lenet/iid/MyAttack_TrimmedMean/200_30_9_0.01_2025-03-12_16-29-05.txt

Started on Wed Mar 12 16:29:05 2025
Generating new indices
Doing iid partition
iid partition finished
Data partitioned
Clients and server are initialized
Starting Training...
Epoch 0  	Train Acc: 0.0990	Train loss: 0.0722	Test Acc: 0.0921	Test loss: 3.6547
Epoch 1  	Train Acc: 0.1083	Train loss: 3.5729	Test Acc: 0.1625	Test loss: 24.7255
Epoch 2  	Train Acc: 0.1365	Train loss: 23.8475	Test Acc: 0.0958	Test loss: 169.4502
Epoch 3  	Train Acc: 0.1000	Train loss: 170.8323	Test Acc: 0.1057	Test loss: 1684.9956
Epoch 4  	Train Acc: 0.0906	Train loss: 1647.9150	Test Acc: 0.1034	Test loss: 134427.2777
Epoch 5  	Train Acc: 0.0813	Train loss: 132830.7411	Test Acc: 0.1135	Test loss: 5182426246545.4082
Epoch 6  	Train Acc: 0.1219	Train loss: 5098444182869.3330	Test Acc: 0.0958	Test loss: 533389871890542591550420137541632.0000
Epoch 7  	Train Acc: 0.1177	Train loss: 497780285649047284334246028640256.0000	Test Acc: 0.0980	Test loss: nan
Epoch 8  	Train Acc: 0.1083	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 9  	Train Acc: 0.0948	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 10 	Train Acc: 0.0844	Train loss: nan	Test Acc: 0.0980	Test loss: nan
