seed: 4, algorithm: FedSGD, optimizer: SGD, momentum: 0.9, weight_decay: 0.0005, batch_size: 64, learning_rate: 0.01, model: lenet, dataset: MNIST, distribution: non-iid, im_iid_gamma: 0.01, tail_cls_from: 4, dirichlet_alpha: 0.2, cache_partition: False, gpu_idx: [2], num_workers: 0, record_time: False, my_exp: True, show_3d: False, epochs: 200, predict_epochs: 1, predict_alpha: 0.8, num_clients: 30, num_adv: 6, attack: MyAttack, defense: Mean, attack_params: None, defense_params: None, benchmark: False, num_training_sample: 60000, num_channels: 1, num_classes: 10, mean: (0.1307,), std: (0.3081,), device: cuda:2, output: ./logs/FedSGD/MNIST_lenet/non-iid/MyAttack_Mean/200_30_6_0.01_2025-02-21_15:04:44.txt

Started on Fri Feb 21 15:04:44 2025
Generating new indices
Doing non-iid partition
dirichlet alpha: 0.2
non-iid partition finished
Data partitioned
Clients and server are initialized
Starting Training...
Epoch 0  	Train Acc: 0.1026	Train loss: 0.0360	Test Acc: 0.1183	Test loss: 0.5877
Epoch 1  	Train Acc: 0.1266	Train loss: 0.5952	Test Acc: 0.1876	Test loss: 0.2255
Epoch 2  	Train Acc: 0.1932	Train loss: 0.2265	Test Acc: 0.1073	Test loss: 0.1873
Epoch 3  	Train Acc: 0.1229	Train loss: 0.1914	Test Acc: 0.0579	Test loss: 0.1395
Epoch 4  	Train Acc: 0.0464	Train loss: 0.1494	Test Acc: 0.1090	Test loss: 0.1240
Epoch 5  	Train Acc: 0.1161	Train loss: 0.1265	Test Acc: 0.1101	Test loss: 0.1097
Epoch 6  	Train Acc: 0.1373	Train loss: 0.1162	Test Acc: 0.1351	Test loss: 0.0863
Epoch 7  	Train Acc: 0.1500	Train loss: 0.0796	Test Acc: 0.1443	Test loss: 0.0662
Epoch 8  	Train Acc: 0.1479	Train loss: 0.0654	Test Acc: 0.1452	Test loss: 0.0547
Epoch 9  	Train Acc: 0.1688	Train loss: 0.0528	Test Acc: 0.1406	Test loss: 0.0498
Epoch 10 	Train Acc: 0.1523	Train loss: 0.0484	Test Acc: 0.1447	Test loss: 0.0451
Epoch 11 	Train Acc: 0.1516	Train loss: 0.0446	Test Acc: 0.1584	Test loss: 0.0424
Epoch 12 	Train Acc: 0.1932	Train loss: 0.0416	Test Acc: 0.1774	Test loss: 0.0407
Epoch 13 	Train Acc: 0.2046	Train loss: 0.0481	Test Acc: 0.1841	Test loss: 0.0395
Epoch 14 	Train Acc: 0.2050	Train loss: 0.0410	Test Acc: 0.1820	Test loss: 0.0389
