seed: 4, algorithm: FedSGD, optimizer: SGD, momentum: 0.9, weight_decay: 0.0005, batch_size: 64, learning_rate: 0.01, model: lenet, dataset: MNIST, distribution: non-iid, im_iid_gamma: 0.01, tail_cls_from: 4, dirichlet_alpha: 0.2, cache_partition: False, gpu_idx: [2], num_workers: 0, record_time: False, my_exp: True, show_3d: False, epochs: 200, predict_epochs: 1, predict_alpha: 0.8, num_clients: 30, num_adv: 6, attack: MyAttack, defense: TrimmedMean, attack_params: None, defense_params: {'beta': 0.1}, benchmark: False, num_training_sample: 60000, num_channels: 1, num_classes: 10, mean: (0.1307,), std: (0.3081,), device: cuda:2, output: ./logs/FedSGD/MNIST_lenet/non-iid/MyAttack_TrimmedMean/200_30_6_0.01_2025-02-21_15:25:26.txt

Started on Fri Feb 21 15:25:26 2025
Generating new indices
Doing non-iid partition
dirichlet alpha: 0.2
non-iid partition finished
Data partitioned
Clients and server are initialized
Starting Training...
Epoch 0  	Train Acc: 0.1026	Train loss: 0.0360	Test Acc: 0.1154	Test loss: 0.0999
Epoch 1  	Train Acc: 0.1224	Train loss: 0.0999	Test Acc: 0.0665	Test loss: 0.0606
Epoch 2  	Train Acc: 0.0703	Train loss: 0.0600	Test Acc: 0.1553	Test loss: 0.0423
Epoch 3  	Train Acc: 0.1708	Train loss: 0.0423	Test Acc: 0.1305	Test loss: 0.0409
Epoch 4  	Train Acc: 0.1391	Train loss: 0.0406	Test Acc: 0.1134	Test loss: 0.0397
Epoch 5  	Train Acc: 0.1323	Train loss: 0.0391	Test Acc: 0.1114	Test loss: 0.0386
Epoch 6  	Train Acc: 0.1198	Train loss: 0.0447	Test Acc: 0.1144	Test loss: 0.0380
Epoch 7  	Train Acc: 0.1406	Train loss: 0.0370	Test Acc: 0.1167	Test loss: 0.0377
Epoch 8  	Train Acc: 0.1307	Train loss: 0.0367	Test Acc: 0.1045	Test loss: 0.0375
Epoch 9  	Train Acc: 0.1187	Train loss: 0.0371	Test Acc: 0.1004	Test loss: 0.0373
Epoch 10 	Train Acc: 0.1183	Train loss: 0.0366	Test Acc: 0.1009	Test loss: 0.0370
Epoch 11 	Train Acc: 0.1135	Train loss: 0.0362	Test Acc: 0.1091	Test loss: 0.0367
Epoch 12 	Train Acc: 0.1281	Train loss: 0.0362	Test Acc: 0.1156	Test loss: 0.0366
Epoch 13 	Train Acc: 0.1281	Train loss: 0.0429	Test Acc: 0.1222	Test loss: 0.0364
Epoch 14 	Train Acc: 0.1596	Train loss: 0.0371	Test Acc: 0.1322	Test loss: 0.0361
Epoch 15 	Train Acc: 0.1729	Train loss: 0.0354	Test Acc: 0.1365	Test loss: 0.0359
Epoch 16 	Train Acc: 0.1657	Train loss: 0.0361	Test Acc: 0.1377	Test loss: 0.0357
Epoch 17 	Train Acc: 0.1788	Train loss: 0.0397	Test Acc: 0.1362	Test loss: 0.0355
Epoch 18 	Train Acc: 0.1760	Train loss: 0.0488	Test Acc: 0.1376	Test loss: 0.0353
Epoch 19 	Train Acc: 0.1533	Train loss: 0.0371	Test Acc: 0.1405	Test loss: 0.0352
Epoch 20 	Train Acc: 0.1703	Train loss: 0.0422	Test Acc: 0.1441	Test loss: 0.0350
Epoch 21 	Train Acc: 0.1793	Train loss: 0.0340	Test Acc: 0.1498	Test loss: 0.0348
Epoch 22 	Train Acc: 0.1894	Train loss: 0.0343	Test Acc: 0.1570	Test loss: 0.0346
Epoch 23 	Train Acc: 0.2035	Train loss: 0.0375	Test Acc: 0.1706	Test loss: 0.0344
Epoch 24 	Train Acc: 0.1893	Train loss: 0.0368	Test Acc: 0.1846	Test loss: 0.0341
Epoch 25 	Train Acc: 0.2229	Train loss: 0.0329	Test Acc: 0.2053	Test loss: 0.0338
Epoch 26 	Train Acc: 0.2526	Train loss: 0.0320	Test Acc: 0.2222	Test loss: 0.0334
Epoch 27 	Train Acc: 0.2592	Train loss: 0.0415	Test Acc: 0.2472	Test loss: 0.0330
Epoch 28 	Train Acc: 0.2792	Train loss: 0.0315	Test Acc: 0.2722	Test loss: 0.0325
Epoch 29 	Train Acc: 0.3240	Train loss: 0.0319	Test Acc: 0.2999	Test loss: 0.0318
Epoch 30 	Train Acc: 0.3521	Train loss: 0.0301	Test Acc: 0.3341	Test loss: 0.0311
Epoch 31 	Train Acc: 0.3969	Train loss: 0.0319	Test Acc: 0.3676	Test loss: 0.0302
Epoch 32 	Train Acc: 0.4313	Train loss: 0.0279	Test Acc: 0.4024	Test loss: 0.0292
Epoch 33 	Train Acc: 0.4544	Train loss: 0.0278	Test Acc: 0.4385	Test loss: 0.0280
Epoch 34 	Train Acc: 0.4805	Train loss: 0.0345	Test Acc: 0.4734	Test loss: 0.0268
Epoch 35 	Train Acc: 0.5259	Train loss: 0.0282	Test Acc: 0.5020	Test loss: 0.0255
Epoch 36 	Train Acc: 0.5310	Train loss: 0.0270	Test Acc: 0.5308	Test loss: 0.0243
Epoch 37 	Train Acc: 0.5787	Train loss: 0.0268	Test Acc: 0.5567	Test loss: 0.0231
Epoch 38 	Train Acc: 0.5797	Train loss: 0.0211	Test Acc: 0.5856	Test loss: 0.0222
Epoch 39 	Train Acc: 0.5909	Train loss: 0.0217	Test Acc: 0.6026	Test loss: 0.0214
Epoch 40 	Train Acc: 0.6115	Train loss: 0.0201	Test Acc: 0.6169	Test loss: 0.0206
Epoch 41 	Train Acc: 0.6319	Train loss: 0.0255	Test Acc: 0.6298	Test loss: 0.0196
Epoch 42 	Train Acc: 0.6495	Train loss: 0.0175	Test Acc: 0.6401	Test loss: 0.0185
Epoch 43 	Train Acc: 0.6598	Train loss: 0.0171	Test Acc: 0.6486	Test loss: 0.0174
Epoch 44 	Train Acc: 0.6700	Train loss: 0.0167	Test Acc: 0.6599	Test loss: 0.0162
Epoch 45 	Train Acc: 0.6908	Train loss: 0.0151	Test Acc: 0.6810	Test loss: 0.0149
Epoch 46 	Train Acc: 0.7075	Train loss: 0.0147	Test Acc: 0.7011	Test loss: 0.0139
Epoch 47 	Train Acc: 0.7163	Train loss: 0.0158	Test Acc: 0.7190	Test loss: 0.0130
Epoch 48 	Train Acc: 0.7374	Train loss: 0.0148	Test Acc: 0.7344	Test loss: 0.0124
Epoch 49 	Train Acc: 0.7462	Train loss: 0.0135	Test Acc: 0.7441	Test loss: 0.0120
Epoch 50 	Train Acc: 0.7551	Train loss: 0.0119	Test Acc: 0.7575	Test loss: 0.0115
Epoch 51 	Train Acc: 0.7641	Train loss: 0.0110	Test Acc: 0.7659	Test loss: 0.0112
